"","player","Salary","TeamAbbrev","dk_opp_abbr","implied_total","opp_implied_total","est_pa","est_ra","est_dkpts","value"
"1","Caleb Williams",9900,"USC","UTAH",30.75,34.25,32.4433288574219,5.33051710103285,26.4175701141357,2.66844142567028
"2","Jordan Travis",8200,"FSU","CLEM",23.75,27.25,32.0922813415527,5.55871863640908,18.7602272033691,2.28783258577672
"3","Cameron Rising",7800,"UTAH","USC",34.25,30.75,28.5934886932373,5.17194486053927,22.1286582946777,2.83700747367663
"4","Will Rogers",7700,"MSST","UK",26.25,19.75,44.6603927612305,2.28085297939737,23.9462490081787,3.10990246859464
"5","DJ Uiagalelei",7600,"CLEM","FSU",27.25,23.75,29.5551872253418,10.2771087555734,24.151439666748,3.17782100878264
"6","Will Levis",7500,"UK","MSST",19.75,26.25,30.0042934417725,6.02672363369379,14.0091047286987,1.86788063049316
"7","Jayden Daniels",7100,"LSU","UF",24.25,27.25,33.0303535461426,7.92056991783306,15.7632999420166,2.22018309042487
"8","Seth Henigan",7000,"MEM","ECU",26.75,31.25,33.4989280700684,6.74467281971386,19.0135345458984,2.71621922084263
"9","Casey Thompson",6700,"NEB","PUR",22.5,36,30.8594093322754,4.18283903603606,16.5887126922607,2.4759272675016
"10","Drake Maye",6600,"UNC","DUKE",36.75,29.75,31.9841480255127,5.80117448109547,26.1966018676758,3.969182101163
"11","Anthony Richardson",6400,"UF","LSU",27.25,24.25,25.6432476043701,6.91302135663716,18.7410545349121,2.92828977108002
"12","Holton Ahlers",5900,"ECU","MEM",31.25,26.75,35.8339042663574,3.73011113930147,26.4901962280273,4.48986376746226
"13","Riley Leonard",5800,"DUKE","UNC",29.75,36.75,31.2784976959229,5.5701198164104,21.0752048492432,3.6336560084902
"14","Aidan O'Connell",5800,"PUR","NEB",36,22.5,34.4703216552734,4.05863773390183,20.5273056030273,3.53919062121161
"15","Tanner McKee",5300,"STAN","ND",18.25,35.25,32.8081817626953,3.60378668160973,17.0824661254883,3.22310681612986
"16","Drew Pyne",5000,"ND","STAN",35.25,18.25,29.057653427124,4.15947339613325,20.8807525634766,4.17615051269531
