"","position","player","Salary","Opponent","team_name","string","implied_total","opp_implied_total","est_ra","est_re","est_fdpts","value"
"1","RB","Bijan Robinson",10300,"KU","TEXAS",1,36,27.5,24.8186134068976,3.57245604650759,22.3216323852539,2.16714877526737
"2","RB","Mohamed Ibrahim",10000,"IOWA","MINNESOTA",1,17.25,14.75,28.9391008714167,1.48431807529159,22.8277034759521,2.28277034759522
"3","RB","Tank Bigsby",9000,"WKU","AUBURN",1,29.5,24.5,18.0209139207852,3.04643439861082,19.1314010620117,2.12571122911241
"4","RB","Will Shipley",8800,"MIA","CLEMSON",1,33.5,14.5,19.3082739477789,3.19327657991247,17.8620853424072,2.02978242527355
"5","RB","TreVeyon Henderson",8700,"MD","OHIO STATE",1,45,18,22.1041292330711,2.19591626123258,19.55419921875,2.24760910560345
"6","RB","Nicholas Singleton",8500,"RUT","PENN STATE",1,32,13,15.1074723552513,2.35897272021934,17.8620853424072,2.10142180498909
"7","RB","Devin Neal",8000,"TEX","KANSAS",1,27.5,36,22.8593117491732,3.83208051524236,20.6403865814209,2.58004832267761
"8","RB","Kenny McIntosh",7100,"UK","GEORGIA",1,35.25,12.75,12.5270205647286,2.60139566319663,14.0458030700684,1.97828212254484
"9","RB","Kaleb Johnson",7000,"MINN","IOWA",1,14.75,17.25,17.2373015147596,2.08134777847703,14.7463073730469,2.1066153390067
"10","RB","Chris Rodriguez Jr.",6900,"UGA","KENTUCKY",1,12.75,35.25,23.7209086890094,1.89265785097558,19.0428295135498,2.75983036428258
"11","RB","Tiyon Evans",6600,"NCST","LOUISVILLE",1,24,20,14.349408274291,1.99600239781374,13.1973819732666,1.99960332928282
"12","RB","Jordan Houston",6600,"LOU","NC STATE",1,20,24,12.0773176595038,3.40818279289744,9.89634323120117,1.49944594412139
"13","RB","Roman Hemby",6500,"OSU","MARYLAND",1,18,45,18.293983920668,2.23660147408162,15.3597450256348,2.3630376962515
"14","RB","Henry Parrish Jr.",6000,"CLEM","MIAMI FL",1,14.5,33.5,16.3193063982747,2.53822531833843,11.5425643920898,1.92376073201497
"15","RB","Kye Robichaux",5800,"AUB","W KENTUCKY",1,24.5,29.5,13.2101330656045,2.81226954357938,12.5645046234131,2.16629390058846
"16","RB","Kyle Monangai",5700,"PSU","RUTGERS",1,13,32,15.5854394026587,2.01566857672763,12.23756980896,2.14694207174736
"17","RB","Kaytron Allen",8000,"RUT","PENN STATE",2,32,13,12.9364070425379,2.65756109012085,11.497857093811,1.43723213672638
"18","RB","Jarquez Hunter",6800,"WKU","AUBURN",2,29.5,24.5,11.3763213007705,2.64486735224245,12.1928615570068,1.79306787603042
"19","RB","Daijun Edwards",6100,"UK","GEORGIA",2,35.25,12.75,8.43057709766526,2.02251441296723,10.6156358718872,1.74026817571921
"20","RB","Demie Sumo-Karngbaye",6000,"LOU","NC STATE",2,20,24,6.29522922866005,3.01464105844537,4.46730089187622,0.744550148646037
"21","RB","Dallan Hayden",5500,"MD","OHIO STATE",2,45,18,8.38002321285592,2.0106100761937,9.28486347198486,1.68815699490634
"22","RB","Jaylan Knighton",5500,"CLEM","MIAMI FL",2,14.5,33.5,6.40772419732848,1.8538938498581,4.81650257110596,0.875727740201083
"23","RB","Leshon Williams",5400,"MINN","IOWA",2,14.75,17.25,8.81831872151425,2.06015523297448,5.77117252349854,1.06873565249973
"24","RB","Roschon Johnson",5400,"KU","TEXAS",2,36,27.5,8.03921444380422,2.34163849550862,9.58194351196289,1.77443398369683
"25","RB","Jawhar Jordan",5400,"NCST","LOUISVILLE",2,24,20,8.98402305899459,2.22364049525303,8.03851795196533,1.48861443554914
"26","RB","Trey Potts",5300,"IOWA","MINNESOTA",2,17.25,14.75,5.54559874551976,1.31836621893588,7.13395690917969,1.3460296055056
"27","RB","Aaron Young",5300,"PSU","RUTGERS",2,13,32,6.24205172513486,1.90980142356274,4.86522531509399,0.917967040583773
"28","RB","Davion Ervin-Poindexter",5300,"AUB","W KENTUCKY",2,24.5,29.5,8.92104543869139,2.29212201460263,8.01394176483154,1.51206448393048
"29","RB","Phil Mafah",5300,"MIA","CLEMSON",2,33.5,14.5,8.2581292154961,2.21399432170853,10.6156358718872,2.00295016450702
"30","RB","JuTahn McClain",5100,"UGA","KENTUCKY",2,12.75,35.25,6.89385997611595,2.41240179540618,4.69385528564453,0.920363781498928
"31","RB","Ky Thomas",5100,"TEX","KANSAS",2,27.5,36,6.52905555591823,2.16625242435559,6.13265371322632,1.20248112024045
"32","RB","Kendall Milton",5400,"UK","GEORGIA",3,35.25,12.75,6.34242148127859,2.03118813509066,6.88806486129761,1.27556756690696
"33","RB","Keyvone Lee",5000,"RUT","PENN STATE",3,32,13,4.47664305522769,1.89672896285139,6.88806486129761,1.37761297225952
"34","RB","Trevion Cooley",5000,"NCST","LOUISVILLE",3,24,20,2.75293008961249,2.4533952752316,4.66321468353271,0.932642936706543
"35","RB","Gavin Williams",4900,"MINN","IOWA",3,14.75,17.25,4.49038641303127,1.9649664402711,3.77229714393616,0.769856559986971
"36","RB","Bryce Williams",4900,"IOWA","MINNESOTA",3,17.25,14.75,4.14585776458034,1.75222249827682,4.83239412307739,0.986202882260692
"37","RB","Kavosiey Smoke",4800,"UGA","KENTUCKY",3,12.75,35.25,2.8258632548488,1.52101311262247,3.17796969413757,0.662077019611994
"38","RB","Sevion Morrison",4800,"TEX","KANSAS",3,27.5,36,2.5471846819647,1.83516740456215,4.10994243621826,0.856238007545471
"39","RB","Colby McDonald",4800,"OSU","MARYLAND",2,18,45,8.53632282321198,1.69253337911715,6.89143657684326,1.43571595350901
"40","RB","Jakairi Moses",4800,"AUB","W KENTUCKY",3,24.5,29.5,2.53778641750575,2.65742313271923,4.63863563537598,0.966382424036662
"41","RB","Al-Shadee Salaam",4700,"PSU","RUTGERS",3,13,32,5.24530814172554,2.35070246600835,4.86522531509399,1.03515432236042
"42","RB","Damari Alston",4700,"WKU","AUBURN",3,29.5,24.5,2.44454237753983,2.22836599423227,6.20664072036743,1.32056185539733
"43","RB","Keilan Robinson",4500,"KU","TEXAS",3,36,27.5,2.52383847403357,2.67477489147893,6.20664072036743,1.37925349341498
"44","RB","Chip Trayanum",4200,"MD","OHIO STATE",3,45,18,2.67337267389359,1.61452162994541,6.41638612747192,1.52771098273141
"45","RB","Keith Adams Jr.",4100,"MIA","CLEMSON",3,33.5,14.5,2.60292255606478,1.5684347529255,6.01846170425415,1.46791748884248
"46","RB","Ramon Brown",4500,"OSU","MARYLAND",3,18,45,3.3421718294872,1.92190076927223,3.65790939331055,0.81286875406901
