"","position","player","Salary","Opponent","team_name","implied_total","opp_implied_total","est_pa","est_ra","est_fdpts","value"
"1","QB","Dequan Finn",11500,"BALL","TOLEDO",30.5,19.5,30.8895683288574,8.25612439460519,23.4354095458984,2.03786169964334
"2","QB","Kurtis Rourke",10600,"MIAOH","OHIO",27,25,31.0307502746582,5.76701235133623,21.4907855987549,2.02743260365612
"3","QB","DJ Irons",9500,"EMU","AKRON",25,32,35.1499214172363,7.71214454971846,19.6270370483398,2.06600389982525
"4","QB","Brett Gabbert",8400,"OHIO","MIAMI OH",25,27,26.7817459106445,4.4313769127142,11.9842462539673,1.42669598261515
"5","QB","Taylor Powell",8000,"AKRN","E MICHIGAN",32,25,26.6238842010498,4.45107240267475,17.9569072723389,2.24461340904236
"6","QB","John Paddock",7700,"TOL","BALL ST",19.5,30.5,35.124626159668,2.72373397156898,12.955249786377,1.68249997225675
