"","position","player","Salary","Opponent","team_name","implied_total","opp_implied_total","est_pa","est_ra","est_fdpts","value"
"1","QB","Caleb Williams",12500,"CU","USC",50,16,33.7433433532715,7.93078088515671,24.2041893005371,1.93633514404297
"2","QB","Holton Ahlers",10000,"CIN","E CAROLINA",23.5,29,33.7090606689453,6.31938023170295,15.2166595458984,1.52166595458984
"3","QB","Doug Brumfield",9400,"FRES","UNLV",24.75,34.25,27.9608612060547,4.38868092089925,15.3245286941528,1.63026901001626
"4","QB","Ben Bryant",9200,"ECU","CINCINNATI",29,23.5,31.974271774292,3.52261901239081,14.4231538772583,1.56773411709329
"5","QB","J.T. Shrout",7000,"USC","COLORADO",16,50,31.9820537567139,6.10623843189842,8.58511638641357,1.22644519805908
"6","QB","Logan Fife",6000,"UNLV","FRESNO ST",34.25,24.75,28.1052265167236,6.5145783743626,16.4391651153564,2.73986085255941
