"","player","Salary","TeamAbbrev","dk_opp_abbr","implied_total","opp_implied_total","est_pa","est_ra","est_dkpts","value"
"1","C.J. Stroud",9600,"OSU","UMD",45,18,29.820930480957,5.55927147301844,18.0898723602295,1.88436170419057
"2","Stetson Bennett",8800,"UGA","UK",35.25,12.75,32.9286346435547,3.76941196564636,18.3128223419189,2.08100253885443
"3","Sean Clifford",7100,"PSU","RU",32,13,30.7312488555908,3.96565867161081,19.3713035583496,2.72835261385206
"4","DJ Uiagalelei",7000,"CLEM","MIA",33.5,14.5,27.0687370300293,8.12715175156791,21.9098529815674,3.12997899736677
"5","Will Levis",6900,"UK","UGA",12.75,35.25,23.4711990356445,5.98014497705157,9.64386653900146,1.39766181724659
"6","Quinn Ewers",6900,"UT","KU",36,27.5,34.127685546875,4.90835649091861,19.19997215271,2.78260465981304
"7","Taulia Tagovailoa",6500,"UMD","OSU",18,45,28.3420372009277,4.21397575400971,12.1643524169922,1.87143883338341
"8","Brock Domann",5900,"UL","NCST",24,20,31.1984672546387,4.47760181794251,13.3945560455322,2.27026373653089
"9","Jack Chambers",5400,"NCST","UL",20,24,27.8525772094727,9.36484549973102,21.1805438995361,3.92232294435854
"10","Gavin Wimsatt",5300,"RU","PSU",13,32,30.1931400299072,6.07777878146476,11.9592037200928,2.25645353209298
"11","Jacurri Brown",4500,"MIA","CLEM",14.5,33.5,27.3230571746826,9.96083364394622,16.3405284881592,3.63122855292426
"12","Jason Bean",6800,"KU","UT",27.5,36,30.6178035736084,7.22877407260057,20.9955253601074,3.08757725883933
