"","player","Salary","TeamAbbrev","dk_opp_abbr","implied_total","opp_implied_total","est_pa","est_ra","est_dkpts","value"
"1","Caleb Williams",9700,"USC","CAL",41,19.5,33.0166015625,6.06198557915405,30.9967384338379,3.19554004472556
"2","Dorian Thompson-Robinson",8900,"UCLA","ASU",39,28,32.0379066467285,7.18738409452141,26.4356155395508,2.9702938808484
"3","Emory Jones",7400,"ASU","UCLA",28,39,32.079158782959,7.379863421783,18.1725978851318,2.45575647096376
"4","Chevan Cordeiro",7200,"SJSU","CSU",34.25,10.25,30.0461559295654,8.20527199949686,26.6053981781006,3.69519419140286
"5","Logan Fife",6700,"FRES","HAW",44.75,17.25,30.3020534515381,4.47131293543185,18.836633682251,2.81143786302253
"6","Clay Millen",5300,"CSU","SJSU",10.25,34.25,27.6712131500244,3.27421109455486,12.7159509658813,2.39923603129837
"7","Brayden Schager",5100,"HAW","FRES",17.25,44.75,32.1872863769531,4.19665368138135,10.9514226913452,2.14733778261671
"8","Jack Plummer",5000,"CAL","USC",19.5,41,39.0774078369141,3.3152909673592,15.1483879089355,3.02967758178711
