"","player","Salary","TeamAbbrev","dk_opp_abbr","string","implied_total","opp_implied_total","est_wr_share","est_tar","est_dkpts","value"
"1","Jordan Addison",8300,"USC","CAL",1,41,19.5,0.260148367187921,8.58921498657853,20.2888717651367,2.44444238134177
"2","Jalen Moreno-Cropper",7200,"FRES","HAW",1,44.75,17.25,0.29191694881039,8.84568298626234,18.9079742431641,2.62610753377279
"3","Jalen Moreno-Cropper",7200,"FRES","HAW",2,44.75,17.25,0.252992950896565,7.66620592093006,16.5664672851562,2.30089823404948
"4","Jake Bobo",6800,"UCLA","ASU",1,39,28,0.272634090154516,8.73462552908614,20.2719211578369,2.98116487615249
"5","Elijhah Badger",6700,"ASU","UCLA",1,28,39,0.291048911487624,9.33660424521888,17.7685966491699,2.65202935062238
"6","Elijah Cooks",6500,"SJSU","CSU",1,34.25,10.25,0.308350489735636,9.26474689555478,21.7445602416992,3.34531696026142
"7","Zion Bowens",5900,"HAW","FRES",1,17.25,44.75,0.278245505620989,8.95596777252291,12.6463460922241,2.14344849020748
"8","Tory Horton",5500,"CSU","SJSU",1,10.25,34.25,0.372688466207262,10.3127419869768,12.6467046737671,2.29940084977583
"9","J.Michael Sturdivant",4900,"CAL","USC",1,19.5,41,0.264971665905361,10.3544058538103,14.4637594223022,2.95178763720454
"10","Nikko Remigio",7400,"FRES","HAW",3,44.75,17.25,0.144306227624761,4.37277502287534,10.626181602478,1.43597048682135
"11","Mario Williams",7000,"USC","CAL",2,41,19.5,0.187123332616237,6.17817651603746,15.0306444168091,2.14723491668701
"12","Kazmeir Allen",5600,"UCLA","ASU",2,39,28,0.209323599184504,6.70628992963036,13.7280912399292,2.45144486427307
"13","Jeremiah Hunter",4600,"CAL","USC",2,19.5,41,0.185618012660627,7.2534707826168,9.8151216506958,2.13372209797735
"14","Justin Lockhart",4400,"SJSU","CSU",2,34.25,10.25,0.19222206898085,5.7755342577023,12.2048492431641,2.77382937344638
