"","position","player","Salary","Opponent","team_name","string","implied_total","opp_implied_total","est_wr_share","est_tar","est_fdpts","tar_value","pts_value"
"1","WR","Quentin Johnston",8500,"BAY","TCU",1,29.75,27.25,0.24281695167666,5.76211145439224,9.85500240325928,0.677895465222617,1.15941204744227
"2","WR","Jayden Reed",8200,"IND","MICH STATE",1,28.75,18.25,0.284893124220202,8.95047636365038,10.990683555603,1.09152150776224,1.34032726287842
"3","WR","Johnny Wilson",8000,"ULL","FLORIDA ST",1,38,14,0.213938271128246,6.22277717536576,12.6873397827148,0.77784714692072,1.58591747283936
"4","WR","Will Sheppard",7900,"UF","VANDERBILT",1,21.75,35.75,0.35293516718647,10.4592034676831,13.013222694397,1.32394980603584,1.64724337903759
"5","WR","Monaray Baldwin",7500,"TCU","BAYLOR",1,27.25,29.75,0.286226715994163,8.21721335102186,11.1277437210083,1.09562844680292,1.48369916280111
"6","WR","Trey Palmer",7400,"WIS","NEBRASKA",1,15,26,0.423588917592856,11.5393311692968,12.6869201660156,1.559369076932,1.71444867108319
"7","WR","Chimere Dike",7300,"NEB","WISCONSIN",1,26,15,0.286831167989621,7.11247230469271,9.14334774017334,0.97431127461544,1.25251338906484
"8","WR","Ronnie Bell",7200,"ILL","MICHIGAN",1,29.25,12.25,0.305506907340154,7.67424403171624,10.6373338699341,1.06586722662726,1.47740748193529
"9","WR","Michael Jefferson",7200,"FSU","LA LAFAYET",1,14,38,0.237007298986311,8.21077080321344,9.64045429229736,1.14038483377964,1.3389519850413
"10","WR","Jared Wayne",6800,"DUKE","PITTSBURGH",1,28.25,21.25,0.339008225871839,9.1588443453276,12.4810857772827,1.34688887431288,1.83545379077687
"11","WR","Jalon Calhoun",6700,"PITT","DUKE",1,21.25,28.25,0.325210269945044,8.85078363298665,10.6552104949951,1.32101248253532,1.59032992462614
"12","WR","Emery Simmons",6500,"MSU","INDIANA",1,18.25,28.75,0.228295648854257,7.65785228500653,7.4053373336792,1.17813112077024,1.13928266671988
"13","WR","Justin Shorter",6500,"VAN","FLORIDA",1,35.75,21.75,0.273517317637394,6.78426482910067,10.6139602661133,1.04373305063087,1.63291696401743
"14","WR","Isaiah Williams",6500,"MICH","ILLINOIS",1,12.25,29.25,0.283385273261099,8.62016924319295,7.77972269058228,1.32617988356815,1.19688041393573
"15","WR","Skyler Bell",7100,"NEB","WISCONSIN",2,26,15,0.232485861977833,5.76488694077271,7.26433658599854,0.811955907151086,1.02314599802796
"16","WR","Keon Coleman",7100,"IND","MICH STATE",2,28.75,18.25,0.210666461888761,6.61850015829725,8.69736766815186,0.932183120886936,1.22498136171153
"17","WR","Derius Davis",7000,"BAY","TCU",2,29.75,27.25,0.194421538752853,4.61367531258761,7.57322597503662,0.659096473226801,1.08188942500523
"18","WR","Gavin Holmes",6800,"TCU","BAYLOR",2,27.25,29.75,0.231278218084721,6.63971025501712,8.45319366455078,0.976427978678988,1.24311671537511
"19","WR","Mycah Pittman",6500,"ULL","FLORIDA ST",2,38,14,0.137506818584574,3.99963170513007,8.35420036315918,0.615327954635396,1.28526159433218
"20","WR","Ricky Pearsall",6400,"VAN","FLORIDA",2,35.75,21.75,0.181890795614284,4.51158024684583,9.26196002960205,0.704934413569662,1.44718125462532
"21","WR","Roman Wilson",6200,"ILL","MICHIGAN",2,29.25,12.25,0.206273790129019,5.18153719200396,7.70159149169922,0.835731805161929,1.24219217608052
"22","WR","Brian Hightower",6100,"MICH","ILLINOIS",2,12.25,29.25,0.193350592652828,5.8814447651392,5.05808687210083,0.964171272973639,0.829194569196857
"23","WR","D.J. Matthews Jr.",6000,"MSU","INDIANA",2,18.25,28.75,0.17004312707518,5.70385443506031,6.01045894622803,0.950642405843385,1.00174315770467
"24","WR","Konata Mumpfield",6000,"DUKE","PITTSBURGH",2,28.25,21.25,0.225611288493855,6.09524641636626,8.88129138946533,1.01587440272771,1.48021523157756
"25","WR","Jordan Moore",5900,"PITT","DUKE",2,21.25,28.25,0.209280046614841,5.69567625155972,7.20638036727905,0.965368856196563,1.22142040123374
"26","WR","Jacob Bernard",5500,"FSU","LA LAFAYET",2,14,38,0.14767855671894,5.11610733911875,5.55792617797852,0.930201334385228,1.01053203235973
"27","WR","Quincy Skinner Jr.",5300,"UF","VANDERBILT",2,21.75,35.75,0.212387286481591,6.29407905414652,6.71167087554932,1.18756208568802,1.26635299538666
"28","WR","Marcus Washington",5300,"WIS","NEBRASKA",2,15,26,0.130827916619954,3.56398997557782,5.22701930999756,0.672450938788269,0.986230058490105
"29","WR","Ontaria Wilson",6300,"ULL","FLORIDA ST",3,38,14,0.137506818584574,3.99963170513007,6.40051507949829,0.634862175417472,1.01595477452354
"30","WR","Taye Barber",6100,"BAY","TCU",3,29.75,27.25,0.148950199681208,3.53462822834539,5.64209222793579,0.579447250548424,0.924933152120622
"31","WR","Cornelius Johnson",6000,"ILL","MICHIGAN",3,29.25,12.25,0.154243452996695,3.87455036253319,5.77045774459839,0.645758393755532,0.961742957433065
"32","WR","Pat Bryant",6000,"MICH","ILLINOIS",3,12.25,29.25,0.153191673413351,4.65986865257581,5.75657320022583,0.776644775429302,0.959428866704305
"33","WR","Bub Means",5800,"DUKE","PITTSBURGH",3,28.25,21.25,0.153467549340214,4.14616899885279,5.54217910766602,0.714856723940136,0.955548122011382
"34","TE","Daniel Barker",5600,"IND","MICH STATE",3,28.75,18.25,0.137202775528421,4.31049433978328,5.3582558631897,0.769731132104158,0.956831404141017
"35","WR","Andison Coby",5600,"MSU","INDIANA",3,18.25,28.75,0.143189350359614,4.80308275406502,5.59787702560425,0.857693348940182,0.99962089742933
"36","WR","Jontavis Robertson",5500,"PITT","DUKE",3,21.25,28.25,0.148859510830732,4.05129678806788,6.04278659820557,0.736599416012341,1.09868847240101
"37","TE","Ben Sims",5300,"TCU","BAYLOR",3,27.25,29.75,0.131767655065913,3.78288564252173,5.69940280914307,0.713752008022968,1.07535902059303
"38","TE","Neal Johnson",5200,"FSU","LA LAFAYET",3,14,38,0.111794464617772,3.87295551643538,4.98403215408325,0.744799137776034,0.958467721939087
"39","WR","Caleb Douglas",5200,"VAN","FLORIDA",3,35.75,21.75,0.1612114824369,3.99865500214425,6.21975946426392,0.768972115796972,1.19610758928152
"40","WR","Jayden McGowan",5200,"UF","VANDERBILT",3,21.75,35.75,0.151053266598623,4.47645062521768,5.25116682052612,0.860855889464938,1.0098397731781
"41","TE","Travis Vokolek",4700,"WIS","NEBRASKA",3,15,26,0.122398848748738,3.33436686322829,4.26363849639893,0.709439758133679,0.907157126893388
"42","TE","Jack Eschenbach",4600,"NEB","WISCONSIN",3,26,15,0.159649649982656,3.95878774930279,4.95327377319336,0.860606032457129,1.07679864634638
"43","WR","Keontez Lewis",6000,"NEB","WISCONSIN",4,26,15,0.139852431364076,3.46788165244622,5.63055896759033,0.577980275407704,0.938426494598389
"44","WR","Savion Williams",5600,"BAY","TCU",4,29.75,27.25,0.12928237464837,3.06790545993008,4.80332708358765,0.547840260701801,0.85773697921208
"45","WR","Tre Mosley",5500,"IND","MICH STATE",4,28.75,18.25,0.105121452553059,3.30259664554598,4.51949071884155,0.600472117371996,0.821725585243919
"46","WR","Dontae Fleming",5400,"FSU","LA LAFAYET",4,14,38,0.103365396746556,3.58094280344596,4.14526700973511,0.663137556193697,0.767642038839835
"47","TE","AJ Barner",5400,"MSU","INDIANA",4,18.25,28.75,0.105463758165806,3.53763151207047,5.26498508453369,0.655116946679717,0.974997237876609
"48","WR","Hal Presley",5400,"TCU","BAYLOR",4,27.25,29.75,0.110311845939181,3.16691602347068,6.23816442489624,0.586465930272349,1.15521563424004
"49","WR","Eli Pancol",5300,"PITT","DUKE",4,21.25,28.25,0.102072076125287,2.77794997343509,4.81201076507568,0.524141504421715,0.907926559448242
"50","TE","Luke Schoonmaker",5000,"ILL","MICHIGAN",4,29.25,12.25,0.114013810884073,2.86399353562281,6.04276084899902,0.572798707124562,1.2085521697998
"51","WR","Alante Brown",4900,"WIS","NEBRASKA",4,15,26,0.108515678137324,2.9561640899467,3.42487144470215,0.603298793866674,0.698953356061663
"52","TE","Camren McDonald",4800,"ULL","FLORIDA ST",4,38,14,0.112663250122042,3.27701209168744,5.57472133636475,0.682710852434883,1.16140027840932
"53","TE","Tip Reiman",4700,"MICH","ILLINOIS",4,12.25,29.25,0.110340135270569,3.35638697594833,3.929767370224,0.714124888499644,0.836120717068936
"54","TE","Gavin Bartholomew",4700,"DUKE","PITTSBURGH",4,28.25,21.25,0.0900206437916577,2.43205032041219,4.37808561325073,0.517457514981317,0.93150757728739
"55","TE","Gavin Schoenwald",4700,"UF","VANDERBILT",4,21.75,35.75,0.097417266903161,2.88695236558113,4.00741910934448,0.614245184166198,0.852642363690315
"56","TE","Nicky Dalmolin",5400,"PITT","DUKE",5,21.25,28.25,0.0918106021951105,2.49867808719709,4.39486742019653,0.462718164295757,0.813864337073432
"57","WR","Peter LeBlanc",5200,"FSU","LA LAFAYET",5,14,38,0.0875608944880258,3.03341896659082,3.72812271118164,0.583349801267465,0.716946675227239
"58","WR","Gamarion Carter",4900,"UF","VANDERBILT",5,21.75,35.75,0.0703420791956185,2.08458149555309,2.8464207649231,0.425424795010835,0.580902196923081
"59","WR","Germie Bernard",4900,"IND","MICH STATE",5,28.75,18.25,0.0727494720648976,2.28556737536994,2.90553164482117,0.466442321504069,0.592965641800238
"60","WR","Geor'Quarius Spivey",4700,"BAY","TCU",5,29.75,27.25,0.0793740521066534,1.88356756670888,3.1130542755127,0.400759056746571,0.662351973513339
"61","TE","Dante Zanders",4500,"VAN","FLORIDA",4,35.75,21.75,0.120874561278644,2.99814666909986,4.97601175308228,0.666254815355525,1.10578038957384
"62","WR","Malachi Holt-Bennett",4500,"MSU","INDIANA",5,18.25,28.75,0.0960232021500443,3.22096151060589,3.65711832046509,0.715769224579087,0.812692960103353
"63","WR","Markus Allen",4500,"NEB","WISCONSIN",5,26,15,0.093567783163229,2.32017416734865,4.1023473739624,0.51559425941081,0.911632749769423
"64","WR","Omar Manning",4400,"WIS","NEBRASKA",5,15,26,0.0701573113030939,1.91121253519665,2.13958239555359,0.434366485271967,0.486268726262179
"65","WR","Seth Jones",4200,"TCU","BAYLOR",5,27.25,29.75,0.0881225048764926,2.52988761402472,4.70995283126831,0.602354193815411,1.12141734077817
"66","TE","Luke Ford",4100,"MICH","ILLINOIS",5,12.25,29.25,0.0841125920960193,2.55858312962966,2.31580972671509,0.624044665763332,0.564831640662217
"67","TE","Markeston Douglas",4100,"ULL","FLORIDA ST",5,38,14,0.0835630788733656,2.43058157464849,3.96076369285583,0.592824774304511,0.966039925086789
"68","WR","Myles Alston",4000,"DUKE","PITTSBURGH",5,28.25,21.25,0.0797591698614816,2.15482034394651,3.08945488929749,0.538705085986628,0.772363722324371
"69","TE","Jared Wiley",5600,"BAY","TCU",6,29.75,27.25,0.0793740521066534,1.88356756670888,2.78209280967712,0.336351351198015,0.496802287442344
"70","WR","Donaven McCulley",5500,"MSU","INDIANA",6,18.25,28.75,0.090122854640193,3.02304275969053,3.40581107139587,0.54964413812555,0.619238376617432
"71","WR","Sahmir Hagans",5400,"PITT","DUKE",6,21.25,28.25,0.0631517714329758,1.7187116049181,3.19575977325439,0.318279926836686,0.59180736541748
"72","WR","Casey Washington",5100,"MICH","ILLINOIS",6,12.25,29.25,0.0633873571151797,1.92815152292025,1.9085339307785,0.378068926062794,0.374222339368334
"73","WR","Maliq Carr",5100,"IND","MICH STATE",6,28.75,18.25,0.0653740376775835,2.05385363592467,2.49825644493103,0.402716399200916,0.489854204888437
"74","WR","Jaden Bradley",5000,"DUKE","PITTSBURGH",6,28.25,21.25,0.0602900097279657,1.62883013607309,2.76102352142334,0.325766027214618,0.552204704284668
"75","WR","Andrel Anthony",4900,"ILL","MICHIGAN",5,29.25,12.25,0.0836180812878692,2.10046171084608,2.96072888374329,0.428665655274709,0.604230384437405
"76","TE","Ben Bresnahan",4800,"UF","VANDERBILT",6,21.75,35.75,0.0565842902563922,1.67687059803071,2.47001171112061,0.349348041256398,0.514585773150126
"77","WR","Deuce Spann",4400,"ULL","FLORIDA ST",6,38,14,0.0711412946420998,2.06927176792718,3.55348658561707,0.470289038165268,0.807610587640242
"78","TE","Hayden Rucci",4200,"NEB","WISCONSIN",6,26,15,0.0509185321409346,1.26261261001143,2.17211771011353,0.300622050002722,0.517170883360363
"79","WR","Ja'Quavion Fraziars",4100,"VAN","FLORIDA",5,35.75,21.75,0.0907546920854988,2.25105989964321,4.96385049819946,0.549038999912978,1.21069524346328
"80","WR","Zavier Betts",4000,"WIS","NEBRASKA",6,15,26,0.0617282434318779,1.68158942284712,1.48248207569122,0.42039735571178,0.370620518922806
"81","WR","Javon Swinton",5400,"MSU","INDIANA",7,18.25,28.75,0.0641979574660883,2.15342901952671,2.51040959358215,0.398783151764205,0.464890665478177
"82","WR","Malik McClain",5200,"ULL","FLORIDA ST",7,38,14,0.0711412946420998,2.06927176792718,3.73104190826416,0.397936878447534,0.717508059281569
"83","WR","John Stephens, Jr.",5100,"FSU","LA LAFAYET",6,14,38,0.0709934162583942,2.45946294450818,2.20034742355347,0.482247636178074,0.431440671284994
"84","WR","Isaiah Garcia-Castaneda",4500,"WIS","NEBRASKA",7,15,26,0.0514667695017018,1.40204824259551,1.78389525413513,0.311566276132337,0.396421167585585
"85","WR","Blair Conwright",4500,"BAY","TCU",7,29.75,27.25,0.0578748101679242,1.3733847834209,2.35238480567932,0.305196618537978,0.522752179039849
"86","WR","Trent Whittemore",4500,"VAN","FLORIDA",6,35.75,21.75,0.0606348228923534,1.50397313018656,3.03362107276917,0.334216251152568,0.674138016170926
"87","WR","Jaylon Barden",4500,"DUKE","PITTSBURGH",7,28.25,21.25,0.0574224549830668,1.55135860129634,2.25247144699097,0.344746355843631,0.500549210442437
"88","WR","Devin Boddie Jr.",4200,"UF","VANDERBILT",7,21.75,35.75,0.0457201583334915,1.35491297848487,1.9614599943161,0.322598328210683,0.467014284360976
"89","WR","Darrell Harding Jr.",4200,"PITT","DUKE",7,21.25,28.25,0.0474175114067058,1.2904947126865,2.3610692024231,0.307260645877739,0.562159333910261
"90","WR","Javon Gipson",4100,"TCU","BAYLOR",6,27.25,29.75,0.0637547004350364,1.83031822793182,3.10586285591125,0.446419079983371,0.757527525832013
"91","WR","Miles Scott",4100,"MICH","ILLINOIS",7,12.25,29.25,0.0483985711022512,1.4722143787822,1.47882580757141,0.359076677751755,0.360689221358881
"92","WR","Oliver Martin",5000,"WIS","NEBRASKA",8,15,26,0.0474175114067058,1.29173910038839,1.15013515949249,0.258347820077677,0.230027031898499
"93","WR","Hank Beatty",4500,"MICH","ILLINOIS",8,12.25,29.25,0.0483985711022512,1.4722143787822,1.25004827976227,0.327158750840488,0.277788506613837
"94","WR","Daejon Reynolds",4200,"VAN","FLORIDA",7,35.75,21.75,0.0534828865167761,1.32657803567514,2.80619382858276,0.315851913255986,0.668141387757801
"95","WR","Malik Bowen-Sims",4200,"PITT","DUKE",8,21.25,28.25,0.0455443852131023,1.23951651123036,2.13229131698608,0.295122978864371,0.50768840880621
"96","WR","Christian Fitzpatrick",4200,"IND","MICH STATE",7,28.75,18.25,0.0653740376775835,2.05385363592467,2.39468693733215,0.489012770458255,0.570163556507655
"97","TE","Wyatt Rector",4200,"ULL","FLORIDA ST",8,38,14,0.058719510410834,1.70796196120586,2.77114295959473,0.406657609810919,0.659795942760649
"98","WR","Stephan Bracey Jr.",4200,"NEB","WISCONSIN",7,26,15,0.0627208679691771,1.55527183284769,2.06854820251465,0.370302817344687,0.492511476789202
"99","WR","Logan Kyle",4100,"UF","VANDERBILT",8,21.75,35.75,0.049543820020689,1.46822686527262,1.73268151283264,0.358104113481126,0.422605247032352
"100","WR","Peyton O'Leary",4100,"ILL","MICHIGAN",6,29.25,12.25,0.0728901767245033,1.83097989033664,2.91045832633972,0.446580461057717,0.709867884473103
"101","WR","Blake Nowell",4100,"BAY","TCU",8,29.75,27.25,0.0491335545977742,1.16595244190299,2.12360715866089,0.284378644366583,0.517952965527046
"102","WR","Marcus Burke",4600,"VAN","FLORIDA",8,35.75,21.75,0.0476182986888028,1.18111405817578,2.57741618156433,0.256763925690387,0.560307865557463
"103","WR","Dalen Cambre",4400,"FSU","LA LAFAYET",7,14,38,0.0653740376775835,2.26478780251524,2.09677791595459,0.514724500571645,0.476540435444225
"104","WR","Cade McDonald",4300,"IND","MICH STATE",8,28.75,18.25,0.0414311250606379,1.3016400679718,1.83977115154266,0.302706992551581,0.427853756172712
"105","TE","Kelsey Johnson",4200,"TCU","BAYLOR",7,27.25,29.75,0.0635443493651665,1.82427931009799,3.00229334831238,0.434352216689997,0.714831749598185
"106","TE","Cole Finney",4200,"PITT","DUKE",9,21.25,28.25,0.0476317125655379,1.29632431982369,1.98349642753601,0.308648647577069,0.472261054175241
"107","TE","James Bomba",4100,"MSU","INDIANA",8,18.25,28.75,0.0584415208711115,1.96033755521903,1.80033528804779,0.478131111029033,0.439106167816534
"108","WR","Haakon Anderson",4000,"NEB","WISCONSIN",8,26,15,0.054462907624689,1.35050149824602,1.83977115154266,0.337625374561504,0.459942787885666
"109","WR","D'Andre Rogers",4000,"BAY","TCU",9,29.75,27.25,0.0408092339150162,0.968414077200898,1.97481262683868,0.242103519300224,0.493703156709671
"110","WR","Eian Pugh",4000,"MICH","ILLINOIS",9,12.25,29.25,0.0426056053957401,1.29600075894413,1.10125374794006,0.324000189736033,0.275313436985016
"111","WR","Wilson Long",4000,"UF","VANDERBILT",9,21.75,35.75,0.0413349472349279,1.22495762296093,1.82324850559235,0.306239405740232,0.455812126398087
"112","WR","Josh Cameron",4800,"TCU","BAYLOR",8,27.25,29.75,0.0463284812992875,1.33003313035543,4.75525999069214,0.277090235490715,0.990679164727529
"113","TE","Aaron Steinfeldt",4300,"MSU","INDIANA",9,18.25,28.75,0.046640825851409,1.56450005338831,1.56476366519928,0.363837221718211,0.36389852679053
"114","TE","Dominic DiNunzio",4200,"BAY","TCU",10,29.75,27.25,0.040994756015034,0.972816566442996,1.97481262683868,0.231622992010237,0.470193482580639
"115","WR","Jamal Bell",4100,"FSU","LA LAFAYET",8,14,38,0.0579986032902695,2.0092766786495,1.79168570041656,0.490067482597439,0.436996512296723
"116","WR","Carter Selzer",4100,"ILL","MICHIGAN",7,29.25,12.25,0.0512555691883821,1.28752488564261,2.48075032234192,0.314030459912832,0.605061054229736
