"","player","ou","position","Salary","TeamAbbrev","value"
"1","Kenny Pickett",257,"QB",5200,"PIT",123.557692307692
"2","Tom Brady",286,"QB",6300,"TB",113.492063492063
"3","Aaron Rodgers",247,"QB",6100,"GB",101.229508196721
"4","Zach Wilson",225,"QB",5300,"NYJ",106.132075471698
"5","Daniel Jones",241,"QB",5200,"NYG",115.865384615385
"6","Lamar Jackson (BAL)",275,"QB",8100,"BAL",84.8765432098765
"7","Jimmy Garoppolo",235,"QB",5500,"SF",106.818181818182
"8","Marcus Mariota",227,"QB",5300,"ATL",107.075471698113
"9","Kirk Cousins",265,"QB",6000,"MIN",110.416666666667
"10","Skylar Thompson",220,"QB",5000,"MIA",110
"11","Andy Dalton",204,"QB",5200,"NO",98.0769230769231
"12","Joe Burrow",257,"QB",6700,"CIN",95.8955223880597
"13","Jacoby Brissett",218,"QB",5400,"CLE",100.925925925926
"14","Matt Ryan",246,"QB",5300,"IND",116.037735849057
"15","Trevor Lawrence",250,"QB",5600,"JAX",111.607142857143
"16","Matthew Stafford",262,"QB",6200,"LAR",105.645161290323
"17","P.J. Walker",211.5,"QB",4900,"CAR",107.908163265306
"18","Geno Smith",279,"QB",5700,"SEA",122.368421052632
"19","Kyler Murray",284,"QB",7300,"ARI",97.2602739726027
"20","Josh Allen",348,"QB",8200,"BUF",106.09756097561
"21","Patrick Mahomes",320,"QB",8000,"KC",100
