"","player","ou","position","Salary","TeamAbbrev","value"
"1","Cameron Brate",21.5,"TE",3300,"TB",6.51515151515152
"2","Chase Claypool",40.5,"WR",4500,"PIT",9
"3","Chris Godwin",61.5,"WR",6100,"TB",10.0819672131148
"4","Diontae Johnson",60.5,"WR",5700,"PIT",10.6140350877193
"5","George Pickens",47.5,"WR",4600,"PIT",10.3260869565217
"6","Jaylen Warren",10.5,"RB",4600,"PIT",2.28260869565217
"7","Leonard Fournette",27.5,"RB",7400,"TB",3.71621621621622
"8","Mike Evans",68.5,"WR",7000,"TB",9.78571428571429
"9","Najee Harris",12.5,"RB",6000,"PIT",2.08333333333333
"10","Rachaad White",13.5,"RB",5200,"TB",2.59615384615385
"11","Russell Gage",35.5,"WR",4400,"TB",8.06818181818182
"12","Zach Gentry",23.5,"TE",2600,"PIT",9.03846153846154
"13","Aaron Jones",22.5,"RB",7600,"GB",2.96052631578947
"14","AJ Dillon",12.5,"RB",5600,"GB",2.23214285714286
"15","Allen Lazard",47.5,"WR",6000,"GB",7.91666666666667
"16","Breece Hall",20.5,"RB",5800,"NYJ",3.53448275862069
"17","Corey Davis",36.5,"WR",4800,"NYJ",7.60416666666667
"18","Elijah Moore",36.5,"WR",4900,"NYJ",7.44897959183673
"19","Garrett Wilson",45.5,"WR",5000,"NYJ",9.1
"20","Michael Carter",10.5,"RB",5000,"NYJ",2.1
"21","Randall Cobb",42.5,"WR",4400,"GB",9.65909090909091
"22","Robert Tonyan",24.5,"TE",3600,"GB",6.80555555555556
"23","Romeo Doubs",51.5,"WR",4800,"GB",10.7291666666667
"24","Tyler Conklin",20.5,"TE",3400,"NYJ",6.02941176470588
"25","Daniel Bellinger",21.5,"TE",3200,"NYG",6.71875
"26","Darius Slayton",38.5,"WR",3800,"NYG",10.1315789473684
"27","Demarcus Robinson",18.5,"WR",3200,"BAL",5.78125
"28","Devin Duvernay",40.5,"WR",4700,"BAL",8.61702127659574
"29","Isaiah Likely",12.5,"TE",2800,"BAL",4.46428571428571
"30","J.K. Dobbins",8.5,"RB",5500,"BAL",1.54545454545455
"31","Mark Andrews",73.5,"TE",7000,"BAL",10.5
"32","Saquon Barkley",27.5,"RB",7700,"NYG",3.57142857142857
"33","Brandon Aiyuk",48.5,"WR",5400,"SF",8.98148148148148
"34","Deebo Samuel",61.5,"WR",7600,"SF",8.0921052631579
"35","Drake London",51.5,"WR",5400,"ATL",9.53703703703704
"36","George Kittle",42.5,"TE",5100,"SF",8.33333333333333
"37","Jauan Jennings",16.5,"WR",3600,"SF",4.58333333333333
"38","Jeff Wilson Jr.",8.5,"RB",6200,"SF",1.37096774193548
"39","Kyle Juszczyk",8.5,"RB",4000,"SF",2.125
"40","Olamide Zaccheaus",26.5,"WR",4000,"ATL",6.625
"41","Tyler Allgeier",5.5,"RB",5100,"ATL",1.07843137254902
"42","Adam Thielen",53.5,"WR",5900,"MIN",9.06779661016949
"43","Alexander Mattison",5.5,"RB",5900,"MIN",0.932203389830508
"44","Dalvin Cook",14.5,"RB",7500,"MIN",1.93333333333333
"45","Irv Smith Jr.",31.5,"TE",3200,"MIN",9.84375
"46","Jaylen Waddle",50.5,"WR",6200,"MIA",8.14516129032258
"47","Johnny Mundt",7.5,"TE",2500,"MIN",3
"48","Justin Jefferson",87.5,"WR",8900,"MIN",9.8314606741573
"49","K.J. Osborn",28.5,"WR",4300,"MIN",6.62790697674419
"50","Mike Gesicki",19.5,"TE",3100,"MIA",6.29032258064516
"51","Raheem Mostert",7.5,"RB",5700,"MIA",1.31578947368421
"52","Trent Sherfield",15.5,"WR",3000,"MIA",5.16666666666667
"53","Tyreek Hill",63.5,"WR",7500,"MIA",8.46666666666667
"54","Adam Trautman",21.5,"TE",3000,"NO",7.16666666666667
"55","Alvin Kamara",32.5,"RB",6700,"NO",4.85074626865672
"56","Hayden Hurst",36.5,"TE",3300,"CIN",11.0606060606061
"57","Ja'Marr Chase",78.5,"WR",7700,"CIN",10.1948051948052
"58","Joe Mixon",21.5,"RB",6900,"CIN",3.11594202898551
"59","Juwan Johnson",21.5,"TE",2800,"NO",7.67857142857143
"60","Marquez Callaway",41.5,"WR",3900,"NO",10.6410256410256
"61","Samaje Perine",7.5,"RB",5600,"CIN",1.33928571428571
"62","Tre'Quan Smith",44.5,"WR",3700,"NO",12.027027027027
"63","Tyler Boyd",43.5,"WR",5100,"CIN",8.52941176470588
"64","Amari Cooper",53.5,"WR",5900,"CLE",9.06779661016949
"65","David Bell",7.5,"WR",3100,"CLE",2.41935483870968
"66","David Njoku",35.5,"TE",4000,"CLE",8.875
"67","Donovan Peoples-Jones",32.5,"WR",3900,"CLE",8.33333333333333
"68","Harrison Bryant",13.5,"TE",2700,"CLE",5
"69","Jakobi Meyers",55.5,"WR",5300,"NE",10.4716981132075
"70","Kareem Hunt",15.5,"RB",5700,"CLE",2.71929824561404
"71","Nick Chubb",7.5,"RB",8200,"CLE",0.914634146341463
"72","Rhamondre Stevenson",18.5,"RB",6000,"NE",3.08333333333333
"73","Alec Pierce",45.5,"WR",4300,"IND",10.5813953488372
"74","Christian Kirk",60.5,"WR",5800,"JAX",10.4310344827586
"75","Deon Jackson",13.5,"RB",5200,"IND",2.59615384615385
"76","Evan Engram",27.5,"TE",3500,"JAX",7.85714285714286
"77","James Robinson",9.5,"RB",6100,"JAX",1.55737704918033
"78","Kylen Granson",17.5,"TE",2600,"IND",6.73076923076923
"79","Michael Pittman Jr.",69.5,"WR",6900,"IND",10.0724637681159
"80","Mo Alie-Cox",19.5,"TE",3000,"IND",6.5
"81","Parris Campbell",21.5,"WR",3400,"IND",6.32352941176471
"82","Travis Etienne",18.5,"RB",5000,"JAX",3.7
"83","Zay Jones",43.5,"WR",4200,"JAX",10.3571428571429
"84","Allen Robinson II",33.5,"WR",4900,"LAR",6.83673469387755
"85","Ben Skowronek",37.5,"WR",4100,"LAR",9.14634146341463
"86","Christian McCaffrey",39.5,"RB",8300,"CAR",4.75903614457831
"87","Cooper Kupp",90.5,"WR",9700,"LAR",9.3298969072165
"88","DJ Moore",53.5,"WR",5100,"CAR",10.4901960784314
"89","Ian Thomas",8.5,"TE",2600,"CAR",3.26923076923077
"90","Tyler Higbee",55.5,"TE",4600,"LAR",12.0652173913043
"91","A.J. Green (ARI)",24.5,"WR",4100,"ARI",5.97560975609756
"92","DK Metcalf",69.5,"WR",6800,"SEA",10.2205882352941
"93","Eno Benjamin",26.5,"RB",4600,"ARI",5.76086956521739
"94","Kenneth Walker III",12.5,"RB",5400,"SEA",2.31481481481481
"95","Marquise Brown",70.5,"WR",7200,"ARI",9.79166666666667
"96","Noah Fant",25.5,"TE",3000,"SEA",8.5
