"","position","player","Salary","Opponent","team_name","string","implied_total","opp_implied_total","est_wr_share","est_tar","est_fdpts","tar_value","pts_value"
"84","WR","James Phillips",5500,"FRES","HAWAII",5,17.25,44.75,0.099210895567848,3.19332950735631,4.58426380157471,0.580605364973875,0.833502509377219
"85","WR","Jaden Walley",5300,"AUB","MISS STATE",5,31.75,19.25,0.0948958245688312,4.42598753582231,4.6151270866394,0.835091987891003,0.87077869559234
"86","TE","Sam Olson",5200,"CSU","S JOSE ST",5,34.25,10.25,0.0844146511245721,2.53633577042876,4.29379081726074,0.487756878928608,0.825729003319373
"87","WR","Kyron Hudson",5000,"CAL","USC",5,41,19.5,0.0841606812034657,2.77869967852341,5.09734916687012,0.555739935704682,1.01946983337402
"88","WR","Brannon Spector",5000,"ND","CLEMSON",5,23.75,20.25,0.100821776517742,2.7858327123777,4.30652952194214,0.557166542475541,0.861305904388428
"89","WR","Cam Johnson",5000,"UCLA","ARIZONA ST",5,28,39,0.0834348161707022,2.67651871596695,3.59733581542969,0.53530374319339,0.719467163085938
"90","WR","Josh Vann",5000,"VAN","S CAROLINA",5,27.5,21,0.0906390595336759,2.53876757679008,4.19670009613037,0.507753515358015,0.839340019226074
"91","WR","Hudson Habermehl",4900,"ASU","UCLA",5,39,28,0.0909245827109988,2.91303329278773,4.97468757629395,0.594496590364842,1.01524236250897
"92","WR","Michael Redding III",4800,"FSU","MIAMI FL",5,23,30.5,0.0891929606194709,3.43942426700303,5.53718423843384,0.716546722292298,1.15358004967372
"93","WR","Quincy Skinner Jr.",4800,"SCAR","VANDERBILT",5,21,27.5,0.0742575588458339,2.0668314693059,2.90702033042908,0.43058988943873,0.605629235506058
"94","TE","Ced Seabrough",4600,"WAKE","NC STATE",4,25.5,28.5,0.120519322241088,4.03292581784212,4.22277879714966,0.876723003878722,0.917995390684708
"95","WR","Mason Mangum",4100,"USC","CAL",5,19.5,41,0.0742640053190976,2.90204482345713,2.35603499412537,0.707815810599301,0.574642681493992
