"","player","Salary","TeamAbbrev","dk_opp_abbr","string","implied_total","opp_implied_total","est_wr_share","est_tar","est_dkpts","value"
"54","Markus Allen",3500,"WISC","MSU",4,28.5,21,0.106001567449629,2.96111470897912,6.0885181427002,1.73957661220006
"55","Tyler Walton",3000,"OHIO","WMU",4,30.5,29,0.129461048218703,3.80022628941849,8.30131530761719,2.76710510253906
"56","James Bostic",5400,"OHIO","WMU",5,30.5,29,0.0946399271287018,2.7780799248247,4.91083145141602,0.909413231743707
"57","Jaden Bray",4900,"OKST","TCU",5,32.5,36,0.0996247960332088,3.75530687103348,5.69180393218994,1.16159263922244
"58","JoJo Earle",4400,"BAMA","TENN",5,36.25,28.75,0.121411921274877,3.98599435494181,6.57506418228149,1.49433276870034
"59","Chase Roberts",4400,"BYU","ARK",5,32.5,34,0.106080574263,3.57020593910734,7.8916449546814,1.7935556715185
"60","Andison Coby",4200,"IU","UMD",5,25,36.5,0.0998968954350168,5.45051117747819,7.74761247634888,1.84466963722592
"61","Keontez Lewis",3900,"WISC","MSU",5,28.5,21,0.0854413728599481,2.38677325268029,4.43902158737183,1.13821066342867
"62","Ketron Jackson Jr.",3700,"ARK","BYU",5,34,32.5,0.0843467328702197,2.32051329597483,5.46433591842651,1.47684754552068
"63","Germie Bernard",3600,"MSU","WISC",5,21,28.5,0.0985801679636991,3.44547434339775,3.79385709762573,1.05384919378493
"64","Jacob Warren",3000,"TENN","BAMA",5,28.75,36.25,0.0752669511848486,2.92337930608839,4.54632806777954,1.51544268925985
"65","Geor'Quarius Spivey",3000,"TCU","OKST",5,36,32.5,0.0933930809643279,2.99664161045224,5.39825487136841,1.79941829045614
"66","Trebor Pena",3000,"SYR","NCST",5,23.25,19.75,0.0948597960171648,2.62415413212964,4.68419647216797,1.56139882405599
"67","Ced Seabrough",3000,"NCST","SYR",4,19.75,23.25,0.124634436401805,3.78109859312342,5.00045919418335,1.66681973139445
"68","CJ Dippre",3000,"UMD","IU",5,36.5,25,0.101430357279912,3.30890036187414,5.7282280921936,1.90940936406453
"69","Kody Epps",4100,"BYU","ARK",6,32.5,34,0.0744119597126069,2.50437954688965,7.36894655227661,1.79730403714064
"70","Tai Felton",4000,"UMD","IU",6,36.5,25,0.0884956615375956,2.88693971251577,4.49139785766602,1.1228494644165
"71","Malachi Holt-Bennett",3500,"IU","UMD",6,25,36.5,0.0855467716360196,4.66754880588468,4.83999490737915,1.38285568782261
"72","Hayden Rucci",3200,"WISC","MSU",6,28.5,21,0.0854413728599481,2.38677325268029,3.8400776386261,1.20002426207066
"73","Walker Merrill",3000,"TENN","BAMA",6,28.75,36.25,0.0696475726040378,2.70512182657559,3.94738435745239,1.31579478581746
"74","Jaedon Wilson",3000,"ARK","BYU",6,34,32.5,0.0573193345992882,1.57694641544367,4.24663114547729,1.4155437151591
"75","Jared Wiley",3000,"TCU","OKST",6,36,32.5,0.0628232907046059,2.01576910288318,4.3933367729187,1.4644455909729
"76","Jake Schultz",3000,"OKST","TCU",6,32.5,36,0.0527029848834394,1.98661266208044,3.70542144775391,1.23514048258464
"77","Julian Gray",3000,"NCST","SYR",5,19.75,23.25,0.099221222480587,3.01012493465169,3.9888482093811,1.3296160697937
"78","Umari Hatcher",3000,"SYR","NCST",6,23.25,19.75,0.0704001736126905,1.9475153251959,3.67927932739258,1.22642644246419
"79","Maliq Carr",3000,"MSU","WISC",6,21,28.5,0.0758216847114158,2.65004285083563,3.27115917205811,1.09038639068604
"80","Nigel Drummond II",3000,"OHIO","WMU",6,30.5,29,0.073132076884892,2.14673405631818,4.31188726425171,1.43729575475057
"81","Austin Hence",3000,"WMU","OHIO",5,29,30.5,0.0920125370446383,2.55002603923982,4.54632806777954,1.51544268925985
"82","Cale Cabbiness",4000,"OKST","TCU",7,32.5,36,0.0508673212137079,1.91741823793776,3.43067097663879,0.857667744159698
"83","Darryl Jones",4000,"NCST","SYR",6,19.75,23.25,0.078123010172634,2.37005768535762,4.18028163909912,1.04507040977478
"84","Brayden Cosper",3900,"BYU","ARK",7,32.5,34,0.0685116122027557,2.3057997798699,4.70927572250366,1.20750659551376
"85","Donaven McCulley",3700,"IU","UMD",7,25,36.5,0.0605326632611245,3.30274485779095,4.42875862121582,1.19696178951779
"86","D'Marcus Adams",3600,"SYR","NCST",7,23.25,19.75,0.0625330435995555,1.72988296039266,3.19859719276428,0.888499220212301
"87","Jacoby Jones",3600,"OHIO","WMU",7,30.5,29,0.0683154666727685,2.00534628751941,6.73021554946899,1.86950431929694
"88","Christian Leary",3500,"BAMA","TENN",6,36.25,28.75,0.0764742900852982,2.51067675544029,5.10939741134644,1.45982783181327
"89","Anthony Sambucci",3500,"WMU","OHIO",6,29,30.5,0.0673279914237147,1.86592106700521,4.25554180145264,1.21586908612932
"90","Dean Engram",3400,"WISC","MSU",7,28.5,21,0.0648811782702668,1.81243179638147,4.21706485748291,1.24031319337733
"91","Jimmy Calloway",3000,"TENN","BAMA",7,28.75,36.25,0.0641096774969011,2.49002917700443,4.18083381652832,1.39361127217611
"92","Bryce Stephens",3000,"ARK","BYU",7,34,32.5,0.0530776101221601,1.46024980240257,3.25774931907654,1.08591643969218
"93","Blair Conwright",3000,"TCU","OKST",7,36,32.5,0.0467808712077754,1.50102666907382,3.90579891204834,1.30193297068278
"94","Octavian Smith Jr.",3000,"UMD","IU",7,36.5,25,0.0772569043759742,2.52030462775037,4.21664762496948,1.40554920832316
"95","Ja'Corey Brooks",5900,"BAMA","TENN",7,36.25,28.75,0.060189183079725,1.97603119582612,5.1428050994873,0.871661881269035
"96","Javon Swinton",4800,"IU","UMD",8,25,36.5,0.0423544424348818,2.31091627924864,4.27570152282715,0.890771150588989
"97","Rashod Owens",4300,"OKST","TCU",8,32.5,36,0.0390666261940054,1.47259693987772,3.06482672691345,0.71275040160778
"98","Corey Dyches",3800,"UMD","IU",8,36.5,25,0.0772569043759742,2.52030462775037,7.16264343261719,1.88490616647821
"99","Porter Rooks",3600,"NCST","SYR",7,19.75,23.25,0.0633185018751891,1.9209257511072,2.78542590141296,0.773729417059157
"100","Aramoni Rhone",3500,"OHIO","WMU",8,30.5,29,0.0474868819716941,1.39393971974092,3.12781715393066,0.89366204398019
"101","Jimmy Holiday",3300,"TENN","BAMA",8,28.75,36.25,0.0390194750863733,1.51552207451306,2.69488406181335,0.816631533882835
"102","Blake Nowell",3200,"TCU","OKST",8,36,32.5,0.0467808712077754,1.50102666907382,3.75274181365967,1.17273181676865
"103","Tyren Mason",3200,"WMU","OHIO",7,29,30.5,0.0660636312430323,1.8308807182954,3.26665997505188,1.02083124220371
"104","Nathan Bax",3000,"ARK","BYU",8,34,32.5,0.0523283596447187,1.43963672545514,3.10469222068787,1.03489740689596
"105","Dallin Holker",3000,"BYU","ARK",8,32.5,34,0.0513593876196404,1.7285312790064,4.15024471282959,1.38341490427653
"106","Maximilian Mang",3000,"SYR","NCST",8,23.25,19.75,0.0471508789025447,1.30435842053959,2.3649320602417,0.788310686747233
"107","Stephan Bracey Jr.",3000,"WISC","MSU",8,28.5,21,0.0507823789635733,1.41858703530439,2.79350924491882,0.931169748306274
"108","Christian Fitzpatrick",3000,"MSU","WISC",7,21,28.5,0.0437047748226284,1.52752509400058,2.3776478767395,0.792549292246501
"109","Squirrel White",4300,"TENN","BAMA",9,28.75,36.25,0.0416418517574183,1.61737556495237,2.61783361434937,0.608798514964969
"110","Robbie Ouzts",3000,"BAMA","TENN",8,36.25,28.75,0.0515202242613332,1.69142635183308,4.06282949447632,1.35427649815877
"111","Masen Wake",3000,"BYU","ARK",9,32.5,34,0.0503019776716384,1.69294350713906,2.95864915847778,0.986216386159261
"112","Sam Mbake",3000,"ARK","BYU",9,34,32.5,0.0493513439449591,1.35773427021425,2.7025134563446,0.900837818781535
"113","Langston Anderson",3000,"OKST","TCU",9,32.5,36,0.0397103004678073,1.4968599197719,2.98777627944946,0.995925426483154
"114","D'Andre Rogers",3000,"TCU","OKST",9,36,32.5,0.0467808712077754,1.50102666907382,3.48806500434875,1.16268833478292
"115","Kameron Walker",3000,"NCST","SYR",8,19.75,23.25,0.0515178068554866,1.56292203540035,2.4195818901062,0.806527296702067
"116","Cade McDonald",3000,"MSU","WISC",8,21,28.5,0.0397984003575809,1.39099344394312,2.08708882331848,0.695696274439494
"117","Haakon Anderson",3000,"WISC","MSU",9,28.5,21,0.0418388529605387,1.16875293346144,2.57895684242249,0.859652280807495
"118","Mitch Bartol",3000,"WMU","OHIO",8,29,30.5,0.0623921558303524,1.72912982428168,3.11360287666321,1.0378676255544
"119","Caleb Gossett",3000,"OHIO","WMU",9,30.5,29,0.0344547640191333,1.01139224363475,3.05076670646667,1.01692223548889
"120","Talyn Shettron",3500,"OKST","TCU",10,32.5,36,0.0329670461708345,1.24267632088045,2.85027432441711,0.814364092690604
"121","James Bomba",3400,"IU","UMD",9,25,36.5,0.0372597657101611,2.03294375254693,3.07854557037354,0.905454579521628
