"","position","player","Salary","Opponent","team_name","implied_total","opp_implied_total","est_pa","est_ra","est_fdpts","value"
"1","QB","Bo Nix",12000,"WASH","OREGON",42.75,30.25,31.1913223266602,9.82100094309368,31.1991558074951,2.59992965062459
"2","QB","Drake Maye",11800,"WAKE","N CAROLINA",37.5,41.5,37.4592056274414,8.58638302314091,28.3640060424805,2.40372932563394
"3","QB","Michael Penix Jr.",10800,"ORE","WASHINGTON",30.25,42.75,43.1064491271973,4.66510377631948,23.1388111114502,2.14248251031946
"4","QB","Sam Hartman",10600,"UNC","WAKE",41.5,37.5,37.10595703125,3.24309405573774,21.3197536468506,2.01129751385383
"5","QB","Adrian Martinez",10500,"BAY","KANSAS ST",25,27.5,28.0501098632812,9.2371645706578,20.6925315856934,1.97071729387556
"6","QB","Max Duggan",10300,"TEX","TCU",29,36,28.4086132049561,7.67170186211024,19.7782135009766,1.92021490300743
"7","QB","Behren Morton",10000,"KU","TEXAS TECH",34,30.5,38.08642578125,5.94103033638902,24.7350883483887,2.47350883483887
"8","QB","Jordan Travis",9800,"SYR","FLORIDA ST",29.25,21.75,25.7536201477051,4.2136697848062,18.9460296630859,1.93326833296795
"9","QB","Quinn Ewers",9000,"TCU","TEXAS",36,29,32.0296287536621,6.38087151638729,19.5668296813965,2.17409218682183
"10","QB","Robby Ashford",9000,"TXAM","AUBURN",24.75,23.25,25.4217834472656,6.97290230095825,16.6357765197754,1.84841961330838
"11","QB","Stetson Bennett",8700,"MSST","GEORGIA",34.25,17.75,29.3148365020752,5.53384952194426,19.8009223937988,2.27596809124124
"12","QB","Conner Weigman",8300,"AUB","TEXAS A&M",23.25,24.75,41.1185493469238,3.47348625669133,17.1117630004883,2.06165819282991
"13","QB","Will Rogers",8200,"UGA","MISS STATE",17.75,34.25,54.479419708252,2.63430905794664,14.3323030471802,1.74784183502197
"14","QB","Blake Shapen",8000,"KSU","BAYLOR",27.5,25,25.8257942199707,4.1841388061203,16.9112644195557,2.11390805244446
"15","QB","Carlos Del Rio-Wilson",7500,"FSU","SYRACUSE",21.75,29.25,28.6618175506592,4.79737394189732,10.9071292877197,1.4542839050293
"16","QB","Jason Bean",11000,"TTU","KANSAS",30.5,34,27.0124931335449,6.95850244675694,23.2891502380371,2.11719547618519
