"","position","player","Salary","Opponent","team_name","implied_total","opp_implied_total","est_pa","est_ra","est_fdpts","value"
"1","QB","Hendon Hooker",10800,"LSU","TENNESSEE",33.75,30.75,34.2767868041992,5.61365298134638,28.5351428985596,2.64214286097774
"2","QB","Jalon Daniels",10600,"TCU","KANSAS",30.75,37.75,25.56614112854,10.1530503594238,26.4126453399658,2.4917589943364
"3","QB","Will Rogers",10400,"ARK","MISS STATE",33.25,24.25,45.5986671447754,2.99258880519551,21.6210613250732,2.07894820433397
"4","QB","Dillon Gabriel",10200,"TEX","OKLAHOMA",28.75,37.25,34.0238609313965,4.41953683713496,25.0465908050537,2.45554811814252
"5","QB","Max Duggan",10100,"KU","TCU",37.75,30.75,29.3370132446289,4.1505614493926,23.8709201812744,2.36345744369054
"6","QB","Anthony Richardson",9800,"MIZZ","FLORIDA",32.25,21.75,29.8660907745361,6.62388141525071,20.7684860229492,2.11923326764788
"7","QB","Jayden Daniels",9500,"TENN","LSU",30.75,33.75,34.0094528198242,6.33672978715765,18.9216594696045,1.99175362837942
"8","QB","Quinn Ewers",9000,"OU","TEXAS",37.25,28.75,32.2500305175781,4.38071303269612,19.2174663543701,2.13527403937446
"9","QB","KJ Jefferson",8900,"MSST","ARKANSAS",24.25,33.25,31.1819229125977,15.3312465420024,20.5938167572021,2.31391199519125
"10","QB","Aidan O'Connell",8800,"MD","PURDUE",28.25,31.25,33.3060493469238,5.83452312935606,15.8505163192749,1.80119503628124
"11","QB","Taulia Tagovailoa",8700,"PUR","MARYLAND",31.25,28.25,29.9899673461914,4.44783895326077,17.5507278442383,2.01732503956762
"12","QB","J.J. McCarthy",8600,"IND","MICHIGAN",40.75,18.25,26.1293449401855,6.26250529401437,13.5449180603027,1.57499047212823
"13","QB","Brennan Armstrong",7700,"LOU","VIRGINIA",24,26.5,35.7361907958984,5.89897206248907,16.1693859100342,2.09992024805639
"14","QB","Brady Cook",7400,"UF","MISSOURI",21.75,32.25,29.88596534729,6.58517917536938,15.2223815917969,2.05707859348606
"15","QB","Brock Domann",7000,"UVA","LOUISVILLE",26.5,24,28.5607051849365,6.76298669540529,15.824875831604,2.260696547372
"16","QB","Connor Bazelak",6800,"MICH","INDIANA",18.25,40.75,44.0842208862305,3.56233922304682,19.0072593688965,2.79518520130831
