"","player","Salary","TeamAbbrev","dk_opp_abbr","string","implied_total","opp_implied_total","est_ra","est_re","est_dkpts","value"
"1","Israel Abanikanda",7700,"PITT","SYR",1,26,22,26.79099112202,2.95135452258659,25.3796558380127,3.29605919974191
"2","Sean Tucker",6700,"SYR","PITT",1,22,26,17.5239154026475,4.45352708716489,19.8733901977539,2.96617764145581
"3","Kenny McIntosh",6600,"UGA","TENN",1,36.75,28.25,12.9311944747704,2.61490165672734,17.4636077880859,2.64600118001302
"4","Jabari Small",6300,"TENN","UGA",1,28.25,36.75,16.3314092261984,2.56002048302742,17.8606243133545,2.83501973227849
"5","Isaiah Bowser",6100,"UCF","MEM",1,31.5,28.5,13.8124444930603,2.51735742002834,18.0841236114502,2.96461042810659
"6","Dominic Richardson",6000,"OKST","KU",1,30.75,32.25,17.8753169368205,3.3049636235307,18.6872234344482,3.11453723907471
"7","Shaun Shivers",5900,"IU","PSU",1,18.75,32.25,12.8173849456968,3.31191153639595,13.409538269043,2.27280309644796
"8","Bucky Irving",5800,"ORE","COL",1,47,16,13.1246666954143,2.79787435509664,19.0804977416992,3.28974098994814
"9","Brandon Thomas",5300,"MEM","UCF",1,28.5,31.5,10.7146838856586,1.92398490092817,14.1022796630859,2.66080748360112
"10","Devin Neal",5100,"KU","OKST",1,32.25,30.75,18.2848785013999,1.9681371218274,19.5464477539062,3.83263681449142
"11","Nicholas Singleton",5000,"PSU","IU",1,32.25,18.75,16.8243343550231,2.40771988325346,20.2461128234863,4.04922256469727
"12","Alex Fontenot",3200,"COL","ORE",1,16,47,16.1951661414196,2.51248201882168,11.572660446167,3.61645638942719
"13","Asa Martin",5800,"MEM","UCF",2,28.5,31.5,6.97324704208964,3.2711590153898,8.22211360931396,1.4176057947093
"14","Josh Henderson",5500,"IU","PSU",2,18.75,32.25,8.29743641466567,3.95540648988444,9.34271717071533,1.69867584922097
"15","Jaden Nixon",5200,"OKST","KU",2,30.75,32.25,6.57498757593033,2.48994521379854,8.797287940979,1.69178614249596
"16","Kaytron Allen",4900,"PSU","IU",2,32.25,18.75,15.5542964736075,2.67024235174901,14.995626449585,3.06033192848673
"17","Daijun Edwards",4500,"UGA","TENN",2,36.75,28.25,11.5513571020818,2.08004653099551,12.5355682373047,2.78568183051215
"18","LeQuint Allen",4300,"SYR","PITT",2,22,26,2.63230988828875,2.20665636749591,4.75762701034546,1.10642488612685
"19","Noah Whittington",4200,"ORE","COL",2,47,16,10.1543643796872,2.43224660467859,12.3452634811401,2.93934844789051
"20","Jaylen Wright",4100,"TENN","UGA",2,28.25,36.75,10.373940759745,2.92911039109423,10.2558965682983,2.50143818738984
"21","Ky Thomas",4000,"KU","OKST",2,32.25,30.75,8.92236867458479,1.95303362328241,10.5824270248413,2.64560675621033
"22","Johnny Richardson",3800,"UCF","MEM",2,31.5,28.5,8.5831300711335,3.22613911159263,9.91453552246094,2.60908829538446
"23","Deion Smith",3600,"COL","ORE",2,16,47,9.02282585078075,2.87449970738717,6.39626026153564,1.77673896153768
"24","Vincent Davis",3300,"PITT","SYR",2,26,22,6.196761547343,2.3737156040756,7.17515087127686,2.17428814281117
"25","Kendall Milton",5300,"UGA","TENN",3,36.75,28.25,8.60318555806031,2.04553015151617,9.54237747192383,1.80044857960827
"26","RJ Harvey",4800,"UCF","MEM",3,31.5,28.5,4.0906756415276,2.85505507838964,10.5251121520996,2.19273169835409
"27","Jaylin Lucas",3900,"IU","PSU",3,18.75,32.25,6.21546894385043,3.43414352127995,6.0988826751709,1.56381607055664
"28","Ollie Gordon",3800,"OKST","KU",3,30.75,32.25,3.05405845397374,2.33244513058859,6.91247177124023,1.81907151874743
"29","Sean Dollars",3500,"ORE","COL",3,47,16,5.28179124061534,2.62516180139144,8.47195148468018,2.42055756705148
"30","Jayle Stacks",3400,"COL","ORE",3,16,47,3.1673995037128,2.1458589257674,2.89462304115295,0.851359717986163
"31","Sevion Morrison",3000,"KU","OKST",3,32.25,30.75,3.00112211935952,1.65453647283418,7.45363330841064,2.48454443613688
"32","C'Bo Flemister",3000,"PITT","SYR",3,26,22,3.09587844520126,1.61254559425166,6.42897415161133,2.14299138387044
"33","Juwaun Price",3000,"SYR","PITT",3,22,26,2.04403468580395,1.79152155184989,4.75762701034546,1.58587567011515
"34","Keyvone Lee",3000,"PSU","IU",3,32.25,18.75,5.87350131393161,2.00428893802304,8.77498817443848,2.92499605814616
"35","Jevyon Ducker",3000,"MEM","UCF",3,28.5,31.5,4.72743432739175,2.11921576870912,6.71062517166138,2.23687505722046
"36","Jordan James",3400,"ORE","COL",4,47,16,2.61321241797947,1.89835310131482,7.72577142715454,2.27228571386898
"37","Deondre Jackson",3400,"OKST","KU",4,30.75,32.25,1.74472101721382,2.53301395918717,6.91247177124023,2.03307993271772
"38","Mark-Antony Richards",3100,"UCF","MEM",4,31.5,28.5,2.5679188339719,2.01786513324266,9.40608501434326,3.03422097236879
"39","Branson Robinson",3000,"UGA","TENN",4,36.75,28.25,2.14549649574858,1.74664427327157,6.60559701919556,2.20186567306519
"40","Torry Locklin",3000,"KU","OKST",4,32.25,30.75,2.0669009020157,1.84853662392673,7.08078289031982,2.36026096343994
"41","Devyn Ford",3000,"PSU","IU",4,32.25,18.75,2.73116567152811,1.94560673182801,8.02880764007568,2.67626921335856
"42","Kilohana Haasenritter",3000,"ORE","COL",5,47,16,2.47723960351173,1.59659228748798,10.1541004180908,3.38470013936361
"43","Tank Smith",3000,"PSU","IU",5,32.25,18.75,1.97518047420334,1.72148216705231,8.02880764007568,2.67626921335856
