"","player","ou","position","Salary","TeamAbbrev","value"
"1","Alexander Mattison",3.5,NA,NA,NA,NA
"2","Andy Dalton",3.5,NA,NA,NA,NA
"3","Dalvin Cook",61.5,NA,NA,NA,NA
"4","Kirk Cousins",0.5,NA,NA,NA,NA
"5","Mark Ingram",29.5,NA,NA,NA,NA
"6","Jalen Hurts",48.5,"QB",8200,"PHI",5.91463414634146
"7","James Robinson",50.5,"RB",6400,"JAX",7.890625
"8","Kenneth Gainwell",14.5,"RB",4900,"PHI",2.95918367346939
"9","Miles Sanders",63.5,"RB",6000,"PHI",10.5833333333333
"10","Travis Etienne",25.5,"RB",5400,"JAX",4.72222222222222
"11","Trevor Lawrence",11.5,"QB",5700,"JAX",2.01754385964912
"12","Devin Singletary",34.5,"RB",5900,"BUF",5.84745762711864
"13","J.K. Dobbins",36.5,"RB",5300,"BAL",6.88679245283019
"14","Josh Allen",39.5,"QB",8400,"BUF",4.70238095238095
"15","Justice Hill",24.5,"RB",4000,"BAL",6.125
"16","Lamar Jackson (BAL)",55.5,"QB",8300,"BAL",6.68674698795181
"17","Zack Moss",15.5,"RB",5000,"BUF",3.1
"18","Daniel Jones",31.5,"QB",5400,"NYG",5.83333333333333
"19","Justin Fields",38.5,"QB",5300,"CHI",7.26415094339623
"20","Khalil Herbert",74.5,"RB",5700,"CHI",13.0701754385965
"21","Saquon Barkley",79.5,"RB",8000,"NYG",9.9375
"22","Trestan Ebner",21.5,"RB",4300,"CHI",5
"23","Derrick Henry",73.5,"RB",8300,"TEN",8.85542168674699
"24","Dontrell Hilliard",11.5,"RB",4900,"TEN",2.3469387755102
"25","Jonathan Taylor",96.5,"RB",8800,"IND",10.9659090909091
"26","Matt Ryan",4.5,"QB",5600,"IND",0.803571428571429
"27","Nyheim Hines",12.5,"RB",4700,"IND",2.65957446808511
"28","Ryan Tannehill",12.5,"QB",5500,"TEN",2.27272727272727
"29","Antonio Gibson",53.5,"RB",6000,"WAS",8.91666666666667
"30","Carson Wentz",8.5,"QB",6000,"WAS",1.41666666666667
"31","Cooper Rush",2.5,"QB",5300,"DAL",0.471698113207547
"32","Curtis Samuel",10.5,"WR",5700,"WAS",1.84210526315789
"33","Ezekiel Elliott",56.5,"RB",6100,"DAL",9.26229508196721
"34","J.D. McKissic",11.5,"RB",5100,"WAS",2.25490196078431
"35","Tony Pollard",42.5,"RB",6000,"DAL",7.08333333333333
"36","Austin Ekeler",55.5,"RB",7700,"LAC",7.20779220779221
"37","Dameon Pierce",63.5,"RB",5600,"HOU",11.3392857142857
"38","Davis Mills",2.5,"QB",5000,"HOU",0.5
"39","Rex Burkhead",13.5,"RB",4900,"HOU",2.75510204081633
"40","Sony Michel",18.5,"RB",4200,"LAC",4.4047619047619
"41","Craig Reynolds",27.5,"RB",4700,"DET",5.85106382978723
"42","Geno Smith",6.5,"QB",5400,"SEA",1.2037037037037
"43","Jamaal Williams",68.5,"RB",6100,"DET",11.2295081967213
"44","Jared Goff",5.5,"QB",5900,"DET",0.932203389830508
"45","Kenneth Walker III",18.5,"RB",4800,"SEA",3.85416666666667
"46","Rashaad Penny",59.5,"RB",4900,"SEA",12.1428571428571
"47","Breece Hall",39.5,"RB",5400,"NYJ",7.31481481481481
"48","Chase Claypool",3.5,"WR",4700,"PIT",0.74468085106383
"49","Jaylen Warren",18.5,"RB",4900,"PIT",3.77551020408163
"50","Michael Carter",45.5,"RB",5200,"NYJ",8.75
"51","Mitchell Trubisky",8.5,"QB",5100,"PIT",1.66666666666667
"52","Najee Harris",66.5,"RB",6700,"PIT",9.92537313432836
"53","Zach Wilson",9.5,"QB",5200,"NYJ",1.82692307692308
"54","Cordarrelle Patterson",54.5,"RB",6500,"ATL",8.38461538461539
"55","Jacoby Brissett",13.5,"QB",5500,"CLE",2.45454545454545
"56","Kareem Hunt",43.5,"RB",6000,"CLE",7.25
"57","Marcus Mariota",31.5,"QB",5600,"ATL",5.625
"58","Nick Chubb",92.5,"RB",7900,"CLE",11.7088607594937
"59","Tyler Allgeier",29.5,"RB",4500,"ATL",6.55555555555556
"60","Baker Mayfield",10.5,"QB",5200,"CAR",2.01923076923077
"61","Christian McCaffrey",58.5,"RB",8700,"CAR",6.72413793103448
"62","Eno Benjamin",18.5,"RB",4400,"ARI",4.20454545454545
"63","James Conner",49.5,"RB",6300,"ARI",7.85714285714286
"64","Kyler Murray",22.5,"QB",7600,"ARI",2.96052631578947
"65","Aaron Jones",56.5,"RB",7500,"GB",7.53333333333333
"66","Aaron Rodgers",4.5,"QB",6300,"GB",0.714285714285714
"67","AJ Dillon",54.5,"RB",6000,"GB",9.08333333333333
"68","Damien Harris",49.5,"RB",5300,"NE",9.33962264150943
"69","Rhamondre Stevenson",44.5,"RB",5200,"NE",8.55769230769231
"70","Derek Carr",5.5,"QB",5800,"LV",0.948275862068966
"71","Javonte Williams",50.5,"RB",6600,"DEN",7.65151515151515
"72","Josh Jacobs",69.5,"RB",5500,"LV",12.6363636363636
"73","Melvin Gordon III",40.5,"RB",5800,"DEN",6.98275862068966
"74","Russell Wilson",6.5,"QB",6700,"DEN",0.970149253731343
"75","Clyde Edwards-Helaire",35.5,NA,NA,NA,NA
"76","Jerick McKinnon",17.5,NA,NA,NA,NA
"77","Leonard Fournette",64.5,NA,NA,NA,NA
"78","Patrick Mahomes",15.5,NA,NA,NA,NA
"79","Tom Brady",0.5,NA,NA,NA,NA
"80","Cam Akers",43.5,NA,NA,NA,NA
"81","Deebo Samuel",29.5,NA,NA,NA,NA
"82","Jeff Wilson Jr.",54.5,NA,NA,NA,NA
"83","Jimmy Garoppolo",2.5,NA,NA,NA,NA
"84","Matthew Stafford",2.5,NA,NA,NA,NA
