"","player","ou","position","Salary","TeamAbbrev","value"
"1","Adam Thielen",72.5,NA,NA,NA,NA
"2","Adam Trautman",37.5,NA,NA,NA,NA
"3","Alexander Mattison",15.5,NA,NA,NA,NA
"4","Chris Olave",35.5,NA,NA,NA,NA
"5","Dalvin Cook",10.5,NA,NA,NA,NA
"6","Irv Smith Jr.",23.5,NA,NA,NA,NA
"7","Jarvis Landry",7.5,NA,NA,NA,NA
"8","Johnny Mundt",0.5,NA,NA,NA,NA
"9","Justin Jefferson",108.5,NA,NA,NA,NA
"10","Juwan Johnson",33.5,NA,NA,NA,NA
"11","K.J. Osborn",6.5,NA,NA,NA,NA
"12","Mark Ingram",13.5,NA,NA,NA,NA
"13","Tre'Quan Smith",18.5,NA,NA,NA,NA
"14","A.J. Brown",69.5,"WR",7400,"PHI",9.39189189189189
"15","Christian Kirk",57.5,"WR",6600,"JAX",8.71212121212121
"16","Dallas Goedert",38.5,"TE",4500,"PHI",8.55555555555556
"17","DeVonta Smith",53.5,"WR",5800,"PHI",9.22413793103448
"18","Evan Engram",29.5,"TE",3400,"JAX",8.67647058823529
"19","Jamal Agnew",29.5,"WR",3000,"JAX",9.83333333333333
"20","James Robinson",13.5,"RB",6400,"JAX",2.109375
"21","Kenneth Gainwell",11.5,"RB",4900,"PHI",2.3469387755102
"22","Marvin Jones Jr.",44.5,"WR",4300,"JAX",10.3488372093023
"23","Miles Sanders",9.5,"RB",6000,"PHI",1.58333333333333
"24","Quez Watkins",12.5,"WR",3500,"PHI",3.57142857142857
"25","Travis Etienne",18.5,"RB",5400,"JAX",3.42592592592593
"26","Zach Pascal",11.5,"WR",3200,"PHI",3.59375
"27","Dawson Knox",29.5,"TE",3800,"BUF",7.76315789473684
"28","Demarcus Robinson",10.5,"WR",3400,"BAL",3.08823529411765
"29","Devin Duvernay",27.5,"WR",4100,"BAL",6.70731707317073
"30","Devin Singletary",15.5,"RB",5900,"BUF",2.6271186440678
"31","Gabriel Davis",48.5,"WR",6600,"BUF",7.34848484848485
"32","Isaiah McKenzie",29.5,"WR",5100,"BUF",5.7843137254902
"33","J.K. Dobbins",8.5,"RB",5300,"BAL",1.60377358490566
"34","Jamison Crowder",17.5,"WR",4100,"BUF",4.26829268292683
"35","Justice Hill",4.5,"RB",4000,"BAL",1.125
"36","Mark Andrews",65.5,"TE",7100,"BAL",9.22535211267606
"37","Rashod Bateman",46.5,"WR",5600,"BAL",8.30357142857143
"38","Stefon Diggs",81.5,"WR",8400,"BUF",9.70238095238095
