"","position","player","Salary","Opponent","team_name","implied_total","opp_implied_total","est_pa","est_ra","est_fdpts","value"
"1","QB","Clayton Tune",10800,"MEM","HOUSTON",27.5,30,32.356201171875,5.88336712323496,17.3151073455811,1.60325068014639
"2","QB","Doug Brumfield",10200,"SJST","UNLV",22.5,29,29.8586578369141,4.3984830252881,23.0160446166992,2.25647496242149
"3","QB","Chevan Cordeiro",10000,"UNLV","S JOSE ST",29,22.5,28.4560947418213,5.49124697246981,19.5637493133545,1.95637493133545
"4","QB","Seth Henigan",9600,"HOU","MEMPHIS",30,27.5,34.0127830505371,7.81300309458356,20.9817390441895,2.18559781710307
"5","QB","Casey Thompson",9000,"RUT","NEBRASKA",26.75,23.75,28.7324619293213,5.07231025651572,16.9266796112061,1.88074217902289
"6","QB","Evan Simon",7500,"NEB","RUTGERS",23.75,26.75,28.9283275604248,4.98123560280987,13.6090869903564,1.81454493204753
"7","QB","Nate Cox",7100,"CSU","NEVADA",24,20.5,25.7788410186768,5.54559031903409,13.3258924484253,1.87688626034159
"8","QB","Brayden Fowler-Nicolosi",6200,"NEV","COLO STATE",20.5,24,27.1623001098633,4.05501999924127,13.7829856872559,2.22306220762191
