"","player","Salary","TeamAbbrev","dk_opp_abbr","implied_total","opp_implied_total","est_pa","est_ra","est_dkpts","value"
"1","Collin Schlee",8300,"KENT","BGSU",28.75,26.25,29.5162086486816,5.581303450007,24.772159576416,2.98459753932723
"2","Matt McDonald",8000,"BGSU","KENT",26.25,28.75,32.1053924560547,5.89204302835401,14.8196420669556,1.85245525836945
"3","Cole Snyder",7500,"BUFF","CMU",26.5,27.5,34.1713333129883,6.41691017478081,17.9454956054688,2.39273274739583
"4","Daniel Richardson",7300,"CMU","BUFF",27.5,26.5,31.8098278045654,3.51846400975927,15.9327745437622,2.18257185530989
"5","Treyson Bourguet",6600,"WMU","NIU",24.5,25.5,30.9777278900146,5.12861713465446,15.1043529510498,2.28853832591664
"6","Rocky Lombardi",5900,"NIU","WMU",25.5,24.5,25.1545429229736,5.06656076963696,17.4089984893799,2.95067771006439
