"","position","player","Salary","Opponent","team_name","implied_total","opp_implied_total","est_pa","est_ra","est_fdpts","value"
"1","QB","Bo Nix",11500,"ARIZ","OREGON",42,28.5,32.0152816772461,4.86413083376138,29.3887767791748,2.55554580688477
"2","QB","Taylen Green",10500,"FRES","BOISE ST",26.5,19,26.8265323638916,4.18972507515434,16.6127471923828,1.58216639927455
"3","QB","Jayden de Laura",10200,"ORE","ARIZONA",28.5,42,39.8729248046875,4.22051398082527,23.9557723999023,2.34860513724533
"4","QB","Tanner McKee",9200,"ORST","STANFORD",25.75,30.75,31.6954956054688,4.81205578630352,17.7681827545166,1.93132421244746
"5","QB","Braxton Burmeister",7000,"HAW","S DIEGO ST",36,12.5,21.0401420593262,7.00431995191389,16.4713382720947,2.35304832458496
"6","QB","Logan Fife",6500,"BOIS","FRESNO ST",19,26.5,31.495719909668,3.54098719705377,12.2154216766357,1.87929564255935
"7","QB","Brayden Schager",6000,"SDSU","HAWAII",12.5,36,29.4047203063965,4.53984308463532,12.2903289794922,2.0483881632487
"8","QB","Tristan Gebbia",4000,"STAN","OREGON ST",30.75,25.75,25.9646263122559,3.52328123814681,15.9752616882324,3.99381542205811
