"","player","Salary","TeamAbbrev","dk_opp_abbr","string","implied_total","opp_implied_total","est_ra","est_re","est_dkpts","value"
"50","Qualan Jones",3500,"BAY","TCU",2,27.25,29.75,7.69972468592906,2.71639264773293,8.56708145141602,2.44773755754743
"51","Jawhar Jordan",3500,"UL","NCST",2,24,20,8.98402305899459,2.22364049525303,10.0961236953735,2.88460677010672
"52","Reggie Love III",3300,"IL","MICH",2,12.25,29.25,4.73744932531908,2.01233182553835,5.04157257080078,1.52774926387902
"53","JuTahn McClain",3200,"UK","UGA",2,12.75,35.25,6.89385997611595,2.41240179540618,5.82882118225098,1.82150661945343
"54","Brandon Campbell",6900,"UH","ECU",3,30.75,36.75,2.90227230882337,3.04002643389224,8.10201358795166,1.17420486781908
"55","Kendall Milton",5200,"UGA","UK",3,35.25,12.75,6.34242148127859,2.03118813509066,7.10341739654541,1.36604180702796
"56","Isaac Guerendo",5200,"WISC","NEB",3,26,15,2.44145540794588,2.46226608714243,7.52535724639893,1.44718408584595
"57","Chris Tyree",5000,"ND","BC",3,31.5,11,4.91255393784717,2.28932584454871,7.47557497024536,1.49511499404907
"58","Jonah Coleman",4900,"ARIZ","WSU",3,29.5,33.5,4.98632617419908,2.63531305762063,6.14628934860229,1.25434476502088
"59","Colby McDonald",4700,"UMD","OSU",3,18,45,3.3421718294872,1.69253337911715,4.34805345535278,0.925117756458039
"60","Craig Williams",4200,"BAY","TCU",3,27.25,29.75,3.66682991335549,1.99464716472262,8.80480766296387,2.09638277689616
"61","Josh McCray",4000,"IL","MICH",3,12.25,29.25,2.03609021408682,1.96689227496824,4.29539680480957,1.07384920120239
"62","Kavosiey Smoke",3900,"UK","UGA",3,12.75,35.25,2.8258632548488,1.52101311262247,3.94401168823242,1.01128504826472
"63","Alec Sinkfield",3700,"BC","ND",3,11,31.5,1.76002644411729,2.5131184316905,4.29539680480957,1.16091805535394
"64","Jaylin Lucas",3700,"IU","MSU",3,18.25,28.75,7.22666666313802,2.28856921797723,6.3679518699646,1.72106807296341
"65","CJ Stokes",3500,"MICH","IL",3,29.25,12.25,4.0317205423457,1.57973428179056,8.29910373687744,2.3711724962507
"66","Al-Shadee Salaam",3500,"RU","PSU",3,13,32,5.24530814172554,2.35070246600835,5.04157257080078,1.44044930594308
"67","Emani Bailey",3200,"TCU","BAY",3,29.75,27.25,2.64923241024572,1.48582600637079,8.05027198791504,2.51570999622345
"68","Jordan Schippers",3200,"KSU","WVU",3,31.25,23.25,1.80880133913143,1.80943311428351,7.08078289031982,2.21274465322495
"69","Jaylen Anderson",3200,"WVU","KSU",3,23.25,31.25,3.92862860319981,2.14000240034838,4.81328964233398,1.50415301322937
"70","Kamarro Edmonds",3200,"ECU","UH",3,36.75,30.75,2.50605990268423,1.51835960431803,6.72939729690552,2.10293665528297
"71","Keilan Robinson",3100,"UT","KU",3,36,27.5,2.52383847403357,2.67477489147893,7.6774206161499,2.47658729553223
"72","Sevion Morrison",3000,"KU","UT",3,27.5,36,2.5471846819647,1.83516740456215,6.10618114471436,2.03539371490479
"73","Keith Adams Jr.",3000,"CLEM","MIA",3,33.5,14.5,2.60292255606478,1.5684347529255,7.38432788848877,2.46144262949626
"74","Trevion Cooley",3000,"UL","NCST",3,24,20,2.75293008961249,2.4533952752316,6.34612321853638,2.11537440617879
"75","Harold Joiner",3000,"MSU","IU",3,28.75,18.25,3.1875672535096,1.86020063696427,7.36286306381226,2.45428768793742
"76","Keyvone Lee",3000,"PSU","RU",3,32,13,4.47664305522769,1.89672896285139,7.10341739654541,2.36780579884847
"77","Elijah Collins",4500,"MSU","IU",4,28.75,18.25,2.88214046551559,2.74089134683899,7.36286306381226,1.63619179195828
"78","Xavier Coleman",3600,"BC","ND",4,11,31.5,1.91534643612115,2.59743029954628,4.29539680480957,1.19316577911377
"79","Ramon Brown",3200,"UMD","OSU",4,18,45,2.95261489345002,1.92190076927223,4.34805345535278,1.35876670479774
"80","Trent Battle",3100,"TCU","BAY",4,29.75,27.25,3.20036459703162,1.3951973673073,7.6774206161499,2.47658729553223
"81","Delbert Mimms III",3100,"NCST","UL",4,20,24,2.093391127207,1.77824778088493,4.00795602798462,1.29288904128536
"82","Parker Day",3100,"RU","PSU",4,13,32,3.10447627127249,2.04270792949799,4.29539680480957,1.38561187251922
"83","Branson Robinson",3000,"UGA","UK",4,35.25,12.75,2.2968615101112,1.73439786329408,6.35723972320557,2.11907990773519
"84","Stevie Rocker Jr.",3000,"ARIZ","WSU",4,29.5,33.5,2.9215724354892,2.09175917267609,5.40011262893677,1.80003754297892
"85","Torry Locklin",3000,"KU","UT",4,27.5,36,1.83824475365232,2.01172621834067,5.73333072662354,1.91111024220784
"86","Jalen Mitchell",3000,"UL","NCST",4,24,20,2.57509351044471,2.15720780397957,6.34612321853638,2.11537440617879
"87","Devyn Ford",3000,"PSU","RU",4,32,13,2.73271920000018,1.84119593166881,6.35723972320557,2.11907990773519
"88","Tank Smith",3000,"PSU","RU",5,32,13,1.57400082947736,1.72082669113006,6.35723972320557,2.11907990773519
