"","player","Salary","TeamAbbrev","dk_opp_abbr","implied_total","opp_implied_total","est_pa","est_ra","est_dkpts","value"
"1","C.J. Stroud",9600,"OSU","UMD",45,18,29.820930480957,5.55927147301844,18.0898723602295,1.88436170419057
"2","Stetson Bennett",8800,"UGA","UK",35.25,12.75,32.9286346435547,3.76941196564636,18.3128223419189,2.08100253885443
"3","Clayton Tune",8100,"UH","ECU",30.75,36.75,41.2772636413574,7.73605993788078,30.1454467773438,3.72166009596836
"4","Max Duggan",8000,"TCU","BAY",29.75,27.25,23.7302684783936,8.86301386832997,19.0518321990967,2.38147902488708
"5","Jayden de Laura",7900,"ARIZ","WSU",29.5,33.5,31.9346199035645,3.64056931859551,27.486421585083,3.47929387152949
"6","Sean Clifford",7100,"PSU","RU",32,13,30.7312488555908,3.96565867161081,19.3713035583496,2.72835261385206
"7","DJ Uiagalelei",7000,"CLEM","MIA",33.5,14.5,27.0687370300293,8.12715175156791,21.9098529815674,3.12997899736677
"8","J.J. McCarthy",7000,"MICH","IL",29.25,12.25,25.1197071075439,12.0181419040841,18.6874618530273,2.66963740757533
"9","Will Levis",6900,"UK","UGA",12.75,35.25,23.4711990356445,5.98014497705157,9.64386653900146,1.39766181724659
"10","Quinn Ewers",6900,"UT","KU",36,27.5,34.127685546875,4.90835649091861,19.19997215271,2.78260465981304
"11","Cameron Ward",6800,"WSU","ARIZ",33.5,29.5,35.4334945678711,4.45135738687293,22.8931064605713,3.36663330302519
"12","Drew Pyne",6700,"ND","BC",31.5,11,26.3181190490723,7.38348958493225,19.7784996032715,2.95201486615992
"13","Garrett Greene",6600,"WVU","KSU",23.25,31.25,32.6151313781738,6.09859603764926,14.2972593307495,2.16625141374993
"14","Taulia Tagovailoa",6500,"UMD","OSU",18,45,28.3420372009277,4.21397575400971,12.1643524169922,1.87143883338341
"15","Casey Thompson",6200,"NEB","WISC",15,26,27.2418155670166,4.15338259374118,14.3246278762817,2.31042385101318
"16","Holton Ahlers",6200,"ECU","UH",36.75,30.75,29.9540557861328,6.07978494991772,20.9767436981201,3.38334575776131
"17","Emmett Morehead",6100,"BC","ND",11,31.5,39.6628189086914,3.1193566213675,15.3057470321655,2.50913885773205
"18","Payton Thorne",6000,"MSU","IU",28.75,18.25,31.4169616699219,5.48381740676405,14.9926290512085,2.49877150853475
"19","Blake Shapen",5900,"BAY","TCU",27.25,29.75,28.7087574005127,6.71169527946807,19.4746780395508,3.30079288805945
"20","Brock Domann",5900,"UL","NCST",24,20,31.1984672546387,4.47760181794251,13.3945560455322,2.27026373653089
"21","Connor Bazelak",5700,"IU","MSU",18.25,28.75,33.5435752868652,5.7104672375574,12.8478422164917,2.25400740640205
"22","Tommy DeVito",5700,"IL","MICH",12.25,29.25,30.418550491333,3.91634131035062,13.4744958877563,2.3639466469748
"23","Jack Chambers",5400,"NCST","UL",20,24,27.8525772094727,9.36484549973102,21.1805438995361,3.92232294435854
"24","Graham Mertz",5300,"WISC","NEB",26,15,24.7967205047607,4.83371233620559,12.0329532623291,2.27036854006209
"25","Gavin Wimsatt",5300,"RU","PSU",13,32,30.1931400299072,6.07777878146476,11.9592037200928,2.25645353209298
"26","Jacurri Brown",4500,"MIA","CLEM",14.5,33.5,27.3230571746826,9.96083364394622,16.3405284881592,3.63122855292426
"27","Jason Bean",6800,"KU","UT",27.5,36,30.6178035736084,7.22877407260057,20.9955253601074,3.08757725883933
"28","Will Howard",6400,"KSU","WVU",31.25,23.25,30.8324356079102,6.63083184713912,20.2854633331299,3.16960364580154
