"","player","Salary","TeamAbbrev","dk_opp_abbr","string","implied_total","opp_implied_total","est_ra","est_re","est_dkpts","value"
"1","Deneric Prince",6700,"TLSA","USF",1,35.75,22.25,18.2406470991149,1.91349420946796,21.9668483734131,3.27863408558404
"2","Brian Battie",6400,"USF","TLSA",1,22.25,35.75,17.1156091920729,2.8107275250128,17.1587371826172,2.68105268478394
"3","Jordan Byrd",5700,"SDSU","UNM",1,25.75,11.75,15.4446754241476,2.03345015888095,14.824933052063,2.60086544773035
"4","Nathaniel Jones",4400,"UNM","SDSU",1,11.75,25.75,15.0357648864773,2.27244369082215,13.221794128418,3.00495321100408
"5","Steven Anderson",5000,"TLSA","USF",2,35.75,22.25,9.14557118748609,1.65835563074145,11.5304517745972,2.30609035491943
"6","Jaylon Armstead",4000,"SDSU","UNM",2,25.75,11.75,9.91854543149793,1.59275623669527,9.64853763580322,2.41213440895081
"7","Christian Washington",3100,"UNM","SDSU",2,11.75,25.75,8.43913193564225,2.93277752680664,7.48052978515625,2.41307412424395
"8","Sherod White",5200,"UNM","SDSU",3,11.75,25.75,2.45273163405059,1.92090751076734,4.29539680480957,0.826037847078763
"9","Jordan Ford",4500,"TLSA","USF",3,35.75,22.25,4.0195504923291,2.17916180284419,9.02334594726562,2.00518798828125
"10","Michel Dukes",3800,"USF","TLSA",3,22.25,35.75,4.80274398064869,1.73689251098878,3.96687412261963,1.04391424279464
"11","Cam Davis",3200,"SDSU","UNM",3,25.75,11.75,7.08350343929072,2.13485856545026,7.78334760665894,2.43229612708092
"12","Kenan Christon",4600,"SDSU","UNM",4,25.75,11.75,4.02224134595051,2.11983290796705,6.89307069778442,1.49849362995314
"13","Jaden Hullaby",3000,"UNM","SDSU",4,11.75,25.75,1.94838124119543,2.12374918332577,4.29539680480957,1.43179893493652
"14","K'Wan Powell",3000,"USF","TLSA",4,22.25,35.75,3.09856990804416,1.66024926127221,3.22069787979126,1.07356595993042
