"","player","ou","position","Salary","Team","value"
"3","Josh Allen",313,"QB",9000,"BUF",34.7777777777778
"4","Kenny Pickett",221,"QB",6500,"PIT",34
"5","Marcus Mariota",231,"QB",6800,"ATL",33.9705882352941
"6","Tom Brady",286,"QB",7800,"TB",36.6666666666667
"7","Justin Fields",201,"QB",6600,"CHI",30.4545454545455
"8","Kirk Cousins",251,"QB",7100,"MIN",35.3521126760563
"9","Jacoby Brissett",226,"QB",6700,"CLE",33.7313432835821
"10","Justin Herbert",273.5,"QB",8200,"LAC",33.3536585365854
"11","Bailey Zappe",219.5,"QB",6300,"NE",34.8412698412698
"12","Jared Goff",243,"QB",8000,"DET",30.375
"13","Teddy Bridgewater",252,"QB",6400,"MIA",39.375
"14","Zach Wilson",228,"QB",7200,"NYJ",31.6666666666667
"15","Carson Wentz",244,"QB",6800,"WAS",35.8823529411765
"16","Ryan Tannehill",227,"QB",6900,"TEN",32.8985507246377
"17","Davis Mills",238,"QB",6400,"HOU",37.1875
"18","Trevor Lawrence",257,"QB",7600,"JAC",33.8157894736842
"19","Andy Dalton",245,"QB",6500,"NO",37.6923076923077
"20","Geno Smith",250,"QB",6900,"SEA",36.231884057971
"21","Baker Mayfield",203,"QB",6400,"CAR",31.71875
"22","Jimmy Garoppolo",221,"QB",7000,"SF",31.5714285714286
"23","Jalen Hurts",293,"QB",8600,"PHI",34.0697674418605
"24","Kyler Murray",274,"QB",8100,"ARI",33.8271604938272
"25","Cooper Rush",238,"QB",6500,"DAL",36.6153846153846
"26","Matthew Stafford",264,"QB",7400,"LAR",35.6756756756757
