"","position","player","Salary","Opponent","team_name","implied_total","opp_implied_total","est_pa","est_ra","est_fdpts","value"
"1","QB","Dorian Thompson-Robinson",12000,"STAN","UCLA",40.75,24.25,31.3210563659668,9.34728057643542,26.2399406433105,2.18666172027588
"2","QB","Drake Maye",11700,"PITT","N CAROLINA",34.25,31.25,35.8311729431152,6.94897472172852,25.7837600708008,2.20374017699152
"3","QB","Chevan Cordeiro",10000,"NEV","S JOSE ST",34.5,10,30.7761421203613,5.51759018576377,21.2031269073486,2.12031269073486
"4","QB","Chase Cunningham",9400,"UTEP","MIDDLE TN",24.75,27.25,38.1687469482422,6.95966939451995,17.4198417663574,1.85317465599547
"5","QB","Jalen Mayden",8500,"FRES","S DIEGO ST",16.25,26.25,25.7102966308594,4.71352125414182,11.0999164581299,1.30587252448587
"6","QB","Tanner McKee",8300,"UCLA","STANFORD",24.25,40.75,36.3289375305176,3.91467660855665,15.5461454391479,1.87302957098168
"7","QB","Kedon Slovis",7900,"UNC","PITTSBURGH",31.25,34.25,29.992847442627,5.26875684394781,16.4678745269775,2.08454107936425
"8","QB","Nate Cox",6400,"SJST","NEVADA",10,34.5,33.6385650634766,4.31215563255171,14.0432500839233,2.19425782561302
"9","QB","Gavin Hardison",6000,"MTSU","UTEP",27.25,24.75,24.9691581726074,6.21765209852128,17.7133655548096,2.95222759246826
"10","QB","Logan Fife",7000,"SDSU","FRESNO ST",26.25,16.25,25.2678451538086,5.00522442423676,11.3863716125488,1.6266245160784
