"","player","Salary","TeamAbbrev","dk_opp_abbr","implied_total","opp_implied_total","est_pa","est_ra","est_dkpts","value"
"1","Bo Nix",9400,"ORE","CAL",36.75,19.75,29.753490447998,7.10851286747726,30.9296016693115,3.29038315630974
"2","C.J. Stroud",9200,"OSU","PSU",37.5,23,29.9300231933594,4.72313084169002,22.6913967132568,2.46645616448444
"3","Sam Hartman",8900,"WAKE","UL",34,31,33.9795875549316,4.13336098324646,28.8429679870605,3.24078291989444
"4","Dillon Gabriel",8800,"OU","ISU",29.75,28.25,30.1179618835449,6.33349352073174,24.7405185699463,2.81142256476662
"5","John Rhys Plumlee",8700,"UCF","CINCY",28.75,27.25,28.2046451568604,9.29317750896445,24.4052219390869,2.80519792403298
"6","Max Duggan",8500,"TCU","WVU",38,31,29.0614032745361,8.77604116179918,28.7579383850098,3.38328686882468
"7","Stetson Bennett",8400,"UGA","UF",39.75,16.75,31.5352020263672,5.02018422475675,19.6588649749756,2.34034106844947
"8","Spencer Sanders",8300,"OKST","KSU",27.25,28.75,40.2544212341309,7.38965818682465,33.2490921020508,4.00591471109046
"9","Jordan Travis",8200,"FSU","GT",35.75,12.25,31.0532875061035,5.53949564953029,23.331579208374,2.84531453760659
"10","Adrian Martinez",8100,"KSU","OKST",28.75,27.25,29.4192867279053,11.2240114622892,32.7088394165039,4.03812832302517
"11","Malik Cunningham",8000,"UL","WAKE",31,34,31.5988998413086,10.9975177723347,33.8742637634277,4.23428297042847
"12","Ben Bryant",7200,"CINCY","UCF",27.25,28.75,32.0922813415527,3.6001993446969,14.3095102310181,1.98743197653029
"13","Sean Clifford",7000,"PSU","OSU",23,37.5,32.7121849060059,5.27518895360311,17.1431140899658,2.44901629856655
"14","JT Daniels",6500,"WVU","TCU",31,38,34.2540664672852,3.48672975346949,19.6281089782715,3.01970907358023
"15","Casey Thompson",6400,"NEB","IL",21.25,28.75,30.5001678466797,3.64088237752668,16.5383701324463,2.58412033319473
"16","KJ Jefferson",6300,"ARK","AUB",31.75,28.75,27.0321750640869,11.178800547953,30.2375774383545,4.79961546640548
"17","Anthony Richardson",6000,"UF","UGA",16.75,39.75,27.001277923584,5.80525590910179,19.4527988433838,3.24213314056396
"18","Tommy DeVito",6000,"IL","NEB",28.75,21.25,28.9870319366455,5.28104404772364,14.7428369522095,2.45713949203491
"19","Garrett Shrader",5900,"SYR","ND",24.5,23.5,25.4874591827393,9.05666883527579,17.2119998931885,2.91728811748957
"20","Jeff Sims",5800,"GT","FSU",12.25,35.75,32.2746963500977,8.12223879737508,13.5747747421265,2.34047840381491
"21","Drew Pyne",5400,"ND","SYR",23.5,24.5,28.4451770782471,6.13130625513605,18.4887409210205,3.42384091130009
"22","Jack Plummer",5300,"CAL","ORE",19.75,36.75,34.3391151428223,3.30991686648122,16.1728038787842,3.05147242995928
"23","Hunter Dekkers",5300,"ISU","OU",28.25,29.75,38.0420112609863,5.07014420519812,17.5409870147705,3.30962019146613
"24","Noah Vedral",5300,"RU","MINN",13.25,27.25,28.0410041809082,4.45243647712817,14.0559873580933,2.65207308643269
"25","Robby Ashford",5200,"AUB","ARK",28.75,31.75,28.378999710083,8.83862323739947,19.953592300415,3.83722928854135
"26","Tanner Morgan",5000,"MINN","RU",27.25,13.25,24.7930812835693,3.65227682379071,15.7462034225464,3.14924068450928
