"","player","Salary","TeamAbbrev","dk_opp_abbr","string","implied_total","opp_implied_total","est_wr_share","est_tar","est_dkpts","value"
"1","Xavier Hutchinson",7900,"ISU","OU",1,28.25,29.75,0.385250635621033,14.6557090185975,17.975830078125,2.27542152887658
"2","Trey Palmer",7600,"NEB","IL",1,21.25,28.75,0.354369958363295,10.8083432099014,18.4350986480713,2.42567087474622
"3","Marvin Mims",7500,"OU","ISU",1,29.75,28.25,0.260938725943476,7.8589426019064,16.0562553405762,2.14083404541016
"4","Tyler Hudson",7300,"UL","WAKE",1,31,34,0.28821314800278,9.10721839668808,17.7487297058105,2.4313328364124
"5","Quentin Johnston",7200,"TCU","WVU",1,38,31,0.359751187308014,10.4548743328514,21.7455711364746,3.02021821339925
"6","A.T. Perry",7000,"WAKE","UL",1,34,31,0.297722299669814,10.116480948686,21.9614791870117,3.1373541695731
"7","Emeka Egbuka",6900,"OSU","PSU",1,37.5,23,0.296883067462254,8.88571709486094,20.4916496276855,2.96980429386747
"8","Tyler Scott",6900,"CINCY","UCF",1,27.25,28.75,0.308044013021848,9.88583513147807,16.1584873199463,2.34180975651395
"9","Troy Franklin",6800,"ORE","CAL",1,36.75,19.75,0.225389140701035,6.70611364493072,16.2505741119385,2.38979031057919
"10","Bryce Ford-Wheaton",6700,"WVU","TCU",1,31,38,0.251393989088825,8.61126641172456,18.9829978942871,2.83328326780405
"11","Javon Baker",6400,"UCF","CINCY",1,28.75,27.25,0.280825082365568,7.92057179926692,12.5909357070923,1.96733370423317
"12","Johnny Wilson",6100,"FSU","GT",1,35.75,12.25,0.253701696950016,7.8782717361752,16.940013885498,2.77705145663902
"13","Oronde Gadsden II",6100,"SYR","ND",1,24.5,23.5,0.30727607054885,7.83168630594631,13.9908542633057,2.29358266611568
"14","Parker Washington",6000,"PSU","OSU",1,23,37.5,0.287622156605072,9.40874916992929,14.277717590332,2.37961959838867
"15","Ladd McConkey",5900,"UGA","UF",1,39.75,16.75,0.192260555278148,6.06297545239793,15.7381067276001,2.66747571654239
"16","Brennan Presley",5900,"OKST","KSU",1,27.25,28.75,0.269588934397324,10.8521465252904,17.6238803863525,2.98709837056823
"17","Jadon Haselwood",5800,"ARK","AUB",1,31.75,28.75,0.270187344623842,7.30375159997247,13.2963304519653,2.29247076758023
"18","Isaiah Williams",5800,"IL","NEB",1,28.75,21.25,0.271459980970676,7.86881913791818,12.7950620651245,2.20604518364216
"19","Michael Mayer",5600,"ND","SYR",1,23.5,24.5,0.375874655534376,10.6918211359004,16.5358085632324,2.95282295772008
"20","Jeremiah Hunter",5000,"CAL","ORE",1,19.75,36.75,0.277952430427034,9.54464051266122,12.6285667419434,2.52571334838867
"21","Xzavier Henderson",4900,"UF","UGA",1,16.75,39.75,0.230572690446812,6.22575729634286,8.89701175689697,1.81571668508101
"22","Ja'Varrius Johnson",4800,"AUB","ARK",1,28.75,31.75,0.261853672038878,7.43114528287549,11.2292814254761,2.33943363030752
"23","Nate McCollum",4800,"GT","FSU",1,12.25,35.75,0.243890224719796,7.8714829455885,8.8209285736084,1.83769345283508
"24","Malik Knowles",4500,"KSU","OKST",1,28.75,27.25,0.317829209749654,9.35030865212863,20.4086132049561,4.53524737887912
"25","Johnny Langan",4300,"RU","MINN",1,13.25,27.25,0.321693422166644,9.02060659594555,8.75959491729736,2.0371150970459
"26","Brevyn Spann-Ford",3900,"MINN","RU",1,27.25,13.25,0.310355094979368,7.69465909659334,14.3283357620239,3.6739322466728
"27","Marvin Harrison Jr.",7400,"OSU","PSU",2,37.5,23,0.261525730766163,7.82747118749153,15.1961936950684,2.05353968852275
"28","Ryan O'Keefe",7100,"UCF","CINCY",2,28.75,27.25,0.241372613677066,6.80782891934558,14.5845708847046,2.05416491333867
"29","Brock Bowers",6600,"UGA","UF",2,39.75,16.75,0.166726887691657,5.25776608658383,12.683629989624,1.92176211964
"30","Braydon Johnson",6400,"OKST","KSU",2,27.25,28.75,0.204914537704951,8.24871611777231,10.6512393951416,1.66425615549088
"31","Jahmal Banks",6300,"WAKE","UL",2,34,31,0.196302340374609,6.67027256199701,13.9091300964355,2.20779842800564
"32","Mitchell Tinsley",6300,"PSU","OSU",2,23,37.5,0.212098308565171,6.93819908803496,11.9724645614624,1.90039120023213
"33","Derius Davis",6200,"TCU","WVU",2,38,31,0.16790652053041,4.87959910555842,12.683629989624,2.04574677252
"34","Tre Tucker",5900,"CINCY","UCF",2,27.25,28.75,0.198509529786909,6.37062367890082,10.3640842437744,1.75662444809736
"35","Jalil Farooq",5500,"OU","ISU",2,29.75,28.25,0.177916939168918,5.35849559232646,9.8835506439209,1.79700920798562
"36","Devaughn Cooper",5500,"SYR","ND",2,24.5,23.5,0.194633072633507,4.96070249435765,8.55296516418457,1.55508457530629
"37","Kaden Prather",5400,"WVU","TCU",2,31,38,0.231459180005768,7.92841813638089,14.5219612121582,2.68925207632559
"38","Ontaria Wilson",5400,"FSU","GT",2,35.75,12.25,0.198324861653289,6.1586389485278,10.9512672424316,2.02801245230216
"39","Pat Bryant",5400,"IL","NEB",2,28.75,21.25,0.239023930815715,6.92859431617767,11.7440233230591,2.17481913389983
"40","J.Michael Sturdivant",5200,"CAL","ORE",2,19.75,36.75,0.176177456644865,6.0497779692976,9.3967342376709,1.80706427647517
"41","Ahmari Huggins-Bruce",5100,"UL","WAKE",2,31,34,0.19938541431808,6.30035973685482,13.1786470413208,2.58404843947467
"42","Aron Cruickshank",5000,"RU","MINN",2,13.25,27.25,0.183530331953155,5.1463748056219,7.55102109909058,1.51020421981812
"43","Matt Landers",4800,"ARK","AUB",2,31.75,28.75,0.21320108234921,5.76328898191666,11.0784301757812,2.30800628662109
