"","player","ou","position","Salary","Team","value"
"1","Kenny Pickett",257,"QB",6500,"PIT",98.8461538461538
"2","Tom Brady",286,"QB",7500,"TB",95.3333333333333
"3","Aaron Rodgers",247,"QB",7500,"GB",82.3333333333333
"4","Zach Wilson",225,"QB",6700,"NYJ",83.955223880597
"5","Daniel Jones",241,"QB",6800,"NYG",88.6029411764706
"6","Lamar Jackson (BAL)",275,"QB",8800,"BAL",78.125
"7","Jimmy Garoppolo",235,"QB",7100,"SF",82.7464788732394
"8","Marcus Mariota",227,"QB",6800,"ATL",83.4558823529412
"9","Kirk Cousins",265,"QB",7600,"MIN",87.1710526315789
"10","Skylar Thompson",220,"QB",6300,"MIA",87.3015873015873
"11","Andy Dalton",204,"QB",6400,"NO",79.6875
"12","Joe Burrow",257,"QB",8000,"CIN",80.3125
"13","Jacoby Brissett",218,"QB",6600,"CLE",82.5757575757576
"14","Matt Ryan",246,"QB",6900,"IND",89.1304347826087
"15","Trevor Lawrence",250,"QB",7100,"JAC",88.0281690140845
"16","Matthew Stafford",262,"QB",7200,"LAR",90.9722222222222
"17","P.J. Walker",211.5,"QB",6300,"CAR",83.9285714285714
"18","Geno Smith",279,"QB",7400,"SEA",94.2567567567568
"19","Kyler Murray",284,"QB",8300,"ARI",85.5421686746988
"20","Josh Allen",348,"QB",9200,"BUF",94.5652173913043
"21","Patrick Mahomes",320,"QB",8600,"KC",93.0232558139535
