"","player","ou","position","Salary","Team","value"
"1","Cameron Brate",21.5,"TE",4800,"TB",4.47916666666667
"2","Chase Claypool",40.5,"WR",5500,"PIT",7.36363636363636
"3","Chris Godwin",61.5,"WR",6800,"TB",9.04411764705882
"4","Diontae Johnson",60.5,"WR",6300,"PIT",9.6031746031746
"5","George Pickens",47.5,"WR",5800,"PIT",8.18965517241379
"6","Jaylen Warren",10.5,"RB",5400,"PIT",1.94444444444444
"7","Leonard Fournette",27.5,"RB",8500,"TB",3.23529411764706
"8","Mike Evans",68.5,"WR",7700,"TB",8.8961038961039
"9","Najee Harris",12.5,"RB",6200,"PIT",2.01612903225806
"10","Rachaad White",13.5,"RB",5200,"TB",2.59615384615385
"11","Russell Gage",35.5,"WR",5600,"TB",6.33928571428571
"12","Zach Gentry",23.5,"TE",4600,"PIT",5.10869565217391
"13","Aaron Jones",22.5,"RB",7300,"GB",3.08219178082192
"14","AJ Dillon",12.5,"RB",5900,"GB",2.11864406779661
"15","Allen Lazard",47.5,"WR",6200,"GB",7.66129032258065
"16","Breece Hall",20.5,"RB",7100,"NYJ",2.88732394366197
"17","Corey Davis",36.5,"WR",5800,"NYJ",6.29310344827586
"18","Elijah Moore",36.5,"WR",5200,"NYJ",7.01923076923077
"19","Garrett Wilson",45.5,"WR",5700,"NYJ",7.98245614035088
"20","Michael Carter",10.5,"RB",5900,"NYJ",1.77966101694915
"21","Randall Cobb",42.5,"WR",5700,"GB",7.45614035087719
"22","Robert Tonyan",24.5,"TE",4900,"GB",5
"23","Romeo Doubs",51.5,"WR",5500,"GB",9.36363636363636
"24","Tyler Conklin",20.5,"TE",4900,"NYJ",4.18367346938776
"25","Daniel Bellinger",21.5,"TE",4700,"NYG",4.57446808510638
"26","Darius Slayton",38.5,"WR",5600,"NYG",6.875
"27","Demarcus Robinson",18.5,"WR",5400,"BAL",3.42592592592593
"28","Devin Duvernay",40.5,"WR",6200,"BAL",6.53225806451613
"29","Isaiah Likely",12.5,"TE",4600,"BAL",2.71739130434783
"30","J.K. Dobbins",8.5,"RB",6800,"BAL",1.25
"31","Mark Andrews",73.5,"TE",7800,"BAL",9.42307692307692
"32","Saquon Barkley",27.5,"RB",8800,"NYG",3.125
"33","Brandon Aiyuk",48.5,"WR",5800,"SF",8.36206896551724
"34","Deebo Samuel",61.5,"WR",7600,"SF",8.0921052631579
"35","Drake London",51.5,"WR",6100,"ATL",8.44262295081967
"36","George Kittle",42.5,"TE",5700,"SF",7.45614035087719
"37","Jauan Jennings",16.5,"WR",5100,"SF",3.23529411764706
"38","Jeff Wilson Jr.",8.5,"RB",7200,"SF",1.18055555555556
"39","Kyle Juszczyk",8.5,"RB",4600,"SF",1.84782608695652
"40","Olamide Zaccheaus",26.5,"WR",5300,"ATL",5
"41","Tyler Allgeier",5.5,"RB",5800,"ATL",0.948275862068966
"42","Adam Thielen",53.5,"WR",5900,"MIN",9.06779661016949
"43","Alexander Mattison",5.5,"RB",5300,"MIN",1.0377358490566
"44","Dalvin Cook",14.5,"RB",8300,"MIN",1.74698795180723
"45","Irv Smith Jr.",31.5,"TE",4900,"MIN",6.42857142857143
"46","Jaylen Waddle",50.5,"WR",7300,"MIA",6.91780821917808
"47","Johnny Mundt",7.5,"TE",4300,"MIN",1.74418604651163
