"","team","opp_team","imp_totals","opp_imp_totals","est_pa","est_ra"
"87","North Carolina","Miami",31.25,34.75,36.0042533874512,34.5949287414551
"88","Duke","Georgia Tech",29,25.5,24.40576171875,40.4799499511719
"89","Washington","Arizona State",35.5,21.5,35.7820129394531,35.6857795715332
"90","Ole Miss","Vanderbilt",39,22,29.597936630249,43.2112350463867
"91","Western Kentucky","UT San Antonio",33.5,40,38.8836402893066,32.1431007385254
"92","UTEP","Louisiana Tech",24.5,27.5,24.6595211029053,41.8425178527832
"93","James Madison","Arkansas State",33,22,27.8830375671387,40.1715850830078
"94","Appalachian State","Texas State",37,18.5,26.6118354797363,37.2073631286621
"95","Connecticut","Florida International",26,21,22.1342582702637,41.1325798034668
"96","Southern Mississippi","Troy",18.75,25.25,28.4875240325928,35.4488372802734
"97","Wyoming","New Mexico",20,16.5,23.6385154724121,34.9448928833008
"98","Air Force","Utah State",32.5,22,13.3941679000854,52.4119338989258
"99","Army","Wake Forest",24.5,41,14.6947774887085,54.0582695007324
"100","Iowa","Illinois",16.5,20,28.6385822296143,31.7944984436035
"101","Clemson","Boston College",34.5,14,28.8602981567383,34.6850433349609
"102","Kansas State","Iowa State",23,22,25.7332248687744,38.8300857543945
"103","Notre Dame","BYU",27.25,23.75,26.4787197113037,38.0870056152344
"104","South Carolina","Kentucky",20.25,26.25,29.5836486816406,30.0310611724854
"105","Washington State","USC",26.25,39.25,37.3650817871094,28.0701866149902
"106","Texas A&M","Alabama",13.5,37.5,28.7079486846924,30.7881107330322
"107","Coastal Carolina","Louisiana Monroe",35.5,22.5,29.8324241638184,34.852481842041
"108","Florida State","NC State",23.5,26.5,30.0824069976807,32.4433746337891
"109","Oregon","Arizona",41.75,28.75,32.0152816772461,39.9511756896973
"110","Fresno State","Boise State",19,26.5,31.495719909668,26.4946174621582
"111","Hawai'i","San Diego State",13,35,29.4047203063965,32.9417457580566
"112","Oregon State","Stanford",32,25,25.9646263122559,35.9619827270508
