"","team","opp_team","imp_totals","opp_imp_totals","est_pa","est_ra"
"1","Northern Illinois","Central Michigan",31.5,25.5,25.448169708252,42.4312324523926
"2","Bowling Green","Western Michigan",26.25,21.75,30.3890132904053,35.677848815918
"3","Rice","UTEP",26,22.5,27.9958896636963,33.5095748901367
"4","Coastal Carolina","Appalachian State",30.5,33.5,29.7482452392578,35.2535057067871
"5","Boston College","Duke",19,28.5,31.5556030273438,30.0156936645508
"6","Connecticut","UMass",27.75,12.25,19.7238788604736,39.2010345458984
"7","Washington","Oregon State",29,25.5,40.930362701416,25.0295066833496
"8","Army","Air Force",16.5,23.5,11.401517868042,50.137393951416
"9","TCU","Texas Tech",39.5,30,26.2908477783203,44.1742210388184
"10","Texas A&M","Florida",28.5,25.5,37.8142776489258,31.5463371276855
"11","Missouri","Kentucky",19.75,21.75,25.6284885406494,32.5393600463867
"12","Wisconsin","Maryland",27.75,22.75,27.4805583953857,35.4518203735352
"13","Charlotte","Western Kentucky",28,44,33.1487846374512,36.0498008728027
"14","Tulsa","Tulane",25,32.5,32.6299438476562,33.4082908630371
"15","Virginia","North Carolina",26,33.5,34.9057273864746,33.9966773986816
"16","Northwestern","Ohio State",9.75,48.25,32.9800910949707,31.0876541137695
"17","Purdue","Iowa",22.75,18.25,33.1983108520508,37.2614364624023
"18","Nebraska","Minnesota",15.25,31.25,31.4920196533203,32.1312713623047
"19","Virginia Tech","Georgia Tech",21.75,18.75,30.6370906829834,33.4120903015137
"20","Old Dominion","Marshall",21.75,24.75,33.8716201782227,31.511604309082
"21","Temple","South Florida",23.75,27.25,37.0938339233398,33.381778717041
"22","Southern Mississippi","Georgia State",25.25,22.75,27.3846664428711,38.7375030517578
"23","Oklahoma","Baylor",31.5,28,31.3550262451172,41.9924736022949
"24","Louisiana Tech","Middle Tennessee",30.25,32.75,35.1399955749512,41.0966148376465
"25","Kansas","Oklahoma State",31.75,33.75,28.3357067108154,41.1814079284668
"26","UAB","UT San Antonio",25.5,26.5,28.790657043457,42.7753753662109
"27","Georgia","Tennessee",37,29,33.1611404418945,38.5389938354492
"28","Memphis","UCF",27.25,30.75,34.9330062866211,32.0322151184082
"29","Utah State","New Mexico",29,14.5,24.2082080841064,38.4814682006836
"30","Colorado","Oregon",15,46.5,33.3167572021484,32.5306777954102
"31","Indiana","Penn State",18.25,32.25,46.7677955627441,31.8076629638672
"32","Illinois","Michigan State",28.75,12.75,25.2759475708008,45.3186454772949
"33","Pittsburgh","Syracuse",25.75,22.25,28.2366333007812,36.2312927246094
"34","Stanford","Washington State",22.25,27.25,34.3816108703613,35.7911109924316
"35","Iowa State","West Virginia",28.5,21.5,36.5301208496094,31.3908138275146
"36","North Texas","Florida International",41.5,20.5,29.2644538879395,37.5602722167969
"37","Arkansas","Liberty",38.5,25,32.6730461120605,40.0309562683105
"38","Cincinnati","Navy",33,13.5,29.5053329467773,32.7823600769043
"39","Georgia Southern","South Alabama",28.25,32.25,38.0641670227051,34.8623428344727
"40","Louisiana","Troy",19.25,23.75,33.3566246032715,30.6942157745361
"41","Louisiana Monroe","Texas State",26.5,25.5,26.4461841583252,34.1506805419922
"42","Boise State","BYU",31.5,24,23.1309757232666,44.8969039916992
"43","LSU","Alabama",22,35.5,33.1355514526367,36.4688339233398
"44","SMU","Houston",35.25,31.75,37.2195930480957,35.3292274475098
"45","San Diego State","UNLV",27.5,21.5,25.2738513946533,39.2911109924316
"46","Kansas State","Texas",26,28.5,28.174955368042,35.6739158630371
"47","Utah","Arizona",42.25,24.75,29.0487098693848,39.0353088378906
"48","Rutgers","Michigan",9.5,35.5,22.1838245391846,31.1399784088135
"49","Miami","Florida State",22.75,30.25,38.5616111755371,32.6234397888184
"50","Vanderbilt","South Carolina",20.75,27.75,27.8332805633545,30.2588176727295
"51","Mississippi State","Auburn",32.25,19.25,46.6404876708984,30.0446586608887
"52","Notre Dame","Clemson",20.5,24,26.4455432891846,41.0452842712402
"53","Louisville","James Madison",30,22.5,31.0498199462891,34.9630584716797
"54","NC State","Wake Forest",24.75,29.25,33.4628982543945,35.1865348815918
"55","Arizona State","UCLA",28,38.5,32.079158782959,36.5228004455566
"56","Fresno State","Hawai'i",44.5,17.5,30.3020534515381,37.3246269226074
"57","USC","California",40.5,19.5,33.0166015625,36.0701179504395
"58","San Jose State","Colorado State",34.25,10.25,30.0461559295654,33.9395179748535
"59","Central Michigan","Northern Illinois",25.5,31.5,35.0162887573242,30.703592300415
"60","Western Michigan","Bowling Green",21.75,26.25,32.0388412475586,34.4327659606934
"61","UTEP","Rice",22.5,26,27.7234306335449,34.4892692565918
"62","Appalachian State","Coastal Carolina",33.5,30.5,29.6037635803223,36.1321868896484
