"","team","opp_team","imp_totals","opp_imp_totals","est_pa","est_ra"
"1","Houston","Tulane",28.75,26.25,30.1170120239258,33.5345191955566
"2","Middle Tennessee","UT San Antonio",30.5,35,33.9078979492188,39.0203895568848
"3","Boise State","San Diego State",22.25,15.75,28.6869373321533,34.7398262023926
"4","UCLA","Washington",30.75,33.75,35.7591743469238,36.047176361084
"5","UNLV","New Mexico",29,15,28.6500644683838,32.0181617736816
"6","Minnesota","Purdue",32,20,27.1281547546387,43.3425407409668
"7","Iowa","Michigan",15.75,26.25,26.9925975799561,32.455078125
"8","Wisconsin","Illinois",25.25,18.25,24.2484188079834,42.3478775024414
"9","Ole Miss","Kentucky",30.75,23.75,29.2269668579102,38.4834938049316
"10","Air Force","Navy",26.25,12.25,11.238899230957,52.434944152832
"11","Kansas State","Texas Tech",32.25,24.75,26.9873905181885,41.3744049072266
"12","TCU","Oklahoma",31.5,37.5,30.8845043182373,39.76123046875
"13","Army","Georgia State",30.75,23.25,13.2691984176636,54.4118003845215
"14","Boston College","Louisville",18.25,32.75,31.880313873291,29.8379154205322
"15","Memphis","Temple",34.75,15.75,29.6130695343018,36.1002235412598
"16","James Madison","Texas State",36.75,14.75,30.8731689453125,40.2068557739258
"17","Ball State","Northern Illinois",27.75,32.25,37.5084915161133,33.2013816833496
"18","Utah","Oregon State",32.5,22,31.0942249298096,35.9011421203613
"19","Eastern Michigan","UMass",36.5,17,29.7800045013428,32.1968612670898
"20","South Florida","East Carolina",24.5,33,27.232177734375,34.9235687255859
"21","Florida State","Wake Forest",35.25,28.75,27.5930767059326,36.8868713378906
"22","Penn State","Northwestern",38,13,35.5476570129395,38.027099609375
"23","Connecticut","Fresno State",14.25,37.75,23.0551910400391,36.8876419067383
"24","Arkansas","Alabama",21.75,38.75,27.7121448516846,40.5753784179688
"25","Baylor","Oklahoma State",29.25,26.75,28.1015644073486,43.9429244995117
"26","Kansas","Iowa State",28,31,27.8065948486328,36.8206214904785
"27","Kent State","Ohio",38.5,27,28.3949680328369,40.2944602966309
"28","Buffalo","Miami (OH)",26,24.5,32.9654579162598,33.926887512207
"29","Akron","Bowling Green",20.75,29.25,36.621524810791,29.1519203186035
"30","Toledo","Central Michigan",31.75,24.75,32.6485939025879,39.9787826538086
"31","Maryland","Michigan State",33,25.5,33.3701438903809,34.5404586791992
"32","North Carolina","Virginia Tech",31.75,22.75,32.9941711425781,33.7414512634277
"33","North Texas","Florida Atlantic",32.25,35.25,35.1966247558594,38.6570091247559
"34","Mississippi State","Texas A&M",24.5,20.5,43.2220573425293,25.5773887634277
"35","Louisiana","South Alabama",19.5,28,32.254524230957,32.0500602722168
"36","Washington State","California",28.75,24.75,33.4974136352539,30.6989154815674
"37","Charlotte","UTEP",25.75,28.75,33.3807144165039,32.0457458496094
"38","Old Dominion","Liberty",19.75,23.25,34.7713241577148,33.4925880432129
"39","Arkansas State","Louisiana Monroe",33,26,28.8219623565674,35.5226593017578
"40","Western Kentucky","Troy",30,24.5,36.61865234375,34.6720085144043
"41","Coastal Carolina","Georgia Southern",37.25,27.75,29.428108215332,45.2215881347656
"42","Auburn","LSU",19.25,27.25,27.446195602417,36.9302062988281
"43","Tulsa","Cincinnati",24.25,34.25,36.6752319335938,34.6068725585938
"44","Texas","West Virginia",36.25,26.75,32.3094902038574,33.2584381103516
"45","Duke","Virginia",27.5,25,29.529369354248,34.6282119750977
"46","Clemson","NC State",25,18.5,35.4432373046875,32.5336112976074
"47","Nebraska","Indiana",32.75,28.25,31.4608879089355,46.3041954040527
"48","Missouri","Georgia",12.75,41.75,27.8922538757324,35.1380500793457
"49","Rice","UAB",20.5,30.5,29.0977592468262,36.3235549926758
"50","New Mexico State","Florida International",34.25,19.75,21.8840427398682,42.8398628234863
"51","Pittsburgh","Georgia Tech",35,13.5,25.9190807342529,42.5154113769531
"52","Arizona","Colorado",37.25,19.75,33.1433334350586,41.4708862304688
"53","USC","Arizona State",42.75,17.25,28.0406799316406,31.1073265075684
"54","Oregon","Stanford",40,23,29.6202659606934,35.842414855957
"55","UCF","SMU",33.75,30.75,30.9287166595459,45.5589141845703
"56","Tulane","Houston",26.25,28.75,30.0460548400879,37.4910850524902
"57","UT San Antonio","Middle Tennessee",35,30.5,39.1698799133301,34.1393928527832
"58","San Diego State","Boise State",15.75,22.25,22.9942188262939,36.7024841308594
"59","Washington","UCLA",33.75,30.75,37.7353134155273,34.1167488098145
"60","New Mexico","UNLV",15,29,21.3797245025635,41.5333786010742
