"","team","opp_team","imp_totals","opp_imp_totals","est_pa","est_ra"
"61","Purdue","Minnesota",20,32,37.3413467407227,28.4745044708252
"62","Michigan","Iowa",26.25,15.75,26.5457496643066,35.0722236633301
"63","Illinois","Wisconsin",18.25,25.25,28.5931510925293,34.20263671875
"64","Kentucky","Ole Miss",23.75,30.75,32.9046363830566,38.6199684143066
"65","Navy","Air Force",12.25,26.25,10.3883380889893,54.7623977661133
"66","Texas Tech","Kansas State",24.75,32.25,38.3650321960449,33.2603073120117
"67","Oklahoma","TCU",37.5,31.5,32.2710800170898,39.0588569641113
"68","Georgia State","Army",23.25,30.75,29.8479709625244,40.5308227539062
"69","Louisville","Boston College",32.75,18.25,27.962194442749,37.6282386779785
"70","Temple","Memphis",15.75,34.75,32.4358062744141,35.1966972351074
"71","Texas State","James Madison",14.75,36.75,34.5882530212402,31.4504947662354
"72","Northern Illinois","Ball State",32.25,27.75,27.3008594512939,38.4575157165527
"73","Oregon State","Utah",22,32.5,28.329610824585,32.5041236877441
"74","UMass","Eastern Michigan",17,36.5,18.5788345336914,42.616455078125
"75","East Carolina","South Florida",33,24.5,31.6974544525146,36.7295799255371
"76","Wake Forest","Florida State",28.75,35.25,35.3959922790527,37.1921691894531
"77","Northwestern","Penn State",13,38,41.8173027038574,33.3821716308594
"78","Fresno State","Connecticut",37.75,14.25,30.5969848632812,32.4723815917969
"79","Alabama","Arkansas",38.75,21.75,37.3260612487793,34.6274070739746
"80","Oklahoma State","Baylor",26.75,29.25,41.5660057067871,32.5608291625977
"81","Iowa State","Kansas",31,28,31.078519821167,32.3504638671875
"82","Ohio","Kent State",27,38.5,33.7374076843262,32.3602905273438
"83","Miami (OH)","Buffalo",24.5,26,27.0560245513916,38.0361175537109
"84","Bowling Green","Akron",29.25,20.75,30.5091304779053,37.6482048034668
"85","Central Michigan","Toledo",24.75,31.75,38.294490814209,36.5944061279297
"86","Michigan State","Maryland",25.5,33,34.1324348449707,35.4039115905762
"87","Virginia Tech","North Carolina",22.75,31.75,33.4465522766113,34.4615669250488
"88","Florida Atlantic","North Texas",35.25,32.25,31.1512470245361,42.1438789367676
"89","Texas A&M","Mississippi State",20.5,24.5,28.206090927124,31.9372253417969
"90","South Alabama","Louisiana",28,19.5,32.1779365539551,35.9902191162109
"91","California","Washington State",24.75,28.75,31.9712142944336,33.6638984680176
"92","UTEP","Charlotte",28.75,25.75,27.1133804321289,38.0345687866211
"93","Liberty","Old Dominion",23.25,19.75,30.0840091705322,40.6080780029297
"94","Louisiana Monroe","Arkansas State",26,33,25.2622776031494,39.1490364074707
"95","Troy","Western Kentucky",24.5,30,35.8630332946777,31.8697509765625
"96","Georgia Southern","Coastal Carolina",27.75,37.25,37.4097328186035,32.7781677246094
"97","LSU","Auburn",27.25,19.25,32.7158050537109,35.7483787536621
"98","Cincinnati","Tulsa",34.25,24.25,34.6443328857422,36.6481666564941
"99","West Virginia","Texas",26.75,36.25,33.6996879577637,36.8922729492188
"100","San Jose State","Wyoming",22.75,19.75,32.5840644836426,29.0893058776855
"101","Virginia","Duke",25,27.5,34.6371307373047,31.7571640014648
"102","NC State","Clemson",18.5,25,33.8900680541992,33.1096382141113
"103","Indiana","Nebraska",28.25,32.75,48.641056060791,38.718563079834
"104","Georgia","Missouri",41.75,12.75,31.4587268829346,39.0998344421387
"105","UAB","Rice",30.5,20.5,23.7042560577393,39.3510131835938
"106","Florida International","New Mexico State",19.75,34.25,36.4929161071777,33.2232818603516
"107","Georgia Tech","Pittsburgh",13.5,35,30.8804550170898,30.9506168365479
"108","Colorado","Arizona",19.75,37.25,31.0948448181152,38.2724151611328
"109","Arizona State","USC",17.25,42.75,29.2733421325684,32.493465423584
"110","Stanford","Oregon",23,40,28.7383441925049,34.1393051147461
"111","SMU","UCF",30.75,33.75,42.3711585998535,37.9425010681152
