"","team","opp_team","imp_totals","opp_imp_totals","est_pa","est_ra"
"1","Georgia Tech","Virginia",11.5,23,30.9964714050293,37.875617980957
"2","Temple","Tulsa",13.5,31.25,34.3095016479492,31.1912422180176
"3","Western Kentucky","UAB",40,25.75,40.2150650024414,31.7622833251953
"4","Navy","Houston",27,39,10.9747886657715,44.30615234375
"5","SMU","Cincinnati",33.25,27,37.1991577148438,36.4709205627441
"6","Ohio State","Iowa",38.25,24.25,26.4774494171143,37.6049957275391
"7","Texas Tech","West Virginia",32.25,30.75,41.5892715454102,33.8117599487305
"8","Louisiana Tech","Rice",31.75,38.5,30.7805614471436,31.8205585479736
"9","Oregon","UCLA",37.75,41.5,34.6246681213379,36.6777572631836
"10","Wake Forest","Boston College",33.75,26.25,32.2826042175293,37.6609573364258
"11","Charlotte","Florida International",22,25.25,31.2231502532959,33.9313888549805
"12","Colorado State","Hawai'i",7.75,20,26.8613014221191,35.6948127746582
"13","Stanford","Arizona State",25,29.75,33.1747856140137,35.3526229858398
"14","UTEP","Florida Atlantic",26.75,20.75,27.8924293518066,39.4784774780273
"15","Louisiana","Arkansas State",22,22.5,32.4217262268066,35.4114837646484
"16","New Mexico State","San Jose State",20.5,34.25,24.8672142028809,39.1667785644531
"17","South Carolina","Texas A&M",25.25,26.5,26.390552520752,38.4377822875977
"18","East Carolina","UCF",30.25,29,36.2119255065918,32.4029235839844
"19","Louisville","Pittsburgh",30.25,30.75,29.930269241333,36.7499389648438
"20","TCU","Kansas State",38.25,29,31.56565284729,33.252613067627
"21","Nevada","San Diego State",9.75,16,28.6661605834961,29.3800582885742
"22","Virginia","Georgia Tech",23,11.5,30.4724063873291,34.0122184753418
"23","Tulsa","Temple",31.25,13.5,32.0783538818359,37.4841003417969
"24","UAB","Western Kentucky",25.75,40,28.4887638092041,38.0791206359863
"25","Houston","Navy",39,27,31.4728050231934,33.7676467895508
"26","Cincinnati","SMU",27,33.25,34.4228553771973,38.8766212463379
"27","Iowa","Ohio State",24.25,38.25,26.2420139312744,31.0724487304688
"28","West Virginia","Texas Tech",30.75,32.25,33.5407981872559,38.601390838623
"29","Rice","Louisiana Tech",38.5,31.75,27.9781227111816,34.6757965087891
"30","UCLA","Oregon",41.5,37.75,33.2735252380371,34.539680480957
"31","Boston College","Wake Forest",26.25,33.75,30.8642158508301,34.9473876953125
"32","Florida International","Charlotte",25.25,22,29.0109825134277,38.9028434753418
"33","Hawai'i","Colorado State",20,7.75,29.4869651794434,32.7594871520996
"34","Arizona State","Stanford",29.75,25,29.5321063995361,33.3184127807617
"35","Florida Atlantic","UTEP",20.75,26.75,33.547119140625,35.753963470459
"36","Arkansas State","Louisiana",22.5,22,29.090311050415,37.9705352783203
"37","San Jose State","New Mexico State",34.25,20.5,29.3835697174072,32.5844078063965
"38","Texas A&M","South Carolina",26.5,25.25,29.8813724517822,35.3531684875488
"39","UCF","East Carolina",29,30.25,29.1131267547607,39.1928825378418
"40","Pittsburgh","Louisville",30.75,30.25,27.3248424530029,37.4175987243652
"41","Kansas State","TCU",29,38.25,27.9977283477783,38.3442611694336
"42","San Diego State","Nevada",16,9.75,24.0828514099121,39.1793785095215
