"","team","opp_team","imp_totals","opp_imp_totals","est_pa","est_ra"
"1","Appalachian State","Georgia State",34.75,25.25,33.2277336120605,36.9614448547363
"2","Georgia Tech","Virginia",25,22,30.7949829101562,38.4410820007324
"3","South Alabama","Troy",24.75,21.75,31.8871097564697,32.5889778137207
"4","Temple","Tulsa",19.75,32.75,34.3095016479492,31.1912422180176
"5","Western Kentucky","UAB",29.75,27.75,45.5988960266113,28.2262153625488
"6","Baylor","Kansas",33.75,26.25,31.4546852111816,32.6505584716797
"7","Rutgers","Indiana",25.25,22,32.8224296569824,41.5136909484863
"8","Clemson","Syracuse",31.5,18,25.8054618835449,34.7348327636719
"9","Ohio State","Iowa",39,10,26.4774494171143,35.7221908569336
"10","Navy","Houston",24.25,27.25,10.4712018966675,55.9992561340332
"11","Army","Louisiana Monroe",31.25,24.25,10.3832082748413,50.8347320556641
"12","Kent State","Akron",43.25,24.75,31.5084667205811,43.4668045043945
"13","SMU","Cincinnati",28.25,31.25,39.8379096984863,37.1344184875488
"14","Miami","Duke",33.5,24.5,39.3312301635742,33.4116668701172
"15","Central Michigan","Bowling Green",28.75,22.25,34.8977394104004,34.3115768432617
"16","Buffalo","Toledo",25.25,32.75,28.771032333374,39.2237243652344
"17","Ball State","Eastern Michigan",31,28.5,38.6907768249512,36.9993629455566
"18","Ohio","Northern Illinois",31.25,34.25,34.4290428161621,32.9150352478027
"19","Notre Dame","UNLV",36,11.5,25.9347114562988,41.9482421875
"20","Louisiana Tech","Rice",26.5,30,32.3288040161133,28.8832187652588
"21","Texas Tech","West Virginia",37,30,45.7974243164062,33.5912742614746
"22","Oregon","UCLA",37.75,31.75,31.975227355957,37.363883972168
"23","Miami (OH)","Western Michigan",25.5,19,22.6320285797119,40.397403717041
"24","James Madison","Marshall",31.5,19,31.1429901123047,37.6998634338379
"25","Maryland","Northwestern",32.25,18.75,33.6441650390625,41.1952667236328
"26","UT San Antonio","North Texas",40.75,30.75,38.9579200744629,38.724365234375
"27","LSU","Ole Miss",33.75,32.25,33.3025932312012,41.2012786865234
"28","Wisconsin","Purdue",27.25,24.75,27.5191287994385,33.4200553894043
"29","Tulane","Memphis",31.75,24.75,31.1163558959961,34.7619018554688
"30","Liberty","BYU",26,32.5,31.0053882598877,37.4418716430664
"31","Wake Forest","Boston College",40.75,19.75,33.3996849060059,36.2871055603027
"32","Charlotte","Florida International",38.25,23.75,30.6912593841553,34.1021270751953
"33","Old Dominion","Georgia Southern",34,31.5,33.6965637207031,39.3844184875488
"34","Oklahoma State","Texas",27.5,34,38.9737396240234,32.8141479492188
"35","Missouri","Vanderbilt",33.25,19.25,28.6402816772461,35.1810188293457
"36","UTEP","Florida Atlantic",23.25,27.25,29.9206504821777,37.5348930358887
"37","Stanford","Arizona State",28.75,25.75,30.6061897277832,34.432674407959
"38","Colorado State","Hawai'i",25.75,20.75,23.882869720459,36.2023391723633
"39","Texas State","Southern Mississippi",20.5,23,31.5432376861572,32.5575752258301
"40","Louisiana","Arkansas State",29.25,22.75,30.1419525146484,32.132266998291
"41","New Mexico State","San Jose State",10.5,32.5,24.8672142028809,39.1667785644531
"42","New Mexico","Fresno State",15,26,22.3637580871582,39.8263702392578
"43","Alabama","Mississippi State",41,20,29.3045959472656,37.3927116394043
"44","Air Force","Boise State",25.5,22,9.71623516082764,59.1028213500977
"45","East Carolina","UCF",30.25,35.25,36.6350975036621,33.4260482788086
"46","South Carolina","Texas A&M",20.75,23.75,26.390552520752,38.2172966003418
"47","Penn State","Minnesota",24.75,19.75,30.0305976867676,33.6790084838867
"48","Louisville","Pittsburgh",28.75,26.25,29.8928241729736,35.7180824279785
"49","Oregon State","Colorado",36.75,13.25,27.3645191192627,38.7630805969238
"50","TCU","Kansas State",29.25,25.75,29.6479644775391,33.252613067627
"51","Wyoming","Utah State",23.25,18.75,25.6385688781738,39.4929580688477
"52","Nevada","San Diego State",14.75,21.75,27.6893939971924,29.8926773071289
"53","Georgia State","Appalachian State",25.25,34.75,32.7289085388184,43.1479835510254
"54","Virginia","Georgia Tech",22,25,33.586498260498,37.6319236755371
"55","Troy","South Alabama",21.75,24.75,29.2979927062988,35.4893951416016
"56","Tulsa","Temple",32.75,19.75,30.6809730529785,37.4841003417969
"57","UAB","Western Kentucky",27.75,29.75,25.8768100738525,39.981372833252
"58","Kansas","Baylor",26.25,33.75,25.3875732421875,37.8202171325684
"59","Indiana","Rutgers",22,25.25,48.6580352783203,29.7165260314941
"60","Syracuse","Clemson",18,31.5,29.9083251953125,35.8777809143066
"61","Iowa","Ohio State",10,39,26.2420139312744,31.0724487304688
"62","Houston","Navy",27.25,24.25,31.4728050231934,33.7676467895508
"63","Louisiana Monroe","Army",24.25,31.25,23.2114868164062,34.1886749267578
"64","Akron","Kent State",24.75,43.25,39.8544120788574,38.285327911377
"65","Cincinnati","SMU",31.25,28.25,32.7695083618164,40.4851875305176
"66","Duke","Miami",24.5,33.5,31.0341835021973,37.1986236572266
"67","Bowling Green","Central Michigan",22.25,28.75,29.20680809021,35.1809120178223
"68","Toledo","Buffalo",32.75,25.25,29.0722007751465,38.8234329223633
"69","Eastern Michigan","Ball State",28.5,31,29.182092666626,42.5550804138184
"70","Northern Illinois","Ohio",34.25,31.25,26.2927379608154,39.348087310791
"71","UNLV","Notre Dame",11.5,36,26.8501205444336,32.1014366149902
"72","Rice","Louisiana Tech",30,26.5,27.8978366851807,38.4380378723145
"73","West Virginia","Texas Tech",30,37,33.852180480957,39.2887268066406
"74","UCLA","Oregon",31.75,37.75,31.7916793823242,34.7336273193359
"75","Western Michigan","Miami (OH)",19,25.5,27.8423480987549,32.3325500488281
"76","Marshall","James Madison",19,31.5,30.4813747406006,39.9385261535645
"77","Northwestern","Maryland",18.75,32.25,38.7338829040527,34.344612121582
"78","North Texas","UT San Antonio",30.75,40.75,34.9158897399902,40.0573768615723
"79","Ole Miss","LSU",32.25,33.75,34.3247909545898,41.8967704772949
"80","Purdue","Wisconsin",24.75,27.25,34.8167877197266,34.2170639038086
"81","Memphis","Tulane",24.75,31.75,34.6817779541016,34.465648651123
"82","BYU","Liberty",32.5,26,32.7898445129395,31.0410709381104
"83","Boston College","Wake Forest",19.75,40.75,31.1756000518799,37.2285842895508
"84","Florida International","Charlotte",23.75,38.25,31.8306217193604,38.4160270690918
"85","Georgia Southern","Old Dominion",31.5,34,45.2162551879883,32.683406829834
"86","Texas","Oklahoma State",34,27.5,31.6057834625244,42.9038734436035
"87","Vanderbilt","Missouri",19.25,33.25,27.7309551239014,34.313549041748
"88","Florida Atlantic","UTEP",27.25,23.25,31.2673416137695,35.6880187988281
"89","Arizona State","Stanford",25.75,28.75,29.5886669158936,32.9765319824219
"90","Hawai'i","Colorado State",20.75,25.75,30.2185020446777,32.2726631164551
"91","Southern Mississippi","Texas State",23,20.5,29.4707489013672,32.4584465026855
"92","Arkansas State","Louisiana",22.75,29.25,31.4327907562256,39.1904563903809
