"","player","Salary","TeamAbbrev","dk_opp_abbr","string","implied_total","opp_implied_total","est_wr_share","est_tar","est_dkpts","value"
"1","Jordan Addison",9400,"USC","WSU",1,38.75,26.25,0.284712535466458,8.82485805707629,19.1218795776367,2.03424250825923
"2","Xavier Hutchinson",8500,"ISU","KSU",1,21.75,23.25,0.369516375594763,13.4520233059328,16.4511947631836,1.9354346780216
"3","Jacob Cowing",7800,"ARIZ","ORE",1,28.5,42,0.286630498396043,11.4287963092755,20.6636409759521,2.64918474050669
"4","A.T. Perry",7200,"WAKE","ARMY",1,41,24.5,0.308138311003047,9.94567225409397,20.6130657196045,2.86292579438951
"5","Traeshon Holden",6900,"BAMA","TA&M",1,36.25,12.25,0.244523937732914,7.31859266951332,15.7828788757324,2.28737375010615
"6","Johnny Wilson",6700,"FSU","NCST",1,23.5,27,0.269246589915977,8.09958550059005,13.4484443664551,2.00723050245598
"7","Thayer Thomas",6200,"NCST","FSU",1,27,23.5,0.204783803384108,6.6090991527993,14.1679096221924,2.28514671325684
"8","Tayvion Robinson",5800,"UK","SCAR",1,26,20,0.2164704079902,6.29659447060505,11.3998832702637,1.9654971155627
"9","Zay Flowers",5700,"BC","CLEM",1,14,34.5,0.310139533796966,9.25814731068413,12.1014814376831,2.12306691889177
"10","Michael Mayer",5600,"ND","BYU",1,27.75,23.75,0.320871095308879,8.49625579614283,12.5906343460083,2.2483275617872
"11","Gunner Romney",5200,"BYU","ND",1,23.75,27.75,0.251307474864145,8.73866659125152,16.1202983856201,3.10005738185002
"12","Troy Franklin",5100,"ORE","ARIZ",1,42,28.5,0.239706197164043,7.67426142198834,18.3291702270508,3.59395494648055
"13","De'zhaun Stribling",5000,"WSU","USC",1,26.25,38.75,0.295282712118822,11.0332626886393,15.7236576080322,3.14473152160645
"14","Phillip Brooks",4900,"KSU","ISU",1,23.25,21.75,0.331565468502747,8.53224875970174,12.5213260650635,2.55537266633948
"15","Joseph Ngata",4900,"CLEM","BC",1,34.5,14,0.20980304521886,6.05497843920793,14.4870367050171,2.95653810306471
"16","Antwane Wells Jr.",4800,"SCAR","UK",1,20,26,0.237094868877988,7.01413130510604,13.0496587753296,2.718678911527
"17","Isaiah Alston",4000,"ARMY","WAKE",1,24.5,41,0.593474516976791,8.72097597219269,12.3665466308594,3.09163665771484
"18","Evan Stewart",3800,"TA&M","BAMA",1,12.25,36.25,0.341203852934044,9.79526270104987,12.4456205368042,3.275163299159
"19","Mario Williams",7000,"USC","WSU",2,38.75,26.25,0.198690634060209,6.15855090461377,14.0597629547119,2.00853756495885
"20","Jermaine Burton",6100,"BAMA","TA&M",2,36.25,12.25,0.177181644070888,5.30304024011705,11.3494644165039,1.86056793713179
"21","Beaux Collins",5900,"CLEM","BC",2,34.5,14,0.166133278755012,4.79465595862616,10.0426893234253,1.70215073278395
"22","Ontaria Wilson",5700,"FSU","NCST",2,23.5,27,0.162539699192364,4.88958538438529,9.94767379760742,1.74520592940481
"23","Devin Carter",5300,"NCST","FSU",2,27,23.5,0.151382678446464,4.88565558083906,8.55780124664307,1.61467948049869
"24","Barion Brown",5000,"UK","SCAR",2,26,20,0.187755383442257,5.46134467147292,7.98276615142822,1.59655323028564
"25","Dorian Singer",5000,"ARIZ","ORE",2,28.5,42,0.234562455476704,9.35269114922547,18.0404796600342,3.60809593200684
"26","Lorenzo Styles",5000,"ND","BYU",2,27.75,23.75,0.222268595095458,5.88538783015789,9.37263870239258,1.87452774047852
"27","Renard Bell",4800,"WSU","USC",2,26.25,38.75,0.159756555855566,5.96931677557011,10.0440330505371,2.09250688552856
"28","Jaylin Noel",4700,"ISU","KSU",2,21.75,23.25,0.172660880962514,6.28561641143014,10.0797986984253,2.14463802094155
"29","Malik Knowles",4700,"KSU","ISU",2,23.25,21.75,0.216824987492462,5.57960616031274,7.98276615142822,1.6984608832826
"30","Puka Nacua",4300,"BYU","ND",2,23.75,27.75,0.187730221099638,6.52790694816586,9.36181449890137,2.1771661625352
"31","Ke'Shawn Williams",4200,"WAKE","ARMY",2,41,24.5,0.20279260535563,6.54546583920548,12.8191070556641,3.05216834658668
"32","Chase Lane",4100,"TA&M","BAMA",2,12.25,36.25,0.254113343490392,7.29507282501778,7.55778360366821,1.84336185455322
"33","Chase Cota",3900,"ORE","ARIZ",2,42,28.5,0.137704238188072,4.40863997374173,13.09703540802,3.35821420718462
"34","George Takacs",3800,"BC","CLEM",2,14,34.5,0.174535055938981,5.21014279920669,7.07734823226929,1.8624600611235
"35","Jalen Brooks",3500,"SCAR","UK",2,20,26,0.17120430127745,5.06484790177784,8.37743377685547,2.39355250767299
"36","Cole Caterbone",3500,"ARMY","WAKE",2,24.5,41,0.241326792579319,3.5462435190168,7.66671180725098,2.19048908778599
"37","Kobe Prentice",6300,"BAMA","TA&M",3,36.25,12.25,0.159731994793633,4.78077286429235,11.1946239471436,1.77692443605453
