"","position","player","Salary","Opponent","team_name","implied_total","opp_implied_total","est_pa","est_ra","est_fdpts","value"
"1","QB","Jalen Mayden",10000,"UNM","S DIEGO ST",25.75,11.75,23.5327644348145,6.35163002558647,13.5828533172607,1.35828533172607
"2","QB","Braylon Braxton",9200,"USF","TULSA",35.75,22.25,28.9499340057373,6.10072575674559,17.3039207458496,1.88086095063583
"3","QB","Byrum Brown",7200,"TULS","USF",22.25,35.75,28.7966594696045,5.07190581926466,18.9658546447754,2.63414647844103
"4","QB","Justin Holaday",7000,"SDSU","NEW MEXICO",11.75,25.75,23.9432964324951,5.9615483437679,12.3580617904663,1.76543739863804
