"","player","Salary","TeamAbbrev","dk_opp_abbr","implied_total","opp_implied_total","est_pa","est_ra","est_dkpts","value"
"1","C.J. Stroud",9200,"OSU","MSU",46,19,29.3004779815674,5.66731646228135,20.9784297943115,2.28026410807734
"2","Dillon Gabriel",9000,"OU","UT",28.75,37.25,34.0238609313965,4.41953683713496,28.9748001098633,3.21942223442925
"3","Michael Penix Jr.",8500,"UW","ASU",34.5,21,35.7820129394531,5.70429746581772,24.1599273681641,2.8423443962546
"4","Stetson Bennett",8400,"UGA","AUB",39,10.5,28.6269607543945,4.00694414831509,19.3299751281738,2.30118751525879
"5","Hendon Hooker",8100,"TENN","LSU",33.75,30.75,34.2767868041992,5.61365298134638,31.4470386505127,3.88235045068058
"6","Spencer Sanders",8000,"OKST","TTU",37.75,28.75,40.1265678405762,9.02777507923668,32.8120346069336,4.1015043258667
"7","Cameron Rising",7900,"UTAH","UCLA",33.75,30.25,32.8260231018066,5.22408177148702,24.964786529541,3.16009956070139
"8","Dorian Thompson-Robinson",7800,"UCLA","UTAH",30.25,33.75,35.3237495422363,5.13887491649984,24.5431823730469,3.14656184269832
"9","Will Rogers",7700,"MSST","ARK",33.25,24.25,45.5986671447754,2.99258880519551,23.8078937530518,3.09193425364309
"10","Jaxson Dart",7500,"MISS","VAND",39,22,29.597936630249,9.05581225056619,24.1916732788086,3.22555643717448
"11","Emory Jones",7400,"ASU","UW",21,34.5,29.3109912872314,4.91570541031408,14.3904075622559,1.94464967057512
"12","Jayden Daniels",7300,"LSU","TENN",30.75,33.75,34.0094528198242,6.33672978715765,20.3398170471191,2.78627630782454
"13","Max Duggan",7200,"TCU","KU",37.75,30.75,29.3370132446289,4.1505614493926,28.3861751556396,3.94252432717217
"14","Donovan Smith",7000,"TTU","OKST",28.75,37.75,48.8092727661133,9.19907772542319,23.8338432312012,3.40483474731445
"15","Jalon Daniels",6900,"KU","TCU",30.75,37.75,25.56614112854,10.1530503594238,29.3889446258545,4.25926733708036
"16","Anthony Richardson",6800,"UF","MIZZ",32.25,21.75,29.8660907745361,6.62388141525071,21.1843910217285,3.11535162084243
"17","Taulia Tagovailoa",6700,"UMD","PUR",31.25,28.25,29.9899673461914,4.44783895326077,20.092565536499,2.99889037858194
"18","KJ Jefferson",6500,"ARK","MSST",24.25,33.25,31.1819229125977,15.3312465420024,23.6323757171631,3.63575011033278
"19","Quinn Ewers",6500,"UT","OU",37.25,28.75,32.2500305175781,4.38071303269612,21.1090259552002,3.24754245464618
"20","J.J. McCarthy",6400,"MICH","IU",40.75,18.25,26.1293449401855,6.26250529401437,17.2009620666504,2.68765032291412
"21","Aidan O'Connell",6000,"PUR","UMD",28.25,31.25,33.3060493469238,5.83452312935606,17.1209411621094,2.8534901936849
"22","Payton Thorne",5900,"MSU","OSU",19,46,34.9893035888672,4.38586520117798,12.9154653549194,2.18906192456262
"23","AJ Swann",5800,"VAND","MISS",22,39,29.0339260101318,4.93855206701951,13.1652612686157,2.26987263251995
"24","Brady Cook",5700,"MIZZ","UF",21.75,32.25,29.88596534729,6.58517917536938,16.8103847503662,2.94919030708179
"25","Connor Bazelak",5300,"IU","MICH",18.25,40.75,44.0842208862305,3.56233922304682,17.8986663818359,3.37710686449735
"26","Graham Mertz",5100,"WISC","NW",27.5,17,26.874927520752,4.73185562289825,14.5486421585083,2.85267493304084
"27","Robby Ashford",5000,"AUB","UGA",10.5,39,30.8323459625244,6.04984521243651,12.9957933425903,2.59915866851807
"28","Ryan Hilinski",4900,"NW","WISC",17,27.5,39.0023460388184,5.00674574305805,17.8666725158691,3.64625969711615
