"","player","Salary","TeamAbbrev","dk_opp_abbr","implied_total","opp_implied_total","est_pa","est_ra","est_dkpts","value"
"1","Bo Nix",9600,"ORE","COL",47,16,30.1180438995361,6.45806480240117,33.6135292053223,3.50140929222107
"2","C.J. Stroud",9100,"OSU","NW",46.75,8.75,31.8028030395508,4.8092400410651,21.0933475494385,2.31795028015807
"3","Stetson Bennett",8600,"UGA","TENN",36.75,28.25,33.1611404418945,6.59394797592472,20.9334926605225,2.43412705354912
"4","Max Duggan",8500,"TCU","TTU",38.5,30.5,26.2908477783203,9.56164665589353,27.0572853088379,3.18321003633387
"5","John Rhys Plumlee",8300,"UCF","MEM",31.5,28.5,31.8154048919678,9.22645697007204,27.264232635498,3.28484730548169
"6","Drake Maye",8200,"UNC","UV",33.5,26.5,33.9277763366699,7.80327386799365,27.4604892730713,3.3488401552526
"7","Spencer Sanders",8100,"OKST","KU",30.75,32.25,38.820858001709,7.22946001565674,29.7972679138184,3.67867505108869
"8","Hendon Hooker",8000,"TENN","UGA",28.25,36.75,33.4241600036621,5.3762700048278,26.0316600799561,3.25395750999451
"9","Dillon Gabriel",7800,"OU","BAY",32.5,29,31.3550262451172,6.97617298620088,23.717493057251,3.0407042381091
"10","Jason Bean",7100,"KU","OKST",32.25,30.75,27.6041698455811,6.13199150744549,23.3444309234619,3.287948017389
"11","Brennan Armstrong",7100,"UV","UNC",26.5,33.5,34.9057273864746,5.73353614092724,18.5054416656494,2.60640023459851
"12","Sean Clifford",7000,"PSU","IU",32.25,18.75,32.4739608764648,6.0868654005543,18.4932899475098,2.64189856392997
"13","Behren Morton",6900,"TTU","TCU",30.5,38.5,41.5936889648438,5.31943968991618,26.236515045166,3.80239348480667
"14","Will Levis",6800,"UK","MIZZ",19.5,20.5,27.5162296295166,5.28113299434193,12.7899417877197,1.88087379231172
"15","Seth Henigan",6400,"MEM","UCF",28.5,31.5,34.9330062866211,8.50522451213067,23.1813678741455,3.62208873033524
"16","Michael Pratt",6300,"TUL","TLSA",31.75,24.75,29.8800373077393,6.49115348620398,22.9642524719238,3.64511943998791
"17","Casey Thompson",6200,"NEB","MINN",15,29.5,31.4920196533203,2.93920333922244,14.5252151489258,2.34277663692351
"18","Davis Brin",6200,"TLSA","TUL",24.75,31.75,32.6299438476562,4.2520324209076,14.7953786849976,2.38635140080606
"19","Blake Shapen",6100,"BAY","OU",29,32.5,31.0739727020264,5.77742398104959,17.3081817626953,2.83740684634349
"20","Brady Cook",5900,"MIZZ","UK",20.5,19.5,24.896951675415,8.40235968110551,16.1840019226074,2.74305117332329
"21","Garrett Shrader",5900,"SYR","PITT",22,26,32.0021095275879,7.53040152956601,17.3056812286377,2.93316630993859
"22","Connor Bazelak",5900,"IU","PSU",18.75,32.25,46.7677955627441,4.37324851492917,16.0352764129639,2.71784345982438
"23","Anthony Richardson",5800,"UF","TA&M",26.25,28.75,25.8005123138428,5.54629234123945,17.891185760498,3.08468720008587
"24","Haynes King",5700,"TA&M","UF",28.75,26.25,37.8142776489258,6.97234270024978,17.6860809326172,3.10282121624863
"25","Kedon Slovis",5500,"PITT","SYR",26,22,28.2366333007812,5.36808702120925,14.5757398605347,2.65013452009721
"26","Tanner Morgan",5300,"MINN","NEB",29.5,15,23.9324226379395,6.23145078817652,15.3019380569458,2.88715812395204
"27","J.T. Shrout",4900,"COL","ORE",16,47,33.3167572021484,4.27010692693079,12.9754095077515,2.64804275668397
"28","Ryan Hilinski",4800,"NW","OSU",8.75,46.75,32.9800910949707,3.57777682046395,8.89935398101807,1.85403207937876
