"","position","player","Salary","Opponent","team_name","string","implied_total","opp_implied_total","est_ra","est_re","est_fdpts","value"
"1","RB","Bijan Robinson",10500,"OKST","TEXAS",1,32.25,26.25,24.9684533815022,2.85839640359345,19.1562747955322,1.82440712338402
"2","RB","Zach Charbonnet",10200,"ORE","UCLA",1,32.5,38.5,17.0406586657582,4.00140356922115,20.6608047485352,2.02556909299364
"3","RB","Tyjae Spears",9600,"MEM","TULANE",1,31.25,24.25,18.9585426685306,3.72899156435614,19.9490756988525,2.07802871863047
"4","RB","Braelon Allen",9500,"PUR","WISCONSIN",1,26.5,25,21.3981801593936,2.76350727469172,19.10666847229,2.01122826024106
"5","RB","Xazavian Valladay",9200,"STAN","ARIZONA ST",1,25.5,27.5,22.4613929704593,3.4527501342013,19.8270092010498,2.15510969576628
"6","RB","Casey Filkins",8800,"ASU","STANFORD",1,27.5,25.5,24.7604943949431,4.04545910172912,22.4672718048096,2.55309906872836
"7","RB","Dominic Richardson",8800,"TEX","OKLA STATE",1,26.25,32.25,16.559584468435,3.23337524014042,14.1894874572754,1.61244175650857
"8","RB","Zach Evans",8700,"LSU","OLE MISS",1,31.5,33,17.7736349340806,2.77114752713864,15.8337574005127,1.81997211500146
"9","RB","Roman Hemby",8200,"NW","MARYLAND",1,32.75,18.75,19.8635803522721,3.41519435203866,15.1133785247803,1.84309494204637
"10","RB","Bucky Irving",7800,"UCLA","OREGON",1,38.5,32.5,12.520330295082,3.15303066348301,16.447473526001,2.10865045205141
"11","RB","Ray Davis",7500,"MIZZ","VANDERBILT",1,17.75,31.75,19.3246375305282,3.33728572478596,12.780366897583,1.70404891967773
"12","RB","Nathaniel Peat",6900,"VAN","MISSOURI",1,31.75,17.75,16.6826282000605,1.97784763713194,16.4737396240234,2.38749849623528
"13","RB","Justice Ellison",6800,"BC","WAKE",1,40.25,19.75,15.8433403228909,1.86635553367775,16.3870391845703,2.40985870361328
"14","RB","Brandon Thomas",6700,"TULN","MEMPHIS",1,24.25,31.25,12.4982129789848,1.95040567964287,13.0471382141113,1.94733406180766
"15","RB","Josh Williams",5800,"MISS","LSU",1,33,31.5,15.7804738504361,2.56513255188187,14.658332824707,2.52729876288052
"16","RB","Pat Garwo III",5600,"WAKE","BOSTON COL",1,19.75,40.25,16.0981947385013,2.3605308944935,11.7855472564697,2.10456201008388
"17","RB","King Doerue",5500,"WIS","PURDUE",1,25,26.5,17.0877446043972,2.03730619951573,14.1098823547363,2.5654331554066
"18","RB","Quinshon Judkins",9400,"LSU","OLE MISS",2,31.5,33,12.0763611881382,2.17672871558414,15.9446678161621,1.69624125703852
"19","RB","Devin Mockobee",7100,"WIS","PURDUE",2,25,26.5,8.93679792301763,3.32071509448528,11.2176828384399,1.57995532935774
"20","RB","Cody Schrader",7000,"VAN","MISSOURI",2,31.75,17.75,8.87045220966384,1.95027243485509,9.97986793518066,1.42569541931152
"21","RB","Noah Whittington",6400,"UCLA","OREGON",2,38.5,32.5,11.6077995742883,2.05730315823836,12.0265502929688,1.87914848327637
"22","RB","Asa Martin",6200,"TULN","MEMPHIS",2,24.25,31.25,7.72673579808219,3.24763376199192,7.0873236656189,1.14311672026111
"23","RB","Christian Turner",6100,"BC","WAKE",2,40.25,19.75,11.6622094481306,2.17321157918752,11.287483215332,1.85040708448066
"24","RB","Roschon Johnson",5800,"OKST","TEXAS",2,32.25,26.25,10.8263793730305,2.67155536527921,9.76916027069092,1.68433797770533
"25","RB","Armoni Goodwin",5600,"MISS","LSU",2,33,31.5,9.66089944593827,1.95135332522664,11.013560295105,1.96670719555446
"26","RB","Keegan Jones",5200,"ORE","UCLA",2,32.5,38.5,7.74890701092906,2.65628857211423,9.59866714477539,1.84589752784142
