team,conference,athlete_id,player,category,rushing_car,rushing_yds,rushing_td,rushing_ypc,rushing_long,week,team_rushes,runshare,season_team_rushes,season_rushes,total_runshare,avg_runshare,year,position
NC State,ACC,4240096,Matt McKay,rushing,1,2,1,2,2,2,31,0.032258064516129,411,4,0.0097323600973236,0.0387132144878325,2018,QB
Nebraska,Big Ten,4361182,Adrian Martinez,rushing,15,117,2,7.8,41,2,57,0.263157894736842,468,140,0.299145299145299,0.337944155710864,2018,QB
Nebraska,Big Ten,4240792,Andrew Bunch,rushing,1,1,0,1,1,2,57,0.0175438596491228,468,16,0.0341880341880342,0.0790577915376677,2018,QB
Nevada,Mountain West,3122611,Ty Gangi,rushing,4,-4,0,-1,9,2,25,0.16,398,44,0.110552763819095,0.12368771837782,2018,QB
New Mexico,Mountain West,3915379,Sheriron Jones,rushing,7,5,0,0.7,3,2,30,0.233333333333333,506,79,0.156126482213439,0.180103895982799,2018,QB
New Mexico,Mountain West,4039390,Tevaka Tuioti,rushing,1,4,0,4,4,2,30,0.0333333333333333,506,15,0.0296442687747036,0.0936936936936937,2018,QB
North Carolina,ACC,3895838,Nathan Elliott,rushing,1,1,0,1,1,2,25,0.04,404,39,0.0965346534653465,0.10334577707235,2018,QB
North Carolina,ACC,4361573,Cade Fortin,rushing,1,17,0,17,17,2,25,0.04,404,14,0.0346534653465347,0.132631578947368,2018,QB
Northern Illinois,Mid-American,4039470,Marcus Childers,rushing,12,12,0,1,19,2,43,0.27906976744186,559,176,0.31484794275492,0.332184235735543,2018,QB
North Texas,Conference USA,547164,Quinn Shanbour,rushing,1,5,0,5,5,2,64,0.015625,442,17,0.0384615384615385,0.0755039365197516,2018,QB
North Texas,Conference USA,4039073,Mason Fine,rushing,3,13,0,4.3,7,2,64,0.046875,442,68,0.153846153846154,0.169565976847568,2018,QB
Northwestern,Big Ten,3915966,TJ Green,rushing,2,-4,0,-2,1,2,32,0.0625,478,44,0.0920502092050209,0.0811369233318911,2018,QB
Northwestern,Big Ten,3116144,Clayton Thorson,rushing,3,-19,0,-6.3,0,2,32,0.09375,478,73,0.152719665271967,0.157798016004604,2018,QB
Notre Dame,FBS Independents,3932451,Brandon Wimbush,rushing,11,-7,0,-0.6,9,2,43,0.255813953488372,501,68,0.135728542914172,0.250127286180292,2018,QB
Notre Dame,FBS Independents,4372768,Phil Jurkovec,rushing,1,-10,0,-10,0,2,43,0.0232558139534884,501,3,0.00598802395209581,0.0227519379844961,2018,QB
Ohio State,Big Ten,4040616,Dwayne Haskins,rushing,2,-9,0,-4.5,0,2,38,0.0526315789473684,533,73,0.136960600375235,0.138700988792248,2018,QB
Ohio State,Big Ten,4241992,Tate Martell,rushing,8,95,1,11.9,47,2,38,0.210526315789474,533,22,0.0412757973733583,0.092380027804152,2018,QB
Oklahoma,Big 12,3917315,Kyler Murray,rushing,10,69,2,6.9,15,2,35,0.285714285714286,493,123,0.249492900608519,0.253586678864092,2018,QB
Oklahoma State,Big 12,4038433,Keondre Wudtee,rushing,7,34,0,4.9,10,2,45,0.155555555555556,483,12,0.0248447204968944,0.123232323232323,2018,QB
Oklahoma State,Big 12,3122424,Taylor Cornelius,rushing,5,3,0,0.6,34,2,45,0.111111111111111,483,110,0.227743271221532,0.236671697117629,2018,QB
Ole Miss,SEC,4242418,Jordan Ta'amu,rushing,2,-2,0,-1,5,2,32,0.0625,418,106,0.253588516746411,0.263676265686833,2018,QB
Ole Miss,SEC,4362874,Matt Corral,rushing,1,1,1,1,1,2,32,0.03125,418,13,0.0311004784688995,0.129382183908046,2018,QB
Oregon,Pac-12,4242490,Braxton Burmeister,rushing,2,8,0,4,5,2,47,0.0425531914893617,500,7,0.014,0.0348381417443154,2018,QB
Oregon,Pac-12,4038941,Justin Herbert,rushing,4,-5,0,-1.3,9,2,47,0.0851063829787234,500,67,0.134,0.150727723519766,2018,QB
Oregon State,Pac-12,3124900,Jake Luton,rushing,1,4,0,4,4,2,45,0.0222222222222222,486,28,0.0576131687242798,0.100635909229659,2018,QB
Oregon State,Pac-12,4042803,Conor Blount,rushing,5,15,0,3,12,2,45,0.111111111111111,486,56,0.11522633744856,0.142880046328428,2018,QB
