Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Jalen Mitchell (23968593),Jalen Mitchell,23968593,RB/FLEX/S-FLEX,3600,UL@UCF 09/09/2022 07:30PM ET,UL,10.78
RB,Nathaniel Jones (23968590),Nathaniel Jones,23968590,RB/FLEX/S-FLEX,3600,BSU@UNM 09/09/2022 09:00PM ET,UNM,0
WR,Josh Johnson (23968719),Josh Johnson,23968719,WR/FLEX/S-FLEX,3500,UL@UCF 09/09/2022 07:30PM ET,UL,3.61
RB,Elelyon Noa (23968596),Elelyon Noa,23968596,RB/FLEX/S-FLEX,3500,BSU@UNM 09/09/2022 09:00PM ET,BSU,8.09
WR,Davis Koetter (23968716),Davis Koetter,23968716,WR/FLEX/S-FLEX,3500,BSU@UNM 09/09/2022 09:00PM ET,BSU,5.14
WR,Dez Melton (23968722),Dez Melton,23968722,WR/FLEX/S-FLEX,3400,UL@UCF 09/09/2022 07:30PM ET,UL,5.5
WR,Austin Erickson (23968725),Austin Erickson,23968725,WR/FLEX/S-FLEX,3400,BSU@UNM 09/09/2022 09:00PM ET,UNM,1.7
RB,Trevion Cooley (23968599),Trevion Cooley,23968599,RB/FLEX/S-FLEX,3200,UL@UCF 09/09/2022 07:30PM ET,UL,7.7
WR,Alec Holler (23968731),Alec Holler,23968731,WR/FLEX/S-FLEX,3200,UL@UCF 09/09/2022 07:30PM ET,UCF,7.02
WR,Francis Sherman (23968734),Francis Sherman,23968734,WR/FLEX/S-FLEX,3200,UL@UCF 09/09/2022 07:30PM ET,UL,0
WR,Stephen Martin (23968737),Stephen Martin,23968737,WR/FLEX/S-FLEX,3200,UL@UCF 09/09/2022 07:30PM ET,UCF,2.4
WR,Tyneil Hopper (23968728),Tyneil Hopper,23968728,WR/FLEX/S-FLEX,3200,BSU@UNM 09/09/2022 09:00PM ET,BSU,4.6
RB,Mark-Antony Richards (23968602),Mark-Antony Richards,23968602,RB/FLEX/S-FLEX,3100,UL@UCF 09/09/2022 07:30PM ET,UCF,7.23
WR,Trace Bruckler (23968740),Trace Bruckler,23968740,WR/FLEX/S-FLEX,3100,BSU@UNM 09/09/2022 09:00PM ET,UNM,6.55
WR,Kurt Rafdal (23968743),Kurt Rafdal,23968743,WR/FLEX/S-FLEX,3100,BSU@UNM 09/09/2022 09:00PM ET,BSU,5.88
WR,Bobby Wooden (23968746),Bobby Wooden,23968746,WR/FLEX/S-FLEX,3100,BSU@UNM 09/09/2022 09:00PM ET,UNM,2.13
WR,Austin Bolt (23968749),Austin Bolt,23968749,WR/FLEX/S-FLEX,3100,BSU@UNM 09/09/2022 09:00PM ET,BSU,0
RB,RJ Harvey (23968605),RJ Harvey,23968605,RB/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UCF,0
