"","player","player_id","position","team_name","player_game_count","caught_percent","first_downs","franchise_id","fumbles","longest","receptions","targets","touchdowns","yards","yards_per_reception","week","year","team_targets","rec_usage","season_team_targets","season_targets","season_usage","dk_pts","fd_pts","string","L3_rec_usage"
"270","Michael Carter",57337,"HB","N CAROLINA",1,100,1,245,0,31,3,3,1,26,8.7,4,2018,28,0.107142857142857,385,26,0.0675324675324675,11.6,10.1,1,0.0721966205837174
"271","Kylin Hill",57306,"HB","MISS STATE",1,100,0,227,0,9,3,3,0,19,6.3,4,2018,31,0.0967741935483871,299,28,0.0936454849498328,4.9,3.4,1,0.0917241379310345
"272","Tyler King",57284,"HB","MARSHALL",1,66.7,1,214,0,4,2,3,0,3,1.5,4,2018,39,0.0769230769230769,401,9,0.0224438902743142,2.3,1.3,2,0.0567460317460317
"273","Travis Etienne",57185,"HB","CLEMSON",1,33.3,1,140,0,3,1,3,1,3,3,4,2018,28,0.107142857142857,410,15,0.0365853658536585,7.3,6.8,1,0.125
"274","Kerrith Whyte Jr.",26392,"HB","FAU",1,50,1,165,0,23,1,2,1,23,23,4,2018,24,0.0833333333333333,343,14,0.0408163265306122,9.3,8.8,2,0.0272058823529412
"275","Jeremy Smith",32243,"HB","LOUISVILLE",1,100,1,210,0,8,2,2,0,11,5.5,4,2018,27,0.0740740740740741,364,6,0.0164835164835165,3.1,2.1,3,0.0381578947368421
"276","Loren Easly",34866,"HB","N TEXAS",1,100,1,251,0,7,2,2,0,11,5.5,4,2018,26,0.0769230769230769,457,5,0.0109409190371991,3.1,2.1,1,0.0471082049841213
"277","Damien Harris",35134,"HB","ALABAMA",1,100,1,103,0,52,2,2,0,48,24,4,2018,32,0.0625,356,22,0.0617977528089888,6.8,5.8,4,0.148148148148148
"278","Bryce Love",38396,"HB","STANFORD",1,50,0,300,0,9,1,2,0,9,9,4,2018,24,0.0833333333333333,396,24,0.0606060606060606,1.9,1.4,1,0.0862068965517241
"279","Devin Singletary",40485,"HB","FAU",1,50,0,165,0,3,1,2,0,3,3,4,2018,24,0.0833333333333333,343,12,0.0349854227405248,1.3,0.8,1,0.0472689075630252
"280","Trey Ragas",42174,"HB","LA LAFAYET",1,100,1,207,0,19,2,2,0,17,8.5,4,2018,17,0.117647058823529,327,32,0.0978593272171254,3.7,2.7,1,0.121212121212121
"281","Kam Martin",42395,"HB","AUBURN",1,100,0,115,0,3,2,2,0,0,0,4,2018,21,0.0952380952380952,350,11,0.0314285714285714,2,1,1,0.147058823529412
"282","Demarcus Felton",45678,"HB","TEXAS TECH",1,100,0,315,0,9,2,2,0,6,3,4,2018,44,0.0454545454545455,506,7,0.0138339920948617,2.6,1.6,2,0.105555555555556
"283","Jacques Patrick",45704,"HB","FLORIDA ST",1,100,1,167,0,9,2,2,1,17,8.5,4,2018,30,0.0666666666666667,423,18,0.0425531914893617,9.7,8.7,2,0.0944741532976827
"284","Sewo Olonilua",45767,"HB","TCU",1,100,0,305,0,5,2,2,0,9,4.5,4,2018,38,0.0526315789473684,389,20,0.051413881748072,2.9,1.9,1,0.0601237842617153
"285","Trayveon Williams",45775,"HB","TEXAS A&M",1,50,0,312,0,6,1,2,0,6,6,4,2018,39,0.0512820512820513,417,35,0.0839328537170264,1.6,1.1,1,0.0841503267973856
"286","James Gilbert",45836,"HB","BALL ST",1,50,0,117,0,4,1,2,0,4,4,4,2018,42,0.0476190476190476,439,19,0.0432801822323462,1.4,0.9,1,0.0639061421670117
"287","Aeris Williams",45850,"HB","MISS STATE",1,50,1,227,0,8,1,2,0,8,8,4,2018,31,0.0645161290322581,299,12,0.040133779264214,1.8,1.3,2,0.0852173913043478
"288","Ke'Shawn Vaughn",45866,"HB","VANDERBILT",1,100,1,333,0,27,2,2,0,36,18,4,2018,37,0.0540540540540541,392,17,0.0433673469387755,5.6,4.6,1,0.0411290322580645
"289","Anthony Scott",45935,"HB","E CAROLINA",1,50,0,156,0,3,1,2,0,3,3,4,2018,49,0.0408163265306122,518,22,0.0424710424710425,1.3,0.8,1,0.0629960317460317
"290","Maleek Irons",45946,"HB","OHIO",1,100,1,259,0,12,2,2,1,20,10,4,2018,25,0.08,296,9,0.0304054054054054,10,9,1,0.0811688311688312
"291","DeeJay Dallas",55632,"HB","MIAMI FL",1,100,1,220,0,26,2,2,0,30,15,4,2018,29,0.0689655172413793,334,11,0.0329341317365269,5,4,2,0.0328663793103448
"292","A.J. Dillon",57165,"HB","BOSTON COL",1,100,0,121,0,0,2,2,0,-2,-1,4,2018,27,0.0740740740740741,318,11,0.0345911949685535,1.8,0.8,1,0.0826923076923077
"293","Benny LeMay",57184,"HB","CHARLOTTE",1,100,0,136,0,7,2,2,0,3,1.5,4,2018,30,0.0666666666666667,277,25,0.0902527075812274,2.3,1.3,1,0.120833333333333
"294","J.K. Dobbins",57366,"HB","OHIO STATE",1,100,1,260,0,16,2,2,0,18,9,4,2018,36,0.0555555555555556,546,30,0.0549450549450549,3.8,2.8,1,0.0779051014345132
"295","J.D. King",57374,"HB","OKLA STATE",1,50,1,262,0,23,1,2,1,23,23,4,2018,34,0.0588235294117647,470,8,0.0170212765957447,9.3,8.8,3,0.0253530166880616
"296","CJ Verdell",57378,"HB","OREGON",1,50,0,264,0,9,1,2,0,9,9,4,2018,33,0.0606060606060606,392,31,0.0790816326530612,1.9,1.4,2,0.0333333333333333
"297","Stephen Carr",57453,"HB","USC",1,100,0,326,0,3,2,2,0,2,1,4,2018,25,0.08,378,9,0.0238095238095238,2.2,1.2,2,0.0565656565656566
"298","Chase Brown",77787,"HB","W MICHIGAN",1,100,0,347,0,13,2,2,0,16,8,4,2018,25,0.08,384,11,0.0286458333333333,3.6,2.6,3,0.1
