"","player_name","team","dk_pos","salary","dk_own","slate_size","week","year","dk_pts","fd_pts"
"3871","Snoop Conner","MISS","RB",5100,0,12,4,2020,10.1,9.6
"3872","Alec Sinkfield","WVU","RB",5300,0.05,12,4,2020,3.9,3.4
"3874","Xavier White","TTU","RB",4200,0,12,4,2020,2.1,1.6
"3875","Deon Jackson","DUKE","RB",5100,0,12,4,2020,5.7,5.2
"3879","Kylin Hill","MSST","RB",6800,0.09,12,4,2020,35.9,28.9
"3880","James Cook","UGA","RB",5200,0,12,4,2020,3.4,0.4
"3885","Sandon McCoy","ARMY","RB",6400,0.03,12,4,2020,1.9,1.4
"3886","Kavosiey Smoke","UK","RB",4800,0.01,12,4,2020,15.2,14.2
"3887","John Emery Jr.","LSU","RB",4300,0,12,4,2020,8.2,6.7
"3889","Rakeem Boyd","ARK","RB",6200,0,12,4,2020,6.9,4.9
"3892","Dameon Pierce","UF","RB",5900,0.05,12,4,2020,6.6,6.1
"3897","Deuce Vaughn","KSU","RB",3800,0.08,12,4,2020,29.7,24.7
"3898","Artice Hobbs IV","ARMY","RB",3300,0,12,4,2020,5.8,5.3
"3899","Tyler Burns","KSU","RB",3200,0,12,4,2020,1.9,1.4
"3902","Trelon Smith","ARK","RB",3800,0,12,4,2020,8.1,6.6
"3908","Tylan Knight","MISS","RB",3000,0,12,4,2020,2.2,1.7
"3911","Charles McClelland","CINCY","RB",3800,0,12,4,2020,4.5,4
"3916","Ulysses Bentley IV","SMU","RB",5900,0.29,13,5,2020,8.1,6.6
"3917","Najee Harris","BAMA","RB",9000,0.14,13,5,2020,20.9,19.9
"3918","SaRodorick Thompson","TTU","RB",7100,0.18,13,5,2020,8.6,7.1
"3919","LD Brown","OKST","RB",4000,0.1,13,5,2020,7.9,6.9
"3920","Deuce Vaughn","KSU","RB",6200,0.09,13,5,2020,37.4,32.9
"3922","Gerrid Doaks","CINCY","RB",7800,0.03,13,5,2020,19.8,15.3
"3923","Keaontay Ingram","UT","RB",5200,0.07,13,5,2020,11.2,8.7
"3925","Michael Carter","UNC","RB",6100,0.02,13,5,2020,16.7,13.2
"3926","Snoop Conner","MISS","RB",4300,0,13,5,2020,9.9,9.4
"3927","Malik Davis","UF","RB",3900,0.06,13,5,2020,4.2,3.2
"3928","Jerrion Ealy","MISS","RB",6400,0,13,5,2020,11.9,11.4
"3929","Javonte Williams","UNC","RB",6900,0,13,5,2020,25.2,24.2
"3930","Vincent Davis","PITT","RB",4700,0.21,13,5,2020,8,6.5
"3932","Roschon Johnson","UT","RB",5000,0.01,13,5,2020,14,13.5
"3933","Rodrigues Clark","MEM","RB",6700,0.07,13,5,2020,13.8,12.3
"3934","Leddie Brown","WVU","RB",7300,0.06,13,5,2020,27.4,24.4
"3935","Kadarius Toney","UF","RB",6300,0.09,13,5,2020,20.2,17.2
"3941","John Lovett","BAY","RB",5400,0.06,13,5,2020,3.8,3.3
"3942","Kevin Harris","SCAR","RB",5000,0.01,13,5,2020,31.7,26.7
"3949","Eric Gray","TENN","RB",5800,0.01,13,5,2020,23.2,21.7
"3951","Tyler Badie","MIZZ","RB",5200,0,13,5,2020,8.3,7.3
"3952","Trestan Ebner","BAY","RB",6500,0.06,13,5,2020,5.6,4.1
"3954","Deshaun Fenwick","SCAR","RB",4600,0,13,5,2020,10.6,8.1
"3958","Xavier White","TTU","RB",3600,0,13,5,2020,25.2,20.2
"3959","Alec Sinkfield","WVU","RB",5100,0.01,13,5,2020,10.2,8.7
"3961","Ty Chandler","TENN","RB",4900,0.02,13,5,2020,19.3,17.8
"3963","Larry Rountree III","MIZZ","RB",5300,0.02,13,5,2020,15.5,15
"3964","Ainias Smith","TA&M","RB",5500,0,13,5,2020,36.2,30.2
"3965","Kylan Watkins","MEM","RB",4600,0.24,13,5,2020,9.2,8.2
"3967","David Bailey","BC","RB",5600,0,13,5,2020,10.3,9.8
"3968","Jordan Houston","NCST","RB",3700,0,13,5,2020,1.6,1.1
"3969","Zonovan Knight","NCST","RB",5700,0.01,13,5,2020,6.1,5.1
"3970","Darwin Barlow","TCU","RB",4200,0,13,5,2020,10.6,10.1
"3976","Velton Gardner","KU","RB",4100,0,13,5,2020,10.6,10.1
"3977","Johnny Ford","USF","RB",5400,0,13,5,2020,16.5,14
"3980","Kelley Joiner","USF","RB",4700,0,13,5,2020,5.9,4.9
"3981","Pat Garwo III","BC","RB",3200,0,13,5,2020,9.7,6.7
"3988","Nay'Quan Wright","UF","RB",3200,0,13,5,2020,1.8,1.3
"4001","Harry Trotter","KSU","RB",4900,0,13,5,2020,13.1,12.1
"4006","Keaontay Ingram","UT","RB",5300,0.08,12,6,2020,12,9
"4007","T.J. Pledger","OU","RB",5500,0.12,12,6,2020,31.3,26.3
"4008","Breece Hall","ISU","RB",8600,0,12,6,2020,30.9,27.4
"4009","SaRodorick Thompson","TTU","RB",7100,0,12,6,2020,8.3,6.3
"4011","Lopini Katoa","BYU","RB",6800,0,12,6,2020,10.7,9.2
"4012","Isaiah Spiller","TA&M","RB",4400,0.04,12,6,2020,34.2,29.7
"4015","Deuce Vaughn","KSU","RB",7500,0,12,6,2020,9.8,9.3
"4016","Sean Tucker","SYR","RB",6000,0.07,12,6,2020,11,10
"4017","Javonte Williams","UNC","RB",7000,0.08,12,6,2020,39.4,35.4
"4018","Kevin Harris","SCAR","RB",6700,0.25,12,6,2020,39,34
"4022","Michael Carter","UNC","RB",6300,0.08,12,6,2020,38.9,35.4
"4023","Vincent Davis","PITT","RB",4800,0,12,6,2020,18.2,15.7
"4024","Kadarius Toney","UF","RB",6900,0.09,12,6,2020,29.1,25.6
"4027","Wayne Taulapapa","UV","RB",6200,0.05,12,6,2020,10.2,7.7
"4034","Tyler Allgeier","BYU","RB",6600,0,12,6,2020,22.6,19.1
"4035","Deon Jackson","DUKE","RB",4900,0.09,12,6,2020,20.8,16.3
"4036","D.J. Williams","AUB","RB",4000,0,12,6,2020,8.2,7.7
"4040","Malik Davis","UF","RB",3600,0.01,12,6,2020,11.2,8.7
"4041","Zonovan Knight","NCST","RB",4600,0.02,12,6,2020,27.3,23.8
"4042","Bijan Robinson","UT","RB",3100,0.01,12,6,2020,7.9,6.9
"4043","David Bailey","BC","RB",5100,0,12,6,2020,7.7,6.7
"4044","Kenny McIntosh","UGA","RB",3400,0,12,6,2020,10.1,9.1
"4045","Raheem Blackshear","VT","RB",4300,0,12,6,2020,6.4,4.9
"4046","Tank Bigsby","AUB","RB",5600,0,12,6,2020,23.2,18.2
"4050","Ainias Smith","TA&M","RB",6500,0.11,12,6,2020,9.6,5.6
"4053","Kene Nwangwu","ISU","RB",4100,0,12,6,2020,7.5,6.5
"4055","Shane Simpson","UV","RB",3300,0,12,6,2020,4.1,2.6
"4056","Ty Chandler","TENN","RB",5400,0,12,6,2020,5,4
"4059","Eric Gray","TENN","RB",6100,0,12,6,2020,15.9,11.9
"4060","Xavier White","TTU","RB",5200,0,12,6,2020,5.6,4.1
"4062","Darwin Barlow","TCU","RB",5000,0,12,6,2020,14,13
"4063","Dameon Pierce","UF","RB",4700,0.03,12,6,2020,9.6,9.1
"4067","Trelon Smith","ARK","RB",4400,0,12,6,2020,27.9,24.9
"4070","Jamauri Wakefield","VAND","RB",4500,0.01,12,6,2020,3.2,2.7
"4077","Nay'Quan Wright","UF","RB",3000,0,12,6,2020,12.7,12.2
"4078","Keyon Henry-Brooks","VAND","RB",3600,0,12,6,2020,13.3,11.3
"4086","Israel Abanikanda","PITT","RB",3700,0,12,6,2020,9.6,9.1
"4093","Travis Etienne","CLEM","RB",8600,0.31,13,7,2020,14.1,12.1
"4094","Jo'quavious Marks","MSST","RB",4000,0,13,7,2020,15.5,11
"4095","Jahmyr Gibbs","GT","RB",5400,0.08,13,7,2020,10.7,8.2
"4098","Rodrigues Clark","MEM","RB",5600,0.19,13,7,2020,12.6,8.1
"4099","Javian Hawkins","UL","RB",6200,0.04,13,7,2020,14.7,12.2
"4102","Jerrion Ealy","MISS","RB",6700,0,13,7,2020,23.2,19.2
"4103","Billy Kemp IV","UV","RB",6500,0,13,7,2020,17,12.5
"4104","Leddie Brown","WVU","RB",8200,0.2,13,7,2020,43.1,37.6
"4105","Greg McCrae","UCF","RB",4500,0,13,7,2020,20.5,18.5
"4106","Isaiah Spiller","TA&M","RB",6300,0,13,7,2020,30.3,26.3
"4107","Snoop Conner","MISS","RB",5500,0.02,13,7,2020,6.9,5.9
"4109","Zonovan Knight","NCST","RB",5800,0,13,7,2020,7.8,5.8
"4110","Chris Tyree","ND","RB",4000,0.01,13,7,2020,6.7,5.7
"4112","Kevin Harris","SCAR","RB",7700,0.04,13,7,2020,24.4,23.4
"4116","Eric Gray","TENN","RB",6000,0.11,13,7,2020,20.8,16.3
"4117","Wayne Taulapapa","UV","RB",4900,0,13,7,2020,15.9,14.9
"4118","Ricky Person Jr.","NCST","RB",4500,0.05,13,7,2020,14.3,12.3
"4119","Cam'Ron Harris","MIA","RB",7400,0.07,13,7,2020,12.9,12.4
"4124","Ainias Smith","TA&M","RB",5200,0,13,7,2020,18.2,15.7
"4125","D.J. Williams","AUB","RB",4000,0,13,7,2020,6.3,5.3
"4129","Pooka Williams Jr.","KU","RB",4900,0.02,13,7,2020,5.8,4.3
"4130","Alec Sinkfield","WVU","RB",4500,0.02,13,7,2020,11.5,10.5
"4131","Asim Rose","UK","RB",4400,0.03,13,7,2020,3.5,3
"4132","Mataeo Durant","DUKE","RB",5300,0,13,7,2020,6.5,5
"4133","Kylan Watkins","MEM","RB",5100,0,13,7,2020,21.4,19.4
"4134","Rakeem Boyd","ARK","RB",5700,0,13,7,2020,12.6,11.6
"4135","Shane Simpson","UV","RB",3200,0,13,7,2020,3.7,3.2
"4136","Ty Chandler","TENN","RB",4200,0.05,13,7,2020,12.5,12
"4137","Jordan Houston","NCST","RB",3200,0,13,7,2020,8.5,7.5
"4139","Vincent Davis","PITT","RB",4900,0.01,13,7,2020,1.7,1.2
"4141","Jaylan Knighton","MIA","RB",4200,0,13,7,2020,10.2,7.7
"4145","Dontae Smith","GT","RB",3000,0,13,7,2020,3.7,3.2
"4150","Velton Gardner","KU","RB",4600,0,13,7,2020,5.6,5.1
"4163","Dillon Johnson","MSST","RB",3800,0,13,7,2020,3.1,2.1
"4170","Travis Etienne","CLEM","RB",8200,0.19,12,8,2020,30.6,28.1
"4172","Chuba Hubbard","OKST","RB",7500,0.19,12,8,2020,26,22.5
"4173","Javian Hawkins","UL","RB",6600,0.34,12,8,2020,38.2,32.7
"4174","Najee Harris","BAMA","RB",9700,0,12,8,2020,39.7,36.7
"4175","Michael Carter","UNC","RB",5900,0.16,12,8,2020,26.2,22.2
"4176","Deuce Vaughn","KSU","RB",7000,0.19,12,8,2020,25.2,23.2
"4178","Khalil Herbert","VT","RB",8800,0,12,8,2020,12.3,11.3
"4179","Keaontay Ingram","UT","RB",5400,0,12,8,2020,7.7,7.2
"4180","Breece Hall","ISU","RB",9000,0,12,8,2020,31.3,26.8
"4181","Jerrion Ealy","MISS","RB",6800,0.04,12,8,2020,16.6,15.6
"4183","Tyler Badie","MIZZ","RB",4600,0,12,8,2020,8.7,7.7
"4186","Roschon Johnson","UT","RB",4000,0,12,8,2020,1.8,1.3
"4187","Eric Gray","TENN","RB",6200,0,12,8,2020,8.2,5.7
"4191","Kenneth Walker III","WAKE","RB",7200,0,12,8,2020,14,13.5
"4192","Raheem Blackshear","VT","RB",4100,0,12,8,2020,6.3,5.8
"4193","Kyren Williams","ND","RB",7600,0,12,8,2020,16.5,15
"4194","Seth McGowan","OU","RB",5700,0.01,12,8,2020,9.4,8.9
"4195","Ty Chandler","TENN","RB",4300,0.02,12,8,2020,4.5,4
"4196","La'Damian Webb","FSU","RB",5100,0.03,12,8,2020,11.5,10.5
"4197","John Lovett","BAY","RB",4300,0.04,12,8,2020,12,10.5
"4201","Velton Gardner","KU","RB",4400,0.16,12,8,2020,11.2,9.7
"4204","Zonovan Knight","NCST","RB",5500,0.01,12,8,2020,10.9,8.9
"4205","Christian Beal-Smith","WAKE","RB",4200,0,12,8,2020,18.3,14.8
"4206","Larry Rountree III","MIZZ","RB",5300,0.02,12,8,2020,30.2,26.7
"4207","Asim Rose","UK","RB",3900,0.08,12,8,2020,5.6,5.1
"4212","Darwin Barlow","TCU","RB",4800,0,12,8,2020,3.4,2.9
"4213","Jashaun Corbin","FSU","RB",4100,0.01,12,8,2020,7.5,7
"4215","LD Brown","OKST","RB",4000,0,12,8,2020,4.3,3.8
"4217","Vincent Davis","PITT","RB",4500,0,12,8,2020,3.6,3.1
"4223","Trestan Ebner","BAY","RB",6300,0,12,8,2020,9.5,7.5
"4234","Daniel Hishaw Jr.","KU","RB",3000,0,12,8,2020,3.3,2.8
"4248","Tyler Burns","KSU","RB",3000,0,12,8,2020,1.7,1.2
"4250","Chuba Hubbard","OKST","RB",8000,0.17,14,9,2020,20.6,18.6
"4251","Travis Etienne","CLEM","RB",8700,0.33,14,9,2020,44.6,38.1
"4254","Breece Hall","ISU","RB",9100,0.29,14,9,2020,37.6,33.1
"4255","Jerrion Ealy","MISS","RB",6600,0.13,14,9,2020,11.4,10.9
"4257","Javian Hawkins","UL","RB",7600,0.24,14,9,2020,37.1,31.6
"4258","Snoop Conner","MISS","RB",4300,0.22,14,9,2020,9.2,8.7
"4259","Stevie Scott III","IU","RB",7400,0.11,14,9,2020,8.6,8.1
"4260","Kyren Williams","ND","RB",7200,0.13,14,9,2020,22.7,20.7
"4261","Keyon Henry-Brooks","VAND","RB",3900,0.06,14,9,2020,24.6,20.1
"4265","Leddie Brown","WVU","RB",8100,0.07,14,9,2020,26,21
"4266","Deuce Vaughn","KSU","RB",7200,0.05,14,9,2020,4,3
"4270","Jahmyr Gibbs","GT","RB",6200,0.02,14,9,2020,15.9,13.4
"4275","Zach Charbonnet","MICH","RB",5200,0.02,14,9,2020,3.3,2.3
"4276","John Lovett","BAY","RB",4200,0,14,9,2020,2.4,1.9
"4277","Isaih Pacheco","RU","RB",6800,0.02,14,9,2020,9.6,7.6
"4280","Tyrion Davis-Price","LSU","RB",6100,0,14,9,2020,1.9,1.4
"4281","Rodrigues Clark","MEM","RB",5700,0.03,14,9,2020,5.3,4.8
"4282","Jordan Mason","GT","RB",4200,0,14,9,2020,9.4,8.9
"4283","Daimarqua Foster","TCU","RB",3600,0,14,9,2020,3.2,2.7
"4288","James Cook","UGA","RB",4700,0.02,14,9,2020,14.1,12.1
"4293","Blake Corum","MICH","RB",3300,0,14,9,2020,17.2,16.2
"4294","Kylan Watkins","MEM","RB",5400,0,14,9,2020,6.7,5.2
"4295","Shaun Shivers","AUB","RB",3900,0,14,9,2020,3.2,2.7
"4299","Bijan Robinson","UT","RB",3800,0,14,9,2020,8.7,7.7
"4303","LD Brown","OKST","RB",3500,0,14,9,2020,8,6
"4306","Trestan Ebner","BAY","RB",5500,0.05,14,9,2020,9.5,7.5
"4307","Velton Gardner","KU","RB",4800,0.03,14,9,2020,4.8,4.3
"4312","Connor Heyward","MSU","RB",4300,0,14,9,2020,18.3,17.3
"4314","Aaron Young","RU","RB",3200,0,14,9,2020,8.1,5.6
"4322","Chris Curry","LSU","RB",3500,0,14,9,2020,2.8,2.3
"4325","Ryan Montgomery","CINCY","RB",3000,0,14,9,2020,2.5,2
"4326","Daniel Hishaw Jr.","KU","RB",3300,0,14,9,2020,7,6.5
"4334","Javonte Williams","UNC","RB",8500,0.14,14,10,2020,48.5,43.5
"4335","Michael Carter","UNC","RB",6300,0.14,14,10,2020,28.1,26.6
"4337","Chuba Hubbard","OKST","RB",7800,0.31,14,10,2020,4.5,4
"4338","Vavae Malepeai","USC","RB",5000,0.02,14,10,2020,11.3,8.3
"4339","Leddie Brown","WVU","RB",8200,0.15,14,10,2020,13.7,11.2
"4340","Deon Jackson","DUKE","RB",5100,0.03,14,10,2020,7.9,6.4
"4341","Stevie Scott III","IU","RB",6500,0.02,14,10,2020,26,24.5
"4342","Deuce Vaughn","KSU","RB",6800,0,14,10,2020,5.5,5
"4346","Gerrid Doaks","CINCY","RB",6700,0.11,14,10,2020,33.4,28.9
"4347","Rachaad White","ASU","RB",3000,0.09,14,10,2020,23.6,22.1
"4349","Mohamed Ibrahim","MINN","RB",10000,0.3,14,10,2020,53.5,48.5
"4352","Zamir White","UGA","RB",7200,0.07,14,10,2020,21.4,17.9
"4354","SaRodorick Thompson","TTU","RB",6000,0.02,14,10,2020,4.5,3
"4356","James Cook","UGA","RB",4300,0.06,14,10,2020,7.3,5.8
"4359","Mataeo Durant","DUKE","RB",5000,0,14,10,2020,27.1,23.1
"4360","Jake Funk","UMD","RB",6600,0.04,14,10,2020,15.4,14.9
"4361","Zach Charbonnet","MICH","RB",4000,0,14,10,2020,6.2,4.7
"4364","Alec Sinkfield","WVU","RB",3400,0,14,10,2020,3.1,2.1
"4365","Xavier White","TTU","RB",4100,0,14,10,2020,12.8,10.3
"4366","Roschon Johnson","UT","RB",4100,0.01,14,10,2020,7.3,5.8
"4367","Jerome Ford","CINCY","RB",4800,0.03,14,10,2020,5.5,5
"4368","Rhamondre Stevenson","OU","RB",6900,0.16,14,10,2020,35.4,30.4
"4369","Blake Corum","MICH","RB",4700,0.01,14,10,2020,2.8,2.3
"4370","Connor Heyward","MSU","RB",5700,0,14,10,2020,4.2,3.2
"4374","Sampson James","IU","RB",3300,0,14,10,2020,4.4,3.9
"4375","Markese Stepp","USC","RB",4000,0,14,10,2020,13.2,11.2
"4376","Stephen Carr","USC","RB",6400,0.01,14,10,2020,16.7,14.2
"4377","Kyle Porter","UH","RB",5600,0.01,14,10,2020,15.1,14.1
"4380","Dameon Pierce","UF","RB",4600,0.01,14,10,2020,17.3,16.3
"4381","Bijan Robinson","UT","RB",4500,0.05,14,10,2020,19.1,14.1
"4383","Nay'Quan Wright","UF","RB",3200,0,14,10,2020,11.6,10.1
"4384","Peny Boone","UMD","RB",3000,0,14,10,2020,3.9,3.4
"4388","Ivory Kelly-Martin","IOWA","RB",3000,0,14,10,2020,3.7,3.2
"4391","Malik Davis","UF","RB",4000,0,14,10,2020,20.1,14.6
"4393","Mulbah Car","UH","RB",4300,0,14,10,2020,3.1,2.1
"4407","Chandler Smith","UH","RB",3400,0,14,10,2020,3,2.5
"4413","Michael Carter","UNC","RB",6100,0.39,14,11,2020,22.9,20.9
"4414","Maurice Burkley","UL","RB",3500,0,14,11,2020,5.9,5.4
"4415","Javonte Williams","UNC","RB",9500,0.2,14,11,2020,23.4,18.9
"4416","Vavae Malepeai","USC","RB",4900,0,14,11,2020,13.8,11.3
"4417","Brenden Knox","MRSHL","RB",8500,0.45,14,11,2020,8.4,7.9
"4418","Raheem Blackshear","VT","RB",3400,0.25,14,11,2020,3.8,2.8
"4419","Leddie Brown","WVU","RB",7900,0.05,14,11,2020,20.4,16.9
"4420","Tahj Brooks","TTU","RB",3000,0,14,11,2020,18.4,17.9
"4421","Stevie Scott III","IU","RB",7200,0.11,14,11,2020,16,15.5
"4423","Khalil Herbert","VT","RB",8700,0.03,14,11,2020,6.6,6.1
"4429","SaRodorick Thompson","TTU","RB",5100,0,14,11,2020,9.2,7.7
"4430","Kenneth Walker III","WAKE","RB",7400,0.04,14,11,2020,20,19.5
"4431","Kyren Williams","ND","RB",8900,0,14,11,2020,9.2,5.2
"4435","Qualan Jones","BAY","RB",3400,0,14,11,2020,11.3,10.3
"4437","Gary Brightwell","ARIZ","RB",5200,0,14,11,2020,20,15.5
"4438","C'Bo Flemister","ND","RB",3800,0,14,11,2020,21,20.5
"4443","Xavier White","TTU","RB",4500,0,14,11,2020,3,2.5
"4446","Shane Simpson","UV","RB",4000,0,14,11,2020,6.7,6.2
"4451","Travis Levy","BC","RB",3900,0,14,11,2020,8.2,7.2
"4455","Elijah Collins","MSU","RB",3200,0,14,11,2020,3.2,2.7
"4457","Devyn Ford","PSU","RB",5400,0.03,14,11,2020,14.1,13.6
"4463","Kendre Miller","TCU","RB",3000,0,14,11,2020,6.5,6
"4470","Najee Harris","BAMA","RB",9300,0.29,13,12,2020,23,20
"4472","Trelon Smith","ARK","RB",5500,0.15,13,12,2020,12.7,11.7
"4474","CJ Marable","C-C","RB",7300,0.04,13,12,2020,16.4,14.9
"4475","Gerrid Doaks","CINCY","RB",6700,0.24,13,12,2020,16.3,14.8
"4476","Greg McCrae","UCF","RB",5600,0.07,13,12,2020,9.2,8.7
"4477","Otis Anderson","UCF","RB",5800,0.03,13,12,2020,8.3,7.3
"4478","Stevie Scott III","IU","RB",6400,0.04,13,12,2020,4.9,3.9
"4480","Vincent Davis","PITT","RB",4600,0.04,13,12,2020,20.4,17.9
"4481","Khalil Herbert","VT","RB",6900,0.02,13,12,2020,13.9,11.4
"4483","Deuce Vaughn","KSU","RB",5400,0.11,13,12,2020,6.8,5.8
"4489","Tyler Goodson","IOWA","RB",7500,0.09,13,12,2020,15.6,15.1
"4492","Tyrion Davis-Price","LSU","RB",4800,0.03,13,12,2020,22.5,18.5
"4499","Dameon Pierce","UF","RB",5300,0.1,13,12,2020,13.1,12.6
"4503","Rahmir Johnson","NEB","RB",3400,0,13,12,2020,2.1,1.6
"4505","Trey Sermon","OSU","RB",4900,0.03,13,12,2020,8.3,7.8
"4506","Nate Noel","APPST","RB",3000,0,13,12,2020,6.5,6
"4507","Malik Davis","UF","RB",4600,0.05,13,12,2020,7.8,6.8
"4508","Mason Stokke","WISC","RB",3500,0.01,13,12,2020,1.4,0.9
"4512","John Emery Jr.","LSU","RB",5100,0.04,13,12,2020,5,3
"4515","Marcel Dancy","CAL","RB",3600,0,13,12,2020,13.5,12
"4517","Devyn Ford","PSU","RB",4800,0.02,13,12,2020,1.3,0.8
"4518","Kavosiey Smoke","UK","RB",3200,0,13,12,2020,3.6,3.1
"4520","Keyvone Lee","PSU","RB",4000,0,13,12,2020,16.7,13.7
"4521","Caziah Holmes","PSU","RB",3200,0,13,12,2020,5.1,3.6
"4525","Garrett Groshek","WISC","RB",5900,0.01,13,12,2020,5.8,2.8
"4527","Chase Brown","IL","RB",4200,0.03,13,12,2020,28.2,24.7
"4534","Drake Anderson","NW","RB",4500,0,13,12,2020,3.7,2.7
"4538","Keyon Mozee","KSU","RB",3000,0,13,12,2020,2.1,1.6
"4542","Mitchell Pryor","VAND","RB",3600,0,13,12,2020,6.1,5.6
"4550","Najee Harris","BAMA","RB",9600,0.18,13,13,2020,21,20
"4551","Travis Etienne","CLEM","RB",8600,0.15,13,13,2020,22.8,21.3
"4553","Dezmon Jackson","OKST","RB",3300,0.3,13,13,2020,46.2,41.2
"4555","Jerrion Ealy","MISS","RB",7100,0,13,13,2020,20.6,19.1
"4558","Snoop Conner","MISS","RB",4300,0,13,13,2020,9.8,9.3
"4559","Jo'quavious Marks","MSST","RB",5100,0,13,13,2020,9.4,6.4
"4560","Ricky Person Jr.","NCST","RB",4600,0.08,13,13,2020,7.2,5.7
"4561","Zonovan Knight","NCST","RB",6900,0.07,13,13,2020,11.1,9.6
"4564","Tahj Brooks","TTU","RB",4400,0.01,13,13,2020,7.6,5.6
"4567","Dameon Pierce","UF","RB",5600,0.04,13,13,2020,12.6,10.6
"4568","Malik Davis","UF","RB",4400,0.02,13,13,2020,3.9,3.4
"4569","Asim Rose","UK","RB",3900,0.07,13,13,2020,7,6.5
"4570","Travis Levy","BC","RB",3900,0,13,13,2020,12.7,10.7
"4572","Shaun Shivers","AUB","RB",3200,0.02,13,13,2020,4.6,3.6
"4578","Dominic Richardson","OKST","RB",3000,0.02,13,13,2020,2.1,0.6
"4580","Vincent Davis","PITT","RB",4700,0.01,13,13,2020,10.8,9.8
"4581","Nay'Quan Wright","UF","RB",3400,0.02,13,13,2020,8.1,4.6
"4586","Jalen Mitchell","UL","RB",5200,0,13,13,2020,12.3,11.8
"4587","Drake Anderson","NW","RB",4200,0,13,13,2020,5.4,4.9
"4589","Isaiah Bowser","NW","RB",4800,0,13,13,2020,4.9,4.4
"4591","Sean Tucker","SYR","RB",5500,0.02,13,13,2020,2.4,1.9
"4594","Caziah Holmes","PSU","RB",3400,0.02,13,13,2020,5,4.5
"4596","Chez Mellusi","CLEM","RB",3000,0,13,13,2020,17.5,16.5
"4597","Hassan Hall","UL","RB",4600,0,13,13,2020,3.6,2.1
"4603","Dillon Johnson","MSST","RB",5800,0,13,13,2020,12.3,8.3
"4604","Connor Heyward","MSU","RB",4700,0,13,13,2020,14.5,12.5
"4606","Isaiah Jacobs","UMD","RB",3000,0,13,13,2020,6.4,5.9
"4609","Peny Boone","UMD","RB",3000,0,13,13,2020,5.7,5.2
"4619","Jordan Mason","GT","RB",4200,0,14,14,2020,10.7,7.7
"4620","Breece Hall","ISU","RB",8700,0,14,14,2020,29.3,26.8
"4621","Isaiah Spiller","TA&M","RB",7600,0.11,14,14,2020,16.6,11.6
"4622","Zander Horvath","PUR","RB",8400,0.07,14,14,2020,9.9,7.9
"4623","Ainias Smith","TA&M","RB",5500,0.11,14,14,2020,19.8,17.8
"4624","Kyren Williams","ND","RB",9200,0.08,14,14,2020,20.5,16
"4626","Trey Sermon","OSU","RB",3500,0.13,14,14,2020,20.7,17.2
"4627","Eric Gray","TENN","RB",7300,0.07,14,14,2020,23.3,19.3
"4628","Zonovan Knight","NCST","RB",6300,0,14,14,2020,10.5,10
"4629","Dezmon Jackson","OKST","RB",6200,0.24,14,14,2020,21.7,18.2
"4630","Ricky Person Jr.","NCST","RB",4300,0,14,14,2020,13.8,13.3
"4631","Wayne Taulapapa","UV","RB",3400,0,14,14,2020,10.1,9.6
"4632","Tyler Goodson","IOWA","RB",7400,0.19,14,14,2020,12.8,11.8
"4635","Ty Chandler","TENN","RB",3700,0.02,14,14,2020,13.4,12.9
"4636","Deuce Vaughn","KSU","RB",6600,0.05,14,14,2020,36,31
"4637","Bijan Robinson","UT","RB",5700,0.05,14,14,2020,46.3,41.8
"4639","Dameon Pierce","UF","RB",5200,0.05,14,14,2020,2.8,1.8
"4642","Leddie Brown","WVU","RB",8000,0,14,14,2020,10.6,8.6
"4645","Kamari Pleasant","UW","RB",5000,0,14,14,2020,5,4
"4649","Malik Davis","UF","RB",3900,0,14,14,2020,5.3,3.8
"4651","King Doerue","PUR","RB",3200,0,14,14,2020,9.2,8.7
"4652","Chris Tyree","ND","RB",3200,0.04,14,14,2020,21.5,18
"4653","Sean McGrew","UW","RB",4100,0,14,14,2020,20,19.5
"4654","Travis Levy","BC","RB",4700,0.03,14,14,2020,17.1,13.6
"4655","Stevie Scott III","IU","RB",6900,0,14,14,2020,7.1,6.6
"4656","Mason Stokke","WISC","RB",3300,0,14,14,2020,3.7,2.7
"4657","Harry Trotter","KSU","RB",3200,0,14,14,2020,7.3,5.8
"4659","Darwin Barlow","TCU","RB",4600,0.02,14,14,2020,7.1,4.6
"4662","Shaun Shivers","AUB","RB",3700,0.02,14,14,2020,13.2,11.2
"4669","Austin Jones","STAN","RB",7100,0,14,14,2020,33.6,28.1
"4671","Garrett Groshek","WISC","RB",4400,0,14,14,2020,5.3,4.3
"4675","Connor Heyward","MSU","RB",4600,0.01,14,14,2020,7.1,4.6
"4676","Pat Garwo III","BC","RB",3300,0,14,14,2020,1.6,1.1
"4678","Devon Achane","TA&M","RB",4400,0,14,14,2020,11.2,10.7
"4683","Sean Tucker","SYR","RB",4300,0,14,14,2020,25.7,21.7
"4685","David Ellis","IU","RB",3900,0,14,14,2020,5.7,4.7
"4686","Chase Brown","IL","RB",5300,0,14,14,2020,11.8,10.8
"4711","Najee Harris","BAMA","RB",9200,0.35,13,15,2020,17.8,17.3
"4714","Garrett Groshek","WISC","RB",4000,0,13,15,2020,8.7,6.2
"4715","Javonte Williams","UNC","RB",7000,0,13,15,2020,46.6,42.6
"4718","CJ Marable","C-C","RB",8400,0.08,13,15,2020,40.7,36.2
