"","opp_team","week","opp_sacks","year","opp_hur","team","L3_sacks","L3_hurries"
"83","Purdue",1,0,2018,0,"Northwestern",NA,NA
"84","Rice",1,3,2018,2,"Prairie View",NA,NA
"85","Rice",1,3,2018,2,"Houston",NA,NA
"86","Rutgers",1,3,2018,4,"Texas State",NA,NA
"87","San Diego State",1,1,2018,2,"Stanford",NA,NA
"88","San José State",1,2,2018,2,"UC Davis",NA,NA
"89","SMU",1,2,2018,2,"North Texas",NA,NA
"90","South Alabama",1,3,2018,1,"Louisiana Tech",NA,NA
"91","South Carolina",1,3,2018,1,"Coastal Carolina",NA,NA
"92","Southern Mississippi",1,2,2018,2,"Jackson State",NA,NA
"93","South Florida",1,3,2018,0,"Elon",NA,NA
"94","Stanford",1,5,2018,3,"San Diego State",NA,NA
"95","Syracuse",1,1,2018,0,"Western Michigan",NA,NA
"96","TCU",1,3,2018,2,"Southern",NA,NA
"97","Temple",1,2,2018,0,"Villanova",NA,NA
"98","Tennessee",1,2,2018,3,"West Virginia",NA,NA
"99","Texas",1,1,2018,0,"Maryland",NA,NA
"100","Texas A&M",1,0,2018,3,"Northwestern State",NA,NA
"101","Texas State",1,1,2018,2,"Rutgers",NA,NA
"102","Texas Tech",1,2,2018,3,"Ole Miss",NA,NA
"103","Toledo",1,4,2018,2,"VMI",NA,NA
"104","Troy",1,1,2018,3,"Boise State",NA,NA
"105","Tulane",1,1,2018,4,"Wake Forest",NA,NA
"106","Tulsa",1,1,2018,0,"Central Arkansas",NA,NA
"107","UAB",1,2,2018,3,"Savannah State",NA,NA
"108","UCF",1,0,2018,2,"Connecticut",NA,NA
"109","UCLA",1,4,2018,3,"Cincinnati",NA,NA
"110","UMass",1,1,2018,0,"Duquesne",NA,NA
"111","UMass",1,1,2018,0,"Boston College",NA,NA
