"","team","week","year","L3_avg_down","L3_avg_def_down","L3_avg_distance","L3_avg_def_distance","L3_avg_drive_efficiency","L3_avg_def_drive_efficiency"
"98","San Diego State",1,2010,NA,NA,NA,NA,NA,NA
"99","San José State",1,2010,NA,NA,NA,NA,NA,NA
"100","SMU",1,2010,NA,NA,NA,NA,NA,NA
"101","South Carolina",1,2010,NA,NA,NA,NA,NA,NA
"102","South Carolina State",1,2010,NA,NA,NA,NA,NA,NA
"103","South Dakota",1,2010,NA,NA,NA,NA,NA,NA
"104","South Florida",1,2010,NA,NA,NA,NA,NA,NA
"105","Southeast Missouri State",1,2010,NA,NA,NA,NA,NA,NA
"106","Southeastern Louisiana",1,2010,NA,NA,NA,NA,NA,NA
"107","Southern Mississippi",1,2010,NA,NA,NA,NA,NA,NA
"108","Southern Utah",1,2010,NA,NA,NA,NA,NA,NA
"109","Stanford",1,2010,NA,NA,NA,NA,NA,NA
"110","Stephen F. Austin",1,2010,NA,NA,NA,NA,NA,NA
"111","Stony Brook",1,2010,NA,NA,NA,NA,NA,NA
"112","Syracuse",1,2010,NA,NA,NA,NA,NA,NA
"113","TCU",1,2010,NA,NA,NA,NA,NA,NA
"114","Temple",1,2010,NA,NA,NA,NA,NA,NA
"115","Tennessee",1,2010,NA,NA,NA,NA,NA,NA
"116","Tennessee Tech",1,2010,NA,NA,NA,NA,NA,NA
"117","Texas",1,2010,NA,NA,NA,NA,NA,NA
"118","Texas A&M",1,2010,NA,NA,NA,NA,NA,NA
"119","Texas State",1,2010,NA,NA,NA,NA,NA,NA
"120","Texas Tech",1,2010,NA,NA,NA,NA,NA,NA
"121","Toledo",1,2010,NA,NA,NA,NA,NA,NA
"122","Towson",1,2010,NA,NA,NA,NA,NA,NA
"123","Troy",1,2010,NA,NA,NA,NA,NA,NA
"124","Tulane",1,2010,NA,NA,NA,NA,NA,NA
"125","Tulsa",1,2010,NA,NA,NA,NA,NA,NA
"126","UAB",1,2010,NA,NA,NA,NA,NA,NA
"127","UC Davis",1,2010,NA,NA,NA,NA,NA,NA
"128","UCF",1,2010,NA,NA,NA,NA,NA,NA
"129","UCLA",1,2010,NA,NA,NA,NA,NA,NA
"130","UNLV",1,2010,NA,NA,NA,NA,NA,NA
"131","USC",1,2010,NA,NA,NA,NA,NA,NA
"132","UT Martin",1,2010,NA,NA,NA,NA,NA,NA
"133","Utah",1,2010,NA,NA,NA,NA,NA,NA
"134","Utah State",1,2010,NA,NA,NA,NA,NA,NA
"135","UTEP",1,2010,NA,NA,NA,NA,NA,NA
"136","Vanderbilt",1,2010,NA,NA,NA,NA,NA,NA
"137","Villanova",1,2010,NA,NA,NA,NA,NA,NA
"138","Virginia",1,2010,NA,NA,NA,NA,NA,NA
"139","Virginia Tech",1,2010,NA,NA,NA,NA,NA,NA
"140","Wake Forest",1,2010,NA,NA,NA,NA,NA,NA
"141","Washington",1,2010,NA,NA,NA,NA,NA,NA
"142","Washington State",1,2010,NA,NA,NA,NA,NA,NA
"143","West Virginia",1,2010,NA,NA,NA,NA,NA,NA
"144","Western Carolina",1,2010,NA,NA,NA,NA,NA,NA
"145","Western Kentucky",1,2010,NA,NA,NA,NA,NA,NA
"146","Western Michigan",1,2010,NA,NA,NA,NA,NA,NA
"147","Wisconsin",1,2010,NA,NA,NA,NA,NA,NA
"148","Wofford",1,2010,NA,NA,NA,NA,NA,NA
"149","Wyoming",1,2010,NA,NA,NA,NA,NA,NA
"150","Youngstown State",1,2010,NA,NA,NA,NA,NA,NA
"151","Air Force",2,2010,1.27884615384615,1.87096774193548,6.11538461538461,8.76344086021505,3.39931809005529,-2.44166254573674
"152","Akron",2,2010,2.21951219512195,1.69473684210526,9.46341463414634,6.64210526315789,-1.19465685781845,-2.1072465493647
"153","Alabama",2,2010,1.34065934065934,2.24285714285714,6.6043956043956,8.75714285714286,2.32663075330679,-4.05455746520164
"154","Arizona",2,2010,1.46938775510204,2.17460317460317,6.6734693877551,8.57142857142857,-0.361061708937137,-0.952607707393142
"155","Arizona State",2,2010,1.33333333333333,1.96629213483146,7.15625,9.26966292134832,2.30944321837104,-3.5872528846782
"156","Arkansas",2,2010,1.26582278481013,2.13095238095238,6.68354430379747,9.41666666666667,1.55556209213332,-4.1606377650973
"157","Arkansas State",2,2010,1.90265486725664,1.32967032967033,7.98230088495575,7.74725274725275,-1.95957469192229,2.37917081898084
"158","Army",2,2010,NA,NA,NA,NA,NA,NA
"159","Auburn",2,2010,1.32967032967033,1.90265486725664,7.74725274725275,7.98230088495575,2.37917081898084,-1.95957469192229
"160","Austin Peay",2,2010,NA,NA,NA,NA,NA,NA
"161","Ball State",2,2010,1.71764705882353,1.859375,6.96470588235294,8.96875,0.897462434430626,-2.91393067000165
"162","Baylor",2,2010,1.625,2.2247191011236,7.88541666666667,8.60674157303371,0.551156489058459,-3.68692177273354
"163","Boston College",2,2010,NA,NA,NA,NA,NA,NA
"164","Bowling Green",2,2010,1.72631578947368,1.66666666666667,7.62105263157895,8.36666666666667,-1.93037392078344,0.649725520685959
"165","Buffalo",2,2010,1.73913043478261,2.25,7.58695652173913,8.07291666666667,0.299288088137917,-3.54422949221887
"166","BYU",2,2010,1.81443298969072,1.95604395604396,7.27835051546392,7.87912087912088,0.311403586308177,-3.25877436158189
"167","California",2,2010,1.35,2.03225806451613,6.27,8.58064516129032,1.29833612038382,-3.82345468933738
"168","Central Michigan",2,2010,1.72380952380952,2.20454545454545,7.45714285714286,8.63636363636364,-1.02274430931894,-4.25728487571932
"169","Cincinnati",2,2010,1.9468085106383,1.85333333333333,9.57446808510638,8.22666666666667,-2.86353603012244,0.520043104198587
"170","Clemson",2,2010,1.43283582089552,1.94285714285714,6.52238805970149,8.77142857142857,1.10727337263724,-3.25966406669511
"171","Colorado",2,2010,1.76744186046512,1.97222222222222,7.31395348837209,7.56944444444444,-1.82755334942918,-0.778099043882891
"172","Colorado State",2,2010,1.97222222222222,1.76744186046512,7.56944444444444,7.31395348837209,-0.778099043882891,-1.82755334942918
"173","Connecticut",2,2010,2.04878048780488,1.69387755102041,7.52439024390244,6.96938775510204,-3.06265137817453,2.63986769369193
"174","Duke",2,2010,1.52777777777778,1.68181818181818,6.56481481481481,8.11363636363636,1.96371745495643,-1.66179339708893
"175","East Carolina",2,2010,1.63716814159292,1.44444444444444,7.08849557522124,7.08333333333333,1.63286246982239,0.229458692612607
"176","Eastern Kentucky",2,2010,NA,NA,NA,NA,NA,NA
"177","Eastern Michigan",2,2010,NA,NA,NA,NA,NA,NA
"178","Florida",2,2010,1.69444444444444,1.93684210526316,8.31944444444444,8.73684210526316,-0.37954441836245,-2.31227311417613
"179","Florida Atlantic",2,2010,1.75471698113208,1.67692307692308,7.41509433962264,7.26153846153846,-2.75174835145641,0.511121759809735
"180","Florida International",2,2010,NA,NA,NA,NA,NA,NA
"181","Florida State",2,2010,0.905405405405405,2.02941176470588,6.28378378378378,8.55882352941176,2.16770349484684,-3.82482373202473
"182","Gardner-Webb",2,2010,NA,NA,NA,NA,NA,NA
"183","Georgia",2,2010,1.52040816326531,2.2112676056338,7.28571428571429,8.28169014084507,0.00169486262794347,-3.85599194378607
"184","Georgia Southern",2,2010,NA,NA,NA,NA,NA,NA
"185","Georgia Tech",2,2010,1.41176470588235,1.96052631578947,5.77647058823529,7.72368421052632,2.00364482418981,-3.04219236326581
"186","Hawai'i",2,2010,1.67961165048544,1.52631578947368,8.36893203883495,7.13157894736842,2.66812265938996,-0.506500371329571
"187","Houston",2,2010,1.10843373493976,1.76415094339623,6.20481927710843,7.27358490566038,0.854549555874089,-1.91759218917906
"188","Idaho",2,2010,1.46846846846847,2.01219512195122,8.44144144144144,8.71951219512195,1.1313239408044,-3.93538646285847
"189","Idaho State",2,2010,NA,NA,NA,NA,NA,NA
"190","Illinois",2,2010,1.87058823529412,1.85294117647059,8.15294117647059,8.19607843137255,-4.14867024917827,-0.640541775045403
"191","Indiana State",2,2010,NA,NA,NA,NA,NA,NA
"192","Iowa",2,2010,1.35064935064935,2.08333333333333,6.61038961038961,9.41666666666667,1.46797298299361,-3.81001538092765
"193","Iowa State",2,2010,1.73404255319149,2.05263157894737,8.62765957446809,7,0.658593545814573,-2.80792813672562
"194","James Madison",2,2010,NA,NA,NA,NA,NA,NA
"195","Kansas",2,2010,2.03370786516854,2.05194805194805,8.66292134831461,8.57142857142857,-0.777606467228981,-2.71994388241166
"196","Kansas State",2,2010,1.81,1.78409090909091,6.84,7.93181818181818,1.17108467045229,-2.51567485632891
"197","Kent State",2,2010,NA,NA,NA,NA,NA,NA
"198","Kentucky",2,2010,1.7752808988764,1.975,7.79775280898876,8.5875,-1.21097356848847,0.110714329702561
"199","Liberty",2,2010,NA,NA,NA,NA,NA,NA
"200","Louisiana",2,2010,2.2112676056338,1.52040816326531,8.28169014084507,7.28571428571429,-3.85599194378607,0.00169486262794347
"201","Louisiana Monroe",2,2010,NA,NA,NA,NA,NA,NA
"202","Louisiana Tech",2,2010,1.77777777777778,1.98850574712644,8.28888888888889,8.59770114942529,-1.70946366386455,-0.729313073107593
"203","Louisville",2,2010,1.975,1.7752808988764,8.5875,7.79775280898876,0.110714329702561,-1.21097356848847
"204","LSU",2,2010,1.77922077922078,1.76635514018692,6.85714285714286,8.47663551401869,-2.70057363181957,0.204358537035059
"205","Marshall",2,2010,2.08219178082192,1.75,8.19178082191781,7.56818181818182,-4.1065742581863,1.15872848415863
"206","Maryland",2,2010,1.6140350877193,1.85294117647059,6.92982456140351,7.13725490196078,0.353820949918341,-2.46875983042939
"207","Memphis",2,2010,2.14864864864865,1.33707865168539,8.12162162162162,7.37078651685393,-3.54647875296455,2.39173003758603
"208","Miami",2,2010,1.53846153846154,2.23529411764706,7.66666666666667,9.52941176470588,1.79927740458838,-4.08586347994563
"209","Miami (OH)",2,2010,1.93684210526316,1.69444444444444,8.73684210526316,8.31944444444444,-2.31227311417613,-0.37954441836245
"210","Michigan",2,2010,1.69387755102041,2.04878048780488,6.96938775510204,7.52439024390244,2.63986769369193,-3.06265137817453
"211","Michigan State",2,2010,1.55952380952381,2.04545454545455,6.85714285714286,7.22727272727273,1.5145544439369,-2.75537329838384
"212","Middle Tennessee",2,2010,1.80392156862745,1.85714285714286,7.2156862745098,7.2,1.02150922592752,-1.3390654247929
"213","Minnesota",2,2010,1.85714285714286,1.80392156862745,7.2,7.2156862745098,-1.3390654247929,1.02150922592752
"214","Mississippi State",2,2010,1.33707865168539,2.14864864864865,7.37078651685393,8.12162162162162,2.39173003758603,-3.54647875296455
"215","Missouri State",2,2010,NA,NA,NA,NA,NA,NA
"216","Montana State",2,2010,NA,NA,NA,NA,NA,NA
"217","Morgan State",2,2010,NA,NA,NA,NA,NA,NA
"218","Navy",2,2010,1.85294117647059,1.6140350877193,7.13725490196078,6.92982456140351,-2.46875983042939,0.353820949918341
"219","NC State",2,2010,1.57142857142857,2.02985074626866,6.3265306122449,8.50746268656716,1.60625941930916,-3.66247221440462
"220","Nebraska",2,2010,1.3375,1.97647058823529,6.3,8,2.52963159712184,-4.14357149481653
"221","Nevada",2,2010,1.62376237623762,1.76470588235294,7.79207920792079,7.95294117647059,2.13226913346535,-3.042817251081
"222","New Hampshire",2,2010,NA,NA,NA,NA,NA,NA
"223","New Mexico",2,2010,2.10144927536232,1.36220472440945,9.10144927536232,6.73228346456693,-4.1594291797986,1.34714741382586
"224","New Mexico State",2,2010,NA,NA,NA,NA,NA,NA
"225","Nicholls",2,2010,2.20224719101124,1.34146341463415,10.2359550561798,6.4390243902439,-3.827756932555,3.00265258224458
"226","North Dakota",2,2010,2.01219512195122,1.46846846846847,8.71951219512195,8.44144144144144,-3.93538646285847,1.1313239408044
"227","North Texas",2,2010,1.94285714285714,1.43283582089552,8.77142857142857,6.52238805970149,-3.25966406669511,1.10727337263724
"228","Northern Arizona",2,2010,NA,NA,NA,NA,NA,NA
"229","Northern Illinois",2,2010,2.05263157894737,1.73404255319149,7,8.62765957446809,-2.80792813672562,0.658593545814573
"230","Notre Dame",2,2010,1.625,2.06451612903226,7.7125,8.44086021505376,0.488866393739566,-3.41837422390911
"231","Ohio",2,2010,1.57471264367816,2,6.66666666666667,6.74285714285714,0.72495793525732,-2.89911174520832
"232","Ohio State",2,2010,1.75,2.08219178082192,7.56818181818182,8.19178082191781,1.15872848415863,-4.1065742581863
"233","Oklahoma",2,2010,1.73636363636364,1.83505154639175,8,8.02061855670103,0.384884198746361,-2.59463049500909
"234","Oklahoma State",2,2010,1.44347826086957,2,6.44347826086956,7.41758241758242,2.24180641322994,-3.08545331997076
"235","Ole Miss",2,2010,1.46808510638298,1.76237623762376,6.25531914893617,7,1.52454455908206,-0.00845246423317264
"236","Oregon",2,2010,1.36220472440945,2.10144927536232,6.73228346456693,9.10144927536232,1.34714741382586,-4.1594291797986
"237","Penn State",2,2010,1.40740740740741,2,6.48148148148148,7.93589743589744,2.78120306969255,-2.81191302414568
"238","Pittsburgh",2,2010,1.96774193548387,1.82142857142857,7.65591397849462,8.07142857142857,-0.929911017714728,1.02556749856562
"239","Prairie View",2,2010,NA,NA,NA,NA,NA,NA
"240","Presbyterian College",2,2010,2.09473684210526,1.6989247311828,8.30526315789474,6.91397849462366,-3.22797646542028,0.625623318678923
"241","Purdue",2,2010,2.06451612903226,1.625,8.44086021505376,7.7125,-3.41837422390911,0.488866393739566
"242","Rice",2,2010,1.83950617283951,1.62637362637363,8.35802469135803,6.49450549450549,0.175126427807051,-0.787103964947186
"243","Rutgers",2,2010,1.84615384615385,2.25352112676056,8.47252747252747,8.7887323943662,-0.249500848670363,-4.011619921843
"244","San Diego State",2,2010,1.34146341463415,2.20224719101124,6.4390243902439,10.2359550561798,3.00265258224458,-3.827756932555
"245","San José State",2,2010,2.24285714285714,1.34065934065934,8.75714285714286,6.6043956043956,-4.05455746520164,2.32663075330679
"246","SMU",2,2010,1.80681818181818,1.69811320754717,7.26136363636364,7.31132075471698,-1.69898697685151,0.638347693592905
"247","South Carolina",2,2010,1.52808988764045,1.89795918367347,8.06741573033708,7.63265306122449,2.66913823355042,-2.61752818177882
"248","South Dakota",2,2010,1.87931034482759,1.37931034482759,8.86206896551724,6.3448275862069,-3.37088538004275,3.08011881617036
"249","South Florida",2,2010,1.35483870967742,1.71875,6.48387096774194,7.96875,0.050755889779999,-3.28481695060515
"250","Southern Illinois",2,2010,NA,NA,NA,NA,NA,NA
"251","Southern Mississippi",2,2010,1.89795918367347,1.52808988764045,7.63265306122449,8.06741573033708,-2.61752818177882,2.66913823355042
"252","Stanford",2,2010,1.29545454545455,1.93670886075949,5.80681818181818,10.5822784810127,2.7847574687585,-2.31892091671251
"253","Syracuse",2,2010,1.69473684210526,2.21951219512195,6.64210526315789,9.46341463414634,-2.1072465493647,-1.19465685781845
"254","TCU",2,2010,1.6039603960396,1.74285714285714,7.00990099009901,7.1,1.89045753401478,-1.93996405520814
"255","Temple",2,2010,1.71910112359551,1.64285714285714,6.70786516853933,7.77380952380952,-0.0309826257415629,-1.41441690553695
"256","Tennessee",2,2010,1.59223300970874,2.24675324675325,6.64077669902913,9.23376623376623,0.00313015276512784,-4.26259634019517
"257","Tennessee Tech",2,2010,2.13095238095238,1.26582278481013,9.41666666666667,6.68354430379747,-4.1606377650973,1.55556209213332
"258","Texas",2,2010,1.62637362637363,1.83950617283951,6.49450549450549,8.35802469135803,-0.787103964947186,0.175126427807051
"259","Texas A&M",2,2010,1.53225806451613,2.19318181818182,6.5241935483871,9.79545454545454,0.907669677939122,-3.64244438900906
"260","Texas Southern",2,2010,NA,NA,NA,NA,NA,NA
"261","Texas Tech",2,2010,1.69811320754717,1.80681818181818,7.31132075471698,7.26136363636364,0.638347693592905,-1.69898697685151
"262","The Citadel",2,2010,NA,NA,NA,NA,NA,NA
"263","Toledo",2,2010,2.17460317460317,1.46938775510204,8.57142857142857,6.6734693877551,-0.952607707393142,-0.361061708937137
"264","Troy",2,2010,1.66666666666667,1.72631578947368,8.36666666666667,7.62105263157895,0.649725520685959,-1.93037392078344
"265","Tulane",2,2010,1.86363636363636,1.92207792207792,7.44318181818182,7.77922077922078,-0.119107751371392,-2.24941978370241
