"","team","week","year","L3_avg_down","L3_avg_def_down","L3_avg_distance","L3_avg_def_distance","L3_avg_drive_efficiency","L3_avg_def_drive_efficiency"
"5982","USC",12,2013,1.73383704575933,1.87823074696569,7.85548768521244,7.97057446696001,-1.29080081602489,-0.852709986186475
"5983","Utah",12,2013,1.95403886872353,1.82356187433553,8.15298982909861,7.77523626611679,-1.23248270412968,-1.14464527090531
"5984","UTEP",12,2013,1.97168209876543,1.45815550422443,8.04320987654321,6.70733252021762,-2.63843684580148,0.796091545510444
"5985","Vanderbilt",12,2013,1.73587034011684,1.57051646390637,7.32620612398638,6.95790487015055,0.140442833441802,-0.111302246980131
"5986","Virginia Tech",12,2013,1.83848973607038,1.94761164859429,7.48988677093516,8.40570991342185,-0.633898515182075,-1.33191818821012
"5987","Washington",12,2013,1.70870002069605,1.76460790833417,7.96418163792586,7.05048510901152,0.39279201255776,-1.33374838100445
"5988","Washington State",12,2013,1.69457099299542,1.44214935442761,7.67101902290301,6.97210926905404,-0.697913879057283,0.947662766410889
"5989","West Virginia",12,2013,1.78239858626959,1.64460258139448,7.93320949709372,7.17141936952126,-0.699209945400825,0.0570015895204057
"5990","Western Michigan",12,2013,1.88066084229391,1.66930953869978,8.41992159498208,6.83508782770978,-1.03977663704315,0.229374544904782
"5991","Wisconsin",12,2013,1.60764941137042,1.94410699062234,6.72699151685943,8.04300777633913,0.271790778387206,-1.5672257380883
"5992","Wyoming",12,2013,1.77176018663279,1.55554511278195,7.41491550108415,6.92593303911954,0.282946986924972,0.0172080830816755
"5993","Air Force",13,2013,1.74854185750726,1.56755123679566,6.87110710385524,6.88728147697468,0.733504021733518,0.47864918612986
"5994","Alabama",13,2013,1.43707600474698,1.96498050951807,6.85072754485715,7.91892930749528,1.74824866607914,-2.47594092794912
"5995","Alabama A&M",13,2013,2.04705882352941,1.29166666666667,7.97647058823529,7.58333333333333,-2.37192432212477,2.17057963249536
"5996","Arizona",13,2013,1.76868919701013,1.79469795035287,7.30221877750233,7.31303113542332,-0.44913647500005,-0.828569825616067
"5997","Arizona State",13,2013,1.59822528554593,1.97566476956227,7.08569232479677,8.36771104375887,-0.14520580347793,-1.15485853304596
"5998","Arkansas",13,2013,1.79598163807794,1.49700613023934,8.06792669103018,6.50322349341669,-1.2677002300275,1.53708239551726
"5999","Arkansas State",13,2013,1.74962797619048,1.92557745917961,7.11971726190476,7.50567502986858,-0.570849108701645,-0.935999134245555
"6000","Baylor",13,2013,1.45128856035326,2.01396381744231,6.93836859994271,8.07242803332822,0.928407474690559,-2.26805180106932
"6001","Boise State",13,2013,1.59325098868569,1.76526086937195,6.81331206520291,7.34816265941227,0.124955736360762,-1.11351099093584
"6002","Boston College",13,2013,1.73311119863591,1.70673238961914,6.88965505504337,7.94497247500281,-0.811798902077752,-0.64350205199443
"6003","Bowling Green",13,2013,1.5307446783293,1.88219705690495,7.13998992556772,7.83102144967576,0.181229293068535,-1.02922315311698
"6004","Buffalo",13,2013,1.63920687161148,1.82958073632288,7.10160038531604,7.82832546709384,-0.213030070600655,-1.49594807496803
"6005","BYU",13,2013,1.6866259769409,1.85232364283996,7.23322186802437,7.44157775765476,-0.645602081797249,-1.32144003638536
"6006","California",13,2013,1.8892227503515,1.5434113747591,7.33975483478705,7.04088735166546,-1.01916221210377,0.216781296561761
"6007","Central Michigan",13,2013,1.65922647409172,1.61996871346889,7.14596022764873,6.86499116125339,-1.24134223577549,0.416362141603122
"6008","Chattanooga",13,2013,1.87046881654201,1.54677434902392,8.01783058957933,7.2726447788205,-2.17276540648225,1.13848648364544
"6009","Cincinnati",13,2013,1.53562200956938,1.81397888281526,6.9619750132908,8.15253494601724,0.304724090135004,-0.977457828049625
"6010","Clemson",13,2013,1.57411085908492,1.76858757401785,7.03505303778896,8.41760612983057,-0.0697581783183325,-0.785485070479279
"6011","Coastal Carolina",13,2013,2.141247862232,1.63127456582342,8.70708176233522,6.50535902896819,-3.42096429799825,0.536406207007589
"6012","Colorado",13,2013,1.81917942121252,1.56333289260339,6.95493139435166,6.66942151875538,-1.27456142067232,0.0704342062904795
"6013","Colorado State",13,2013,1.54331501451128,1.66122971091329,6.92868194344596,7.37682944058633,0.650093466346911,-0.41398356805989
"6014","Connecticut",13,2013,1.89267557155488,1.50994717118771,7.96457329616197,7.32016679609137,-2.28963447514059,0.247729913114433
"6015","Duke",13,2013,1.74933888028896,1.85388888888889,7.13283379595032,7.38651515151515,-0.506149101882673,-1.51083750480581
"6016","East Carolina",13,2013,1.42835359843012,1.92041159189655,6.48302300999184,7.44174880340917,0.86594777073005,-2.35082158518079
"6017","Eastern Michigan",13,2013,1.75053582408573,1.41526076165812,7.42769595643135,6.79638033932633,-0.573790463811392,1.04436097988016
"6018","Florida",13,2013,1.90373274688244,1.80253023350736,8.39158821743091,6.85042828679551,-1.27255426996383,0.0876123865422197
"6019","Florida Atlantic",13,2013,1.79976808722981,1.81385135135135,7.33032351262706,8.20747747747748,-0.8705890522224,-1.34414269924811
"6020","Florida International",13,2013,2.0097379941016,1.63367614836459,8.02562636118065,6.67903282788818,-2.05916842396011,-0.028464474665406
"6021","Florida State",13,2013,1.31990002176543,1.98990258576621,6.7865124025497,8.11093349116592,1.47366331760355,-2.73348348008732
"6022","Fresno State",13,2013,1.61602130325815,1.93347934393193,7.57557330827068,7.97349977608598,0.825476870834961,-0.969895060934843
"6023","Georgia",13,2013,1.58137799259052,1.87092269824843,7.25697993524486,8.05320552082453,-0.575843338251284,-0.330573294292159
"6024","Georgia Southern",13,2013,1.9952781054476,1.61314142728616,7.78264798603782,7.14136703939336,-2.71630202220006,1.79468416540526
"6025","Georgia State",13,2013,1.87349962490623,1.57038528740551,7.91809209832579,6.30448224219084,-1.75572157852712,0.0799976586148538
"6026","Georgia Tech",13,2013,1.55433452166641,1.79824042292974,7.09193977064935,7.84599114293605,0.0600170173490879,-1.34321652662404
"6027","Hawai'i",13,2013,1.82352530155928,1.65906272141242,7.6321077890556,7.70044707245381,-1.2976679315074,-0.133716377696732
"6028","Houston",13,2013,1.67340853852897,1.7848469750582,7.92561772850426,8.17595076341351,-0.990804250664832,-0.0707449352863145
"6029","Idaho",13,2013,1.8776765195735,1.59493037642423,7.67985977068709,6.95366788840186,-1.03728300518182,0.707017249922765
"6030","Illinois",13,2013,1.78477899287512,1.56435431673452,7.96144038969958,6.76888878946505,-1.00478233387559,0.689649278559581
"6031","Indiana",13,2013,1.61779866981006,1.47934334784369,7.13021591627853,6.91171945159654,-0.598291034265649,0.675354227410242
"6032","Iowa",13,2013,1.74169213139801,1.82196500867554,7.24656226126814,7.42596587622903,-0.468843215924758,-0.277963435184803
"6033","Iowa State",13,2013,1.90789690566207,1.64474433696567,8.42921289307876,6.62583457834274,-1.59709830785399,0.402731536464335
"6034","Kansas",13,2013,2.00519059261478,1.60369084632708,8.06340546260262,7.06812656334011,-1.89217152810289,-0.195707609514017
"6035","Kansas State",13,2013,1.54688548920727,1.80518873130288,6.81075205783631,7.63983318361389,1.06303820090232,-1.53158315810466
"6036","Kent State",13,2013,1.78934626874124,1.74961652282588,7.49195357222073,7.62376629999057,-1.06174140315192,-0.380309160232492
"6037","Kentucky",13,2013,1.8391121252161,1.7905906264945,7.84270637364347,7.67560411393935,-1.02323565341691,-0.515405294105991
"6038","Louisiana Monroe",13,2013,1.80353481108345,1.8030623433584,7.43520199242146,7.61167734849171,-0.702252303445127,-1.12137333027397
"6039","Louisiana Tech",13,2013,1.83224277528735,1.78678231125956,7.96606934769821,7.41661244837234,-0.986302254547579,-0.838021096112612
"6040","Louisville",13,2013,1.63995050721587,1.91531369731801,8.23752579174769,8.04319923371648,-0.1988546228552,-0.814293487616342
"6041","LSU",13,2013,1.56041840165148,1.81414029784359,7.6843283646947,7.33165987353927,0.238530752631332,-0.548539617553931
"6042","Marshall",13,2013,1.39927609060482,1.79565540726533,6.50930655995059,7.45970535087953,0.996555171863453,-0.934374660882644
"6043","Maryland",13,2013,1.88438326975614,1.79977827036111,8.77861903727764,7.44854812221015,-1.79759181556167,-0.692059704446876
"6044","Memphis",13,2013,1.76747477527059,1.82584395066899,8.26013575490736,7.40002742699855,-0.21508539324775,-1.48066214638357
"6045","Miami",13,2013,1.7663791767218,1.61044576793789,7.4413424972006,6.93754315739502,-1.03355956852157,0.581954389496382
"6046","Miami (OH)",13,2013,1.94596127063524,1.58240223788587,7.51177103689066,6.90550660664852,-1.55407104968666,0.540058864669294
"6047","Michigan",13,2013,1.82363987363987,1.80524342051345,8.43242635742636,7.18040012831151,-0.894935764033479,-0.706857669721812
"6048","Michigan State",13,2013,1.71012395060664,1.94038075423692,7.61565617632684,8.87482935374452,0.294253882451515,-1.83722379903774
"6049","Middle Tennessee",13,2013,1.67367751640858,1.77068571853362,7.05227371226232,6.84410815173527,-0.53724600148059,-0.881896991953692
"6050","Minnesota",13,2013,1.76879276095596,1.78833650463552,7.14396123555948,7.82312179922474,-0.279575689421515,-1.0028256676002
"6051","Mississippi State",13,2013,1.79720039754784,1.72226726897515,7.54690818331459,7.42906517606149,-0.743602795482129,-0.573319536999055
"6052","Missouri",13,2013,1.71208330843556,1.91007325001227,7.30703362055531,8.21261079492787,0.476792743053998,-2.19144596006995
"6053","Navy",13,2013,1.61645462476788,1.60303933615498,6.77812489994877,7.14622206799254,1.45420714197559,-0.530891174789389
"6054","NC State",13,2013,1.85394899725634,1.61487762937837,7.59045003701768,7.3226727001138,-2.19969532929088,0.286891826743199
"6055","Nebraska",13,2013,1.77495151860198,1.85762716294631,7.76303063175726,7.72491897119557,-0.806419518569025,-0.609678549765767
"6056","New Mexico",13,2013,1.54835208209131,1.46836233412985,7.74169620079859,6.63994865016015,1.50425920186866,1.23890143574921
"6057","New Mexico State",13,2013,1.70170344608832,1.49217366968656,7.54848834311349,6.52220967209539,0.383920733487405,-1.01789130148123
"6058","North Carolina",13,2013,1.70362258410729,1.87202772556391,7.76247388602679,7.95038824740423,-0.598510757105441,-1.48166767445728
"6059","North Texas",13,2013,1.59991781178165,1.96052962851807,6.52232986233624,8.44581770208083,-0.172928130960184,-1.97834379505275
"6060","Northern Illinois",13,2013,1.35490610254632,1.85324451216844,6.09082384900743,7.55341663026898,1.29377118739634,-0.854513471212096
"6061","Northwestern",13,2013,1.96682499605767,1.88592914438503,7.74220273597579,7.92443438914027,-1.32506599771474,-1.10566623592408
"6062","Notre Dame",13,2013,1.62892429424832,1.85258599407505,6.89227481489491,7.21612781224643,0.193783965054747,-0.636738149325088
"6063","Ohio",13,2013,1.80277148607692,1.65752007854905,7.80780522165532,6.83481513760793,-1.72941905543262,-0.0404681093552505
"6064","Ohio State",13,2013,1.38576867325681,1.83381875477464,6.30330300539303,7.99264944614209,1.81078453071233,-1.07761279074678
"6065","Oklahoma",13,2013,1.76485011404366,1.72546443667201,7.48826979472141,8.07485943812766,-0.105514107624874,-0.859147601614831
"6066","Oklahoma State",13,2013,1.55248925577879,1.87905127715613,6.77840511214871,7.8054059503768,-0.367757926324407,-0.513421503207427
"6067","Old Dominion",13,2013,1.49709145021645,1.7873390859027,7.02768759018759,8.11991764505444,1.04721731166956,-1.33473215912747
"6068","Ole Miss",13,2013,1.55729665942907,1.80901383311022,6.96344579802295,7.56917196243467,2.21483123831752,-2.1892055434634
"6069","Oregon",13,2013,1.46539480634308,1.82209152291831,6.98404430818224,7.0652444244011,0.549876107616163,-1.58378851290461
"6070","Oregon State",13,2013,1.78248137428988,1.74847630450147,7.9249378037144,7.39373720479637,-1.00189135360391,-0.878262000374896
"6071","Penn State",13,2013,1.71869376013232,1.60953452232522,7.0129412521084,7.27796510320225,-0.607156494943195,0.056834993402966
"6072","Pittsburgh",13,2013,1.80284277794763,1.78920134792783,7.71734294559101,7.18720259936426,-0.932034132002498,-0.965052207183547
"6073","Purdue",13,2013,1.99336627140975,1.45788281520098,8.61483981693364,6.50087025770274,-1.77592755103539,0.950120936795226
"6074","Rice",13,2013,1.6223763613897,1.87474872924911,6.71137956957124,7.25799869502196,0.0981305442175778,-1.47920587461354
"6075","Rutgers",13,2013,1.83899522268454,1.52233336115367,8.03667360147943,7.1167208914828,-0.758240907369041,-0.44102850862589
"6076","San Diego State",13,2013,1.72245881490426,1.73836110409959,7.16396232246564,7.88253052065185,0.292749542644485,-0.420341360148683
"6077","San José State",13,2013,1.67205624173188,1.59981492481865,7.23427199075914,6.83467255886928,-0.45566797596521,-0.18181751768841
"6078","SMU",13,2013,1.57476896061455,1.69126382181361,7.34520652958153,7.23887207693948,0.157721259655439,-0.73443677641081
"6079","South Alabama",13,2013,1.74816010550257,1.70792507763975,7.29744474809178,7.64199210662526,-0.659848776728027,-0.363343845760419
"6080","South Carolina",13,2013,1.87653905640364,1.87521110150732,7.10514802198641,8.30595926859612,-1.02782914432339,-1.29197385696761
"6081","South Florida",13,2013,1.98374099003604,1.66011043157328,8.66597259027631,8.14274235570001,-1.72218939900601,-0.712884675871241
"6082","Southern Mississippi",13,2013,1.88883844892221,1.55667121021789,8.81794019447048,6.75486938249357,-1.81001081499092,0.593024981090446
"6083","Stanford",13,2013,1.77106910946197,1.87854534705801,6.81737399505257,8.24501785134697,-0.623488316744543,-1.63195255448685
"6084","Syracuse",13,2013,2.01227513337841,1.6150829191617,7.77115442951374,7.57847213780938,-2.80643479050871,-0.133274506027641
"6085","Temple",13,2013,1.6155149006479,1.65327375727694,7.0460425900247,7.21451627970548,-0.184902361639141,-0.591904668807192
"6086","Tennessee",13,2013,1.90608910703587,1.55725654431367,7.9815097597816,6.95218347431027,-1.56596804417843,0.44065349372625
"6087","Texas A&M",13,2013,1.39776253284997,1.69585059678972,7.07386051060774,7.23786917819618,1.69715283624501,-1.9032135942698
"6088","Texas State",13,2013,1.86762566137566,1.79133223994774,7.19298772215439,7.1912518946063,-0.392708648938477,-0.531588552156119
"6089","The Citadel",13,2013,1.72934568994602,1.3284605954686,6.96497490721997,6.55883821175011,-1.38892190269338,2.74901609083048
"6090","Toledo",13,2013,1.52647076100684,1.74348795840175,6.91500562247985,7.41694307608101,1.26280718055658,-0.840520346325476
"6091","Tulane",13,2013,1.9138656697935,1.84510647542455,7.65849122318194,8.5561780116464,-2.00522161624193,-1.48622004521975
"6092","Tulsa",13,2013,1.89669538935437,1.67078197872255,7.66315650325409,6.97384955663644,-1.58224948851858,-0.798738488853432
"6093","UAB",13,2013,1.78493515292296,1.35139206228315,7.14603323505762,6.72683210628755,-1.56822072445385,1.88504516306314
"6094","UCF",13,2013,1.54590656740093,1.68106960316698,6.96464681351856,7.89448850205799,0.289658721315621,-0.264545559239179
"6095","UCLA",13,2013,1.69335461213996,1.64118265450972,7.15390135707279,7.48029357643599,-0.414144582204936,-0.278119801258362
"6096","UMass",13,2013,1.9509755964117,1.62011881487688,7.63994950282983,7.11527603221152,-0.985891603606845,-0.832534157376047
"6097","UNLV",13,2013,1.78310695592357,1.67338372253421,7.66823557619331,7.70587831464652,-1.02449180987577,0.0588932259150758
"6098","USC",13,2013,1.70705133147362,1.85061378561379,7.71830606837966,7.84899724899725,-0.419310629513409,-1.4453451844062
"6099","UT San Antonio",13,2013,1.7268103852008,1.80894441209713,7.47198571595832,7.77134340725206,0.484721906806021,-1.48983425229882
"6100","Utah",13,2013,1.98339492932959,1.74644165066358,8.14217859172487,7.83336767338613,-2.14192964009267,-0.391736554876325
"6101","Utah State",13,2013,1.63910268793636,1.85044269752261,7.52004404768096,7.83653282095296,-0.415603592152735,-1.16631057640813
"6102","UTEP",13,2013,1.94791666666667,1.56115900523788,7.86728395061728,7.18397707522039,-2.49164334136793,0.442788637391147
"6103","Vanderbilt",13,2013,1.80897550665237,1.70764671818764,7.28673589057437,7.73047881929429,-0.245724872182438,-0.83219993056734
"6104","Virginia",13,2013,1.94534982277701,1.60126033420616,8.37008451512408,7.14394188171724,-0.64892363058547,-0.574252085097017
"6105","Wake Forest",13,2013,1.95167040365921,1.76515951208069,8.5023907149739,7.46731796166743,-1.85621393114614,-0.927842546338464
"6106","Washington",13,2013,1.65501068906163,1.81665498655363,7.96255995369094,7.09321271480013,-0.0579880777578945,-1.0689293332043
"6107","Washington State",13,2013,1.70030015966209,1.49721607669617,7.66424818956967,6.81748041167289,-0.864680892212061,0.941313693055575
"6108","Western Kentucky",13,2013,1.64641384444016,1.76018506687111,7.11840525458947,7.40533691115087,0.0421986161708132,-0.0271184590516284
"6109","Wisconsin",13,2013,1.54958507986859,1.905773657289,6.72948121466163,7.9972385455699,0.858030064598972,-1.59641960842492
"6110","Wyoming",13,2013,1.84600695851228,1.51185042251647,7.54146978133284,6.70067813338656,-1.06088324418007,0.835257002973948
"6111","Air Force",14,2013,1.72453235797065,1.49234519283961,6.886978280871,6.68089411433732,0.504981405217834,0.903478242117688
"6112","Akron",14,2013,1.82596335684935,1.80750289821399,7.57980122993318,7.41590464423674,-0.900024792716206,-1.10871697575414
"6113","Alabama",14,2013,1.41957865586044,1.99270938275751,7.01142920622159,7.93323388496006,1.77904254414455,-2.39826719430784
"6114","Arizona",14,2013,1.76694748078243,1.74646166815802,7.3374991513341,7.36857424852522,0.343542285732594,-1.35952978720249
"6115","Arizona State",14,2013,1.64700828884626,1.87332600273024,7.15906278684297,8.14127589138466,-0.948017443338399,-0.323319269618318
"6116","Arkansas",14,2013,1.78585656362886,1.52318455478853,8.01194098525293,7.03441088137409,-1.19084415327474,0.83697585803039
"6117","Arkansas State",14,2013,1.69723676108374,1.88016547416088,6.97865609605911,7.71614111393017,-0.663782815057782,-0.983360148766933
"6118","Army",14,2013,1.68843635212411,1.59936426422233,6.81472866183565,6.80751985814702,-0.0223152507279567,-0.292720918116516
"6119","Auburn",14,2013,1.4552859403255,1.77698298599553,6.7258657323689,7.49109083079128,1.17240618576724,-0.807696146045492
"6120","Ball State",14,2013,1.56598048818794,1.6945418475312,6.53819427223683,7.08189640230301,-0.253343227967805,-0.0988163836150725
"6121","Baylor",14,2013,1.56904595152842,1.86552631744231,7.29438925066325,7.89187247777267,-0.154341973585536,-0.901966619481805
"6122","Boise State",14,2013,1.67149027813187,1.7971013537649,7.11209733166059,7.2687963372492,-1.10694352289479,-0.587779588289354
"6123","Boston College",14,2013,1.7080337992551,1.74713643002318,6.48791356897526,8.08019974773008,-0.687029940171743,-1.2636580140032
"6124","Bowling Green",14,2013,1.42373098677673,2.01798967903855,6.74019013223267,8.10674428118124,0.658950308752368,-1.65346704858656
"6125","Buffalo",14,2013,1.62046683971356,1.81527472982938,6.99321388877165,7.87301905475617,-0.423796604239808,-0.558049759306719
"6126","BYU",14,2013,1.75043679908855,1.8972482287565,7.17196277965748,7.54815220014574,-0.919547506237351,-0.906713561839468
"6127","Central Michigan",14,2013,1.64115582191781,1.73062584659793,7.25954718417047,7.24458768832183,-0.866546747297637,-0.832642249740794
"6128","Clemson",14,2013,1.44217555206738,1.95512008175779,6.65563966059597,8.28325370464997,0.808046877831621,-1.69500908033958
"6129","Colorado",14,2013,1.75098030897409,1.55200619613854,7.27604743747151,6.85524537084802,-0.920596954534692,0.379122226802814
"6130","Colorado State",14,2013,1.63935679570974,1.74836757305115,7.21999585218703,7.4998564136133,0.148738410549228,-0.804754868520092
"6131","Connecticut",14,2013,1.90485089623021,1.59631080755134,7.27166204075071,7.96496344680908,-1.83377713567446,-0.105954332552495
"6132","Duke",14,2013,1.69837094320487,1.85455823293173,7.13411933739013,7.10015760009736,-0.549258928029942,-1.5604334387499
"6133","East Carolina",14,2013,1.42915397507796,1.84744779099158,6.47963317948336,7.21022542482697,0.786441799490628,-1.44560683575121
"6134","Eastern Michigan",14,2013,1.90103432857227,1.41026963477258,7.89165408205448,6.54194378209474,-1.10722502759932,1.2051056032724
"6135","Florida",14,2013,1.899791305441,1.77701867358177,7.93494407328677,6.60630790412211,-0.593357468530385,-0.807066929904755
"6136","Florida Atlantic",14,2013,1.73125434152534,1.82748771498771,7.2888716225927,8.44762899262899,-0.613671556180765,-1.54998596562934
"6137","Florida International",14,2013,1.98671167831212,1.54183462002134,8.17349221483919,6.66527878258074,-2.02036916498776,0.131903218172121
"6138","Florida State",14,2013,1.28851497422869,1.97770276201649,6.44808327549697,8.71982311443096,1.7665194274622,-2.79715680180487
"6139","Fresno State",14,2013,1.56244987468672,1.90660561525097,7.05101973684211,7.66689674056729,0.861269326058299,-1.03820515378314
"6140","Georgia",14,2013,1.42467292847402,1.9516518649151,7.2529047342016,8.29427694939596,0.61027736436893,-1.05101518001058
"6141","Georgia State",14,2013,1.82136720977997,1.56164486594957,7.82778159935273,6.691694885869,-1.49739050500334,-0.371288103117939
"6142","Georgia Tech",14,2013,1.4891116239967,1.80496311200537,7.02044787601916,8.05954156310412,-0.0371254898240854,-1.16453349718996
"6143","Hawai'i",14,2013,1.75559600862999,1.61346710138173,7.51307127001909,7.37562840876292,-1.50819168331796,1.00685080963956
"6144","Houston",14,2013,1.81655274656679,1.80290937243094,8.21096051810237,8.53073319362697,-1.18374914781642,-0.696247703103893
"6145","Idaho",14,2013,1.8670401895698,1.52865611330417,8.09911615248509,6.70622899551904,-1.3022916381169,1.12766898584481
"6146","Illinois",14,2013,1.72417965880187,1.70894967610068,7.58419288692488,6.88101386020642,-1.40709198983176,0.189382249215277
"6147","Indiana",14,2013,1.78416824794434,1.45618609968644,7.32272928526249,6.7652821051592,-1.01706122005563,0.479059447310046
"6148","Iowa",14,2013,1.78514867485456,1.87739060971517,7.35795087265675,7.56154092496198,-0.193355429831855,-1.91590874041418
"6149","Iowa State",14,2013,1.84628939852213,1.8458581983518,8.026571114213,7.12300572402874,-1.41262295822568,-0.462111286024882
"6150","Kansas",14,2013,2.03498031224095,1.67098197466472,8.05072188449848,6.98931519383107,-2.69737560758255,0.303716991073316
"6151","Kansas State",14,2013,1.52449872962538,1.73867525471612,7.07103080348091,7.33487106710663,1.11941743563333,-0.914585012217958
"6152","Kentucky",14,2013,1.85227001995295,1.65292341007522,8.34233043379385,7.38767118375794,-1.09186619163556,-0.240147339002938
"6153","Louisiana",14,2013,1.50150607924998,1.76243779862464,6.48803223955663,7.78894560038711,-0.1310467526325,-0.841386252744996
"6154","Louisiana Monroe",14,2013,1.77540286149116,1.7624373433584,7.68520199242146,7.55042734849171,-0.662008432736247,-0.682173260727319
"6155","Louisiana Tech",14,2013,1.84241819376935,1.80508329866167,8.04454905418755,7.5005983750549,-1.00073424942545,-0.85991231029926
"6156","LSU",14,2013,1.56332832067982,1.74927862442929,7.37385265619268,7.86075906382267,0.418265762559448,-0.444382580798787
"6157","Marshall",14,2013,1.4011153662132,1.89061664757541,6.75930655995059,8.06735802624349,0.705067363605814,-1.59859094136328
"6158","Maryland",14,2013,1.8764156626506,1.82999535719585,8.51470837897043,7.14658733789642,-1.26301639056869,-1.61368413037452
"6159","Memphis",14,2013,1.77392405063291,1.86687810626671,7.99839662447257,7.54186803420917,-0.711499528507055,-1.01019934091123
"6160","Miami",14,2013,1.72857502684868,1.58237326572746,7.46836145525404,6.79489653198977,-1.4604398298573,0.645280280465931
"6161","Miami (OH)",14,2013,1.98878168202765,1.5434052889919,7.76627064132104,6.83480675920382,-1.7675763695296,0.670578329281191
"6162","Michigan",14,2013,1.95071619238286,1.90136951663955,8.43714016214016,7.44655064446203,-2.28331561691539,-0.55392099685957
"6163","Michigan State",14,2013,1.67377941279151,1.89894852917298,7.50361135839966,8.45147044496362,-0.097071695804232,-0.937313610631483
"6164","Middle Tennessee",14,2013,1.57581753908431,1.80475165259956,6.74742677348681,7.29667225429937,-0.0812085824173916,-0.702339786640734
"6165","Minnesota",14,2013,1.77897632738952,1.78464936730477,6.97630389290214,7.46643659612996,0.163604953679853,-1.62440214691358
"6166","Mississippi State",14,2013,1.76491506962356,1.66008269795857,7.73284462685753,7.71587123229797,-1.68693937395956,0.178003677376917
"6167","Missouri",14,2013,1.69739187761795,1.90449323179181,7.50991294445468,7.88073256838672,-0.117432327191608,-1.47483047869283
"6168","NC State",14,2013,1.82949427154583,1.65005241090147,7.54982985636115,6.96789741921492,-1.30305347045755,0.0165522767102774
"6169","Nebraska",14,2013,1.81807486001193,1.90159155721466,7.5905661111619,8.02783907540747,-0.907406447995617,-1.03453011909159
"6170","Nevada",14,2013,1.81018355363234,1.6802038202742,7.6979531202164,7.36986452322667,-0.517302407604938,-0.260200075630911
"6171","New Mexico",14,2013,1.5435480558598,1.4222488887517,7.3452115279299,6.3657889862946,0.734908041980893,2.19470917556197
"6172","New Mexico State",14,2013,1.6969187570931,1.47134033635322,7.94412231440535,6.65467822555451,-0.684116769014827,-0.389012459809102
"6173","North Carolina",14,2013,1.59986441417265,1.83879386772343,7.38845427818365,8.27930170372544,-0.279128944373644,-1.36632255883977
"6174","North Texas",14,2013,1.62993479636487,1.92948800394745,6.68227890858656,8.50279891040575,0.321174881572034,-2.46033589119028
"6175","Northern Illinois",14,2013,1.36771191294387,1.86476039354734,6.06045783218786,7.24015454988361,1.25690416161178,-0.785916020071654
"6176","Northwestern",14,2013,1.98356964846409,1.82221161191749,7.66736984827526,7.54835213805802,-1.62033494805258,-0.872818420611652
"6177","Notre Dame",14,2013,1.61783041377594,1.82914849407505,6.81142666983944,6.90223488588984,0.532660168775106,-0.667573514269547
"6178","Ohio",14,2013,1.93011050644016,1.62879858995361,8.01329504003727,6.99234815081321,-1.66178204466941,-0.265469044473268
"6179","Ohio State",14,2013,1.29096070739621,1.94751878023937,6.28772690297482,8.03040091036415,1.36492429826467,-1.3738318633061
"6180","Ole Miss",14,2013,1.60793795686388,1.82087725903614,6.91879347663224,7.62463106737294,1.77371620983105,-2.17798471499124
"6181","Oregon",14,2013,1.57234193722638,1.8150036954915,7.13690267912572,6.77583764474008,-0.77031050434129,-0.382444427951105
"6182","Oregon State",14,2013,1.85361773792625,1.65525363392187,8.23698325825985,7.04391145277877,-0.910472233863707,-0.669284557054435
"6183","Penn State",14,2013,1.71494225953208,1.80211180485577,6.97005409724646,7.63977764813395,0.14122282145292,-1.55524781392841
"6184","Pittsburgh",14,2013,1.83382923335269,1.85388388761037,7.82071631640625,7.53283751999918,-1.10055280565361,-1.27426025041306
"6185","Purdue",14,2013,1.98707336523126,1.4549416387304,8.1519298245614,6.61557614005568,-0.868984942550981,0.415676735619428
"6186","Rice",14,2013,1.67692181593515,1.83294057984334,7.03513600181823,7.18955641997951,-0.163511582271034,-1.31182414473213
"6187","Rutgers",14,2013,1.84566188935121,1.48843954412732,7.52000693481276,7.0081216593896,-0.84362780754046,0.0226806580261183
"6188","San Diego State",14,2013,1.70588776459535,1.72404292228141,7.19979639130942,7.82321233883366,0.0893395870933375,-0.654061090515841
"6189","San José State",14,2013,1.69208425293637,1.57614382847313,7.24799748095522,6.75054821145589,-0.2196296500078,0.435860776283525
"6190","SMU",14,2013,1.62098744800951,1.7406297638426,7.39142501697649,7.06782739094914,-0.0567438823398156,-0.882447488236599
"6191","South Alabama",14,2013,1.80788232772479,1.75031944383693,7.35216697031401,7.94532543995859,-0.942528776769272,-0.508952197990268
"6192","South Carolina",14,2013,1.67973373393901,1.88875223589669,6.47358484768768,8.04807091908156,0.703866194337115,-1.97273234386553
"6193","South Florida",14,2013,1.92838050314465,1.65075669007668,8.25543107966457,7.93866072304695,-1.08701325625219,-1.14417474951404
"6194","Southern Mississippi",14,2013,1.86977938298815,1.59805931718482,8.86953703512982,6.91338451268358,-1.45975366949657,0.0580871420115339
"6195","Stanford",14,2013,1.69719923893311,1.88202245285579,6.68505009775171,8.36011396011396,-0.13784381384663,-1.61204340867019
"6196","Syracuse",14,2013,2.00868036213658,1.7549882266202,7.82319691317387,8.15098207468101,-1.92323984243106,-1.42348060122689
"6197","TCU",14,2013,1.8581386111757,1.8273019401672,7.72239128265343,8.12856886987763,-1.03747287057212,-0.85837848716791
