"","salary","dk_own","slate_size","L3_attempts","L3_completion_percent","L3_completions","L3_first_downs","L3_interceptions","L3_qb_rating","L3_sacks","L3_touchdowns","L3_yards","L3_ypa","L3_pa_dkpts","L3_pa_fdpts","L3_ra","L3_fumbles","L3_longest","L3_rtd","L3_ry","L3_rypa","L3_ru_dkpts","L3_ru_fdpts","dk_pts","fd_pts","L3_dk_pts","L3_fd_pts","implied_total","opp_implied_total","L4_def_rushing_plays_explosiveness","L4_def_passing_plays_rate","L4_def_passing_plays_ppa","L4_def_passing_plays_success_rate","L4_def_passing_plays_explosiveness","L4_avg_down","L4_avg_distance","L4_avg_def_drive_efficiency","L4_avg_drive_efficiency","L4_avg_def_distance","L4_avg_def_down","favorite","opp_L4_attempts","opp_L4_ra","opp_L4_run_perc","opp_L4_pass_perc","opp_L4_opp_run_perc","opp_L4_opp_pass_perc","opp_L4_opp_pts","opp_L4_pts","opp_L4_opp_ppg","opp_L4_opp_tpp","opp_L4_opp_pos","opp_L4_ppg","opp_L4_tpp","opp_L4_off_ppa","opp_L4_off_success_rate","opp_L4_off_explosiveness","opp_L4_off_power_success","opp_L4_off_stuff_rate","opp_L4_off_line_yds","opp_L4_off_second_lvl_yds","opp_L4_off_open_field_yds","opp_L4_off_field_pos_avg_predicted_points","opp_L4_off_standard_downs_rate","opp_L4_off_standard_downs_ppa","opp_L4_off_standard_downs_success_rate","opp_L4_off_standard_downs_explosiveness","opp_L4_off_passing_downs_rate","opp_L4_off_passing_downs_ppa","opp_L4_off_passing_downs_success_rate","opp_L4_off_passing_downs_explosiveness","opp_L4_off_rushing_plays_rate","opp_L4_off_rushing_plays_ppa","opp_L4_off_rushing_plays_success_rate","opp_L4_off_rushing_plays_explosiveness","opp_L4_off_passing_plays_rate","opp_L4_off_passing_plays_ppa","opp_L4_off_passing_plays_success_rate","opp_L4_off_passing_plays_explosiveness","opp_L4_def_ppa","opp_L4_def_success_rate","opp_L4_def_explosiveness","opp_L4_def_power_success","opp_L4_def_stuff_rate","opp_L4_def_line_yds","opp_L4_def_second_lvl_yds","opp_L4_def_open_field_yds","opp_L4_def_pts_per_opp","opp_L4def_field_pos_avg_predicted_points","opp_L4_def_standard_downs_rate","opp_L4_def_standard_downs_ppa","opp_L4_def_standard_downs_success_rate","opp_L4_def_standard_downs_explosiveness","opp_L4_def_passing_downs_rate","opp_L4_def_passing_downs_ppa","opp_L4_def_passing_downs_success_rate","opp_L4_def_passing_downs_explosiveness","opp_L4_def_rushing_plays_rate","opp_L4_def_rushing_plays_ppa","opp_L4_def_rushing_plays_success_rate","opp_L4_def_rushing_plays_explosiveness","opp_L4_def_passing_plays_rate","opp_L4_def_passing_plays_ppa","opp_L4_def_passing_plays_success_rate","opp_L4_def_passing_plays_explosiveness","opp_L4_avg_drive_efficiency","opp_L4_avg_def_drive_efficiency","opp_L4_avg_down","opp_L4_avg_def_down","opp_L4_avg_distance","opp_L4_avg_def_distance"
"6",7200,0,10,26.75,55.8,14.75,9.75,0,104.025,1.5,1.5,220.75,8.35,14.83,14.83,4.25,0.5,19.25,0.5,49.75,7.15,7.475,6.975,26.38,26.38,22.305,21.805,22.5,21.5,0.830426803482208,0.55378837125316,0.237142243130881,0.401859957534133,1.36135366892088,1.9519403874567,8.1962929087671,-1.60948399837762,0.249542485645041,8.6247711988021,2.00129169947549,1,22,32.3333333333333,0.605250619401563,0.394749380598437,0.580430846038015,0.419569153961985,12.3333333333333,36,67.9333333333333,27.1093439340329,0.635300925925926,69.1,26.2373371924747,0.291892297117813,0.470764203117144,1.1992875078556,0.85,0.130976430976431,3.26132435465769,1.19001122334456,2.18024691358025,1.81533333333333,0.686886207474443,0.328376525753283,0.540087991718426,1.16528182707054,0.313113792525557,0.214746522352291,0.323186617304264,1.34197209020943,0.554072398190045,0.247906976591147,0.452076318742985,1.05746658181372,0.414898609016256,0.344432494653108,0.439574314574315,1.58339780013383,-0.0111496836453071,0.372159683135293,1.02468500429173,0.688888888888889,0.212535612535613,2.60677492877493,0.951367521367521,0.669287749287749,1.92063492063492,-1.01733333333333,0.65603502188868,-0.145443150651157,0.394173140954495,0.744881792008109,0.34396497811132,0.263926902930758,0.336021505376344,1.61328924715364,0.504461121534292,0.0305775813861932,0.435270655270655,0.703325157759842,0.467542213883677,-0.0103763080563155,0.293703703703704,1.65016956375031,-0.80629887114045,-1.13216584036425,1.93061527436527,2.07835881753313,8.33411394348894,8.70820591233435
"7",5300,0.01,10,30.25,57.275,17,10.25,0.5,88.825,2.25,1,231,7.85,12.74,12.74,6.75,0.5,30.75,0.75,64,7.725,10.4,9.9,10,10,23.14,22.64,21.75,28.25,0.809872404476196,0.53364185110664,0.0737222510675368,0.340557275541796,1.35308167726886,1.93571397236236,8.3469218395847,-1.70174672018504,0.215876885255292,8.65942506034672,2.00753419647429,0,26,41.3333333333333,0.611224411224411,0.388775588775589,0.490099267415146,0.509900732584854,18,40.6666666666667,68.9,26.5925261188928,0.630902777777778,67.8,28.1710914454277,0.34085939205197,0.533273028795417,1.18471567029206,0.661111111111111,0.198124098124098,3.19271593485879,1.47347454133168,1.08794063079777,1.274,0.758302427257651,0.324351039385647,0.560339167984318,1.06846245502431,0.241697572742349,0.4051549629387,0.44780701754386,1.64348913855965,0.583977084275592,0.168196924868906,0.508719851576994,0.8710256520095,0.38647670737223,0.587724367349791,0.546920289855072,1.7074215540267,0.025583590299782,0.42332226150934,1.02255057014257,0.666666666666667,0.194612794612795,2.23530303030303,1.04107744107744,0.818855218855219,2.95238095238095,-1.19766666666667,0.677674202650095,-0.0695425317037095,0.464931709117756,0.671907339767789,0.322325797349905,0.166746045733962,0.327276688453159,1.83476376486812,0.468073859780706,-0.0570874515086296,0.436026936026936,0.744739457173444,0.517075609843209,0.168455888143159,0.411804514409462,1.3617899770068,1.55201196324399,-1.73522742929089,1.93346470415873,1.9615626154952,8.27918661184087,8.51454795724459
"10",6600,0.1,12,20.5,79.9,17,9,0.5,99.65,0.5,1.5,217,9.25,15.68,14.18,1.5,0,6,0,3.5,0.45,0.35,0.35,16.24,15.24,16.03,14.53,31,26.5,1.1281247277326,0.562445887445887,0.277368726938053,0.398076923076923,1.86527523265912,1.85868408269398,7.84914071764319,-1.862913862342,1.61009110318841,9.04815057822275,1.94387877707846,1,30.6666666666667,33,0.506140350877193,0.493859649122807,0.651864801864802,0.348135198135198,30.3333333333333,22.6666666666667,67.9333333333333,27.3893912850365,0.645023148148148,71.1666666666667,25.2510706815282,0.0188899163305781,0.417954608744082,1.14838264115795,0.791666666666667,0.225524475524476,2.76494172494173,1.23648018648019,0.804428904428904,1.18033333333333,0.68302701197438,-0.240706463843981,0.39456189805027,0.898239876330724,0.31697298802562,0.54454673275551,0.461111111111111,1.63973350368613,0.449596212754107,0.0831197635326463,0.408508158508159,0.972344512292125,0.522626009468115,-0.00974442590799841,0.411151960784314,1.45578162947676,0.16307598518761,0.435264324153213,1.01050035900126,0.666666666666667,0.194444444444444,3.18101851851852,1.22453703703704,1.15740740740741,3.56507936507936,-1.35633333333333,0.709401709401709,0.111335080546209,0.515555555555556,0.9346771020006,0.290598290598291,0.262368566713451,0.241975308641975,1.30793094194257,0.628300094966762,0.130143873047163,0.469907407407407,0.896064796415514,0.350110794555239,0.242607939678272,0.313218390804598,1.49972151492507,-0.945803628904329,0.219491893104534,2.04557334428024,1.95436078830307,7.94585727969349,8.12893080540014
"11",6500,0,12,27.25,73.675,19.25,12.25,0.75,102.5,2.75,1.75,239.25,9.7,16.57,15.82,3,0.25,20,0,49.25,6.75,4.675,4.425,23.9,22.9,21.245,20.245,26.5,31,0.896064796415514,0.350110794555239,0.242607939678272,0.313218390804598,1.49972151492507,2.04557334428024,7.94585727969349,0.219491893104534,-0.945803628904329,8.12893080540014,1.95436078830307,0,42,29.3333333333333,0.413518284993695,0.586481715006305,0.467910570442216,0.532089429557784,22.3333333333333,31,69.1333333333333,26.0087760229983,0.621875,70.6333333333333,24.4735457611635,0.288959131371633,0.541676912644655,1.00759828852733,0.683333333333333,0.171059804393138,3.07559563892897,1.05948372615039,0.874667308000641,1.23633333333333,0.769521382424608,0.33866354762355,0.607215535786964,0.962477566429646,0.230478617575392,0.159396871059468,0.346666666666667,1.30248761665984,0.393833038994329,0.229142615318023,0.535610068943402,0.89807703545509,0.59201260814164,0.366492194789214,0.542483660130719,1.141543129854,0.192457166208602,0.418217893217893,1.44296695147346,0.777777777777778,0.252949349501074,2.82102690413035,1.28777314639384,1.81222685360616,2.25462962962963,-1.479,0.617784992784993,-0.0452189651535116,0.420621684849327,1.02365029150299,0.382215007215007,0.56732482668725,0.401836228287841,2.17007751228009,0.415241702741703,0.0777394548854939,0.406012378426172,1.1281247277326,0.562445887445887,0.277368726938053,0.398076923076923,1.86527523265912,1.61009110318841,-1.862913862342,1.85868408269398,1.94387877707846,7.84914071764319,9.04815057822275
"12",5600,0.02,12,16,53,8,7,0,130.05,0,2.5,186,11.35,17.44,17.44,5,0,9,1,15,3,7.5,7.5,33.78,30.78,24.94,24.94,33.75,24.25,1.41218322305262,0.449924607227978,-0.0218874352074976,0.312521043771044,1.32466085654033,1.81920520999468,8.13291866028708,-0.475005120522319,0.174012823443277,8.79800539175539,2.07448926198926,1,33,34.6666666666667,0.51188900996264,0.48811099003736,0.493996455471865,0.506003544528135,21.6666666666667,20,72.0333333333333,24.7372896683366,0.61875,66.6,28.2903656295311,0.0958355572194819,0.412037037037037,1.05138090489451,0.75,0.164978874656294,2.81129926452507,0.827610488900811,0.856928889186954,1.342,0.688973063973064,0.0146146527410372,0.458651556212532,0.875197905923424,0.311026936026936,0.239845816830771,0.28859010270775,1.73905391526767,0.459175084175084,-0.000399126392841187,0.328951780564684,0.87197070102765,0.515993265993266,0.230617102081781,0.458411890397184,1.36533728902604,0.161299596675662,0.465412186379928,1.1659090964411,0.611111111111111,0.2573675826364,2.72753260653126,0.928526981282358,1.18960324571884,3.20833333333333,-1.48466666666667,0.718458781362007,0.115342537696321,0.50991452991453,1.06403565314461,0.281541218637993,0.233566949116672,0.335238095238095,1.5510464514599,0.459605734767025,0.0725132945545221,0.426871764237356,1.13251455946504,0.526129032258065,0.262986943922876,0.482008278500635,1.29918879547383,-1.60731351411546,-0.0377910715161826,1.90507709344919,1.92405792405792,8.32783712411619,7.76916326916327
"13",8100,0,12,18.75,49.675,9.25,5.25,0.25,84.95,2.25,1.25,103.75,5.775,8.9,8.9,7.75,0,28.25,1,59.75,5.825,12.725,11.975,9.48,7.48,21.625,20.875,16.75,35.25,1.24998719508853,0.537969046296474,0.324794712840179,0.392590142590143,1.98627118511386,1.97890192245031,7.71440208536983,-0.396379133160338,0.0261274490771736,8.17396040541821,1.93528464525907,0,37.6666666666667,27.6666666666667,0.428431372549019,0.571568627450981,0.530572613236761,0.469427386763239,35.6666666666667,18.3333333333333,77.6333333333333,24.9534047113278,0.667013888888889,75.4666666666667,23.8594799462675,0.0475079141474237,0.402287581699346,1.14603669426583,0.611111111111111,0.208602150537634,3.02129032258065,1.38817204301075,3.76236559139785,1.142,0.706862745098039,0.0763677703983024,0.478632478632479,1.12011149170704,0.293137254901961,-0.0634721495214962,0.206349206349206,0.923271830756296,0.368300653594771,0.271170054910058,0.462365591397849,1.39245224076253,0.621895424836601,-0.0164676808096552,0.367571533382245,1.11054034271901,0.255930833069752,0.463761174968072,1.24525434265613,0.916666666666667,0.175126345858053,2.55844869259503,0.844869259503406,0.129861568885959,3.8,-1.52066666666667,0.706736909323116,0.0809595426118044,0.490498202362609,0.948187090954911,0.293263090676884,0.623220979992068,0.387955182072829,2.06964192082402,0.485472541507024,-0.0787642033309951,0.38453087233575,0.776517817921466,0.502234993614304,0.569261134312585,0.52723311546841,1.61788101207219,-2.85197091016162,0.797168527573066,1.97583947583948,1.87492354740061,8.68591318591319,8.96525993883792
"15",6600,0.01,11,28.25,71.575,19.25,12,0.5,102.625,2.75,1.5,258.25,10.075,16.58,15.83,2.75,0.5,16.25,0.25,36,6.25,4.6,4.1,13.48,12.48,21.18,19.93,22.25,28.75,0.834320572467652,0.34542576764799,0.342281477026056,0.358210180623974,1.57266563925675,2.05038103658793,8.58592901351522,-0.577785891793796,-0.0674643946080817,8.11129014931787,1.97894510688581,0,29.6666666666667,39,0.565689337498999,0.434310662501001,0.526364581920138,0.473635418079862,14.3333333333333,27,70.4,25.5319348819866,0.623958333333333,68.3666666666667,26.892799405684,0.157980586163688,0.478216758880225,0.988748437607225,0.800925925925926,0.158485958485958,3.36411477411477,0.999023199023199,0.730769230769231,1.80566666666667,0.703642533847684,0.0949902080025554,0.53201581027668,0.789062679057389,0.296357466152316,0.229921125155967,0.327380952380952,1.52708131984236,0.525304658652542,0.203906201484995,0.53956043956044,0.782018527215168,0.447566073275371,0.132800004900714,0.371591734336832,1.60880185678626,0.0187377054064712,0.431885708089352,0.96120707825191,0.958333333333333,0.122347308488613,3.11637034161491,0.845703933747412,0.566718426501035,1.77777777777778,-0.999666666666667,0.678556712209933,0.0128035763997878,0.528131132604429,0.784202836175256,0.321443287790067,0.0151861573090144,0.232111026228673,1.849020680446,0.479136846671004,0.0716294717522523,0.445885093167702,0.723215649186596,0.503079592279332,-0.050759397749669,0.372468527640941,1.30643936203024,0.499398109115296,-2.80463153704449,1.87782389389558,1.97201818079478,7.84851789118607,8.10623663176855
"16",6700,0.03,11,11.75,67.05,8.25,4.25,0.25,96.75,0.5,1,107,5.8,8.78,8.03,2,0,0.5,0,-0.5,-1.3,-0.05,-0.05,15.42,15.42,8.73,7.98,24,36.5,1.13111932216909,0.48841706539075,0.276038244305948,0.430971914842883,1.47524745276123,1.85557567216446,7.93294089088482,-0.944400223289326,1.15556046883568,9.07054505838376,1.96220314782295,0,28,38.6666666666667,0.577070786418783,0.422929213581217,0.496542954272423,0.503457045727577,19.6666666666667,38.6666666666667,71.0333333333333,25.4591810291945,0.627546296296296,67.4,26.4985163204748,0.255655854322193,0.519552211980384,1.00817786444207,0.842592592592593,0.14993894993895,3.2897557997558,1.14432234432234,0.995726495726496,1.732,0.721925522718909,0.225341151765079,0.582740447957839,0.82912056460314,0.278074477281091,0.288935504080073,0.34469696969697,1.62254592351594,0.540805453565101,0.177386226239068,0.522466422466422,0.807810835606204,0.431667822083002,0.404479694939367,0.489939073272407,1.51434106950888,0.0977338834720593,0.473267532900217,0.972691644060561,0.958333333333333,0.118869047619048,2.12552976190476,0.996428571428571,0.773095238095238,2.06349206349206,-1.055,0.714013826420123,0.207369578971353,0.56235732308062,0.876558320868933,0.285986173579877,-0.168561459496995,0.251158645276292,1.49936834099907,0.455255705480593,0.00674896337556951,0.505595238095238,0.759729377750388,0.523588205897051,0.113887614672965,0.396825396825397,1.31718350574688,0.619255313782479,-1.56398733508785,1.77282279233136,1.93245066296639,7.91443549418233,8.07075238976256
"21",7500,0.31,11,29.25,59,17,10,0.75,112.775,1.75,2.25,290.25,11.35,20.61,19.86,3.25,0.75,6.5,0.25,10.75,2.125,1.825,1.075,31.02,31.02,22.435,20.935,47,25,0.828199652785713,0.459978544485587,0.183858870246236,0.343154761904762,1.81044752605176,1.86994424654195,8.51236117336521,-0.766725046223274,-0.052277578488124,8.53973384080251,2.00319396279433,1,27.6666666666667,37.3333333333333,0.581983165931349,0.418016834068651,0.49058748403576,0.50941251596424,29.6666666666667,26,74.3333333333333,25.2065411052905,0.645717592592593,66.8,27.7245508982036,0.134927838572578,0.371231076585882,1.59457164781682,0.722222222222222,0.177200577200577,2.95108225108225,1.05829725829726,1.31572871572872,1.26333333333333,0.674558494079311,0.125738432828539,0.406454656454656,1.40317356737619,0.325441505920689,0.169909606274388,0.308856682769726,2.10641248579671,0.522569899042798,0.122365158376203,0.394227994227994,1.07908249360054,0.453124242336078,0.144030000066559,0.302688172043011,2.71583172078807,0.160048762767149,0.371307860045594,1.45493765345431,0.722222222222222,0.29502688172043,2.34307795698925,1.02083333333333,2.29670698924731,2.80952380952381,-1.376,0.62194386625698,-0.0194034785993408,0.398776163293548,1.07968701851445,0.37805613374302,0.47664046437005,0.323771051655836,2.28619382752176,0.464904020880827,0.0460055114153856,0.32627688172043,1.40517415521605,0.515801037433508,0.302836383284739,0.386701018279966,1.74643931030577,-0.296299364704025,-0.800398610668272,2.00337162837163,1.96081088261863,8.51566270807844,8.49909134385462
"34",8800,0.04,12,19.25,67.625,12.5,8.25,0.75,107.975,0.75,1,209.75,11.075,11.64,11.64,4.75,0.5,16.75,1.25,39.25,5.6,11.675,10.425,34.86,34.86,23.315,22.065,29,17.5,1.10275329275408,0.500664904269807,0.0454365885759405,0.329694154084398,1.80395660005453,1.90304566948731,7.68322237431558,-2.03462056986072,0.225422207109479,9.04048704932309,2.10711419492918,1,36,33.6666666666667,0.475235313209996,0.524764686790003,0.455555555555556,0.544444444444444,20.3333333333333,18.3333333333333,70.1,24.0738147413372,0.584722222222222,69.9666666666667,26.4877883217008,0.136489366050917,0.432789432789433,0.925935951310808,0.851851851851852,0.108527131782946,3.37751937984496,1.06170542635659,1.31627906976744,1.05633333333333,0.685314685314685,0.156846783520133,0.518518518518518,0.799183906810888,0.314685314685315,0.0899632593154927,0.246031746031746,1.50035924148931,0.436285936285936,0.19540280485788,0.542945736434109,0.732586598283396,0.553613053613054,0.120812527653151,0.373809523809524,1.13868695997922,0.20540485081242,0.43000730994152,1.32973287654189,0.866666666666667,0.231182795698925,3.01989247311828,1.01523297491039,0.35663082437276,2.46666666666667,-1.477,0.673976608187134,0.268600991317328,0.506060606060606,1.164279724904,0.326023391812865,0.139021321732312,0.269230769230769,2.02725446014674,0.431286549707602,-0.0288353463562127,0.443548387096774,0.726647015318234,0.558296783625731,0.448593138204309,0.414529914529915,1.83033192646088,0.615213893663047,-2.20354008775668,2.01952380952381,1.94256854256854,7.73015873015873,8.86628186628187
