Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
81856-119648,QB,T.J.,T.J. Finley,Finley,9.329999923706055,2,6500,AUB@MISS,AUB,MISS,Q,Shoulder,,,,QB/Super FLEX
81856-134014,WR,Jordan,Jordan Watkins,Watkins,7.4,5,6500,AUB@MISS,MISS,AUB,,,,,,WR/Super FLEX
81856-160635,TE,Jacob,Jacob Jenkins,Jenkins,11.699999809265137,1,6400,ODU@CCU,CCU,ODU,,,,,,WR/Super FLEX
81856-94116,TE,Will,Will Mallory,Mallory,10.366666793823242,3,6400,MIA@VT,MIA,VT,,,,,,WR/Super FLEX
81856-111543,RB,Marcus,Marcus Major,Major,11.104000091552734,5,6400,KU@OU,OU,KU,P,Ankle,,,,RB/Super FLEX
81856-110628,RB,Jirehl,Jirehl Brock,Brock,10.34000015258789,5,6300,ISU@TEX,ISU,TEX,,,,,,RB/Super FLEX
81856-137516,WR,Parker,Parker Washington,Washington,7.780000305175781,5,6300,PSU@MICH,PSU,MICH,,,,,,WR/Super FLEX
81856-138037,WR,Roman,Roman Wilson,Wilson,10.9,5,6300,PSU@MICH,MICH,PSU,Q,Undisclosed,,,,WR/Super FLEX
81856-111006,WR,Ja'Varrius,Ja'Varrius Johnson,Johnson,8.425000190734863,4,6200,AUB@MISS,AUB,MISS,,,,,,WR/Super FLEX
81856-102825,WR,Frank,Frank Ladson Jr.,Ladson Jr.,10.100000381469727,2,6200,MIA@VT,MIA,VT,,,,,,WR/Super FLEX
81856-103195,WR,Jordan,Jordan Whittington,Whittington,8.066666920979818,6,6200,ISU@TEX,TEX,ISU,,,,,,WR/Super FLEX
81856-103442,WR,Michael,Michael Brown-Stephens,Brown-Stephens,7.933333079020183,3,6100,MINN@ILL,MINN,ILL,,,,,,WR/Super FLEX
81856-158983,TE,Ja'Tavion,Ja'Tavion Sanders,Sanders,11.800000508626303,6,6100,ISU@TEX,TEX,ISU,,,,,,WR/Super FLEX
81856-111974,RB,Keshawn,Keshawn King,King,11.61999969482422,5,6100,MIA@VT,VT,MIA,,,,,,RB/Super FLEX
81856-128693,RB,Tank,Tank Bigsby,Bigsby,9.65999984741211,5,6100,AUB@MISS,AUB,MISS,,,,,,RB/Super FLEX
81856-114557,WR,Cornelius,Cornelius Johnson,Johnson,8.44000015258789,5,6100,PSU@MICH,MICH,PSU,,,,,,WR/Super FLEX
81856-112041,WR,Isaiah,Isaiah Williams,Williams,7,5,6000,MINN@ILL,ILL,MINN,P,Concussion,,,,WR/Super FLEX
81856-92632,QB,Artur,Artur Sitkowski,Sitkowski,2.190000057220459,2,6000,MINN@ILL,ILL,MINN,,,,,,QB/Super FLEX
