"","player","player_id","position","team_name","player_game_count","attempts","completion_percent","completions","first_downs","franchise_id","interceptions","qb_rating","sacks","touchdowns","yards","ypa","week","year","dk_pts","fd_pts","string","team","head_coach","L3_attempts","L3_completion_percent","L3_completions","L3_first_downs","L3_interceptions","L3_qb_rating","L3_sacks","L3_touchdowns","L3_yards","L3_ypa","L3_dk_pts","L3_fd_pts"
"105","Jarrett Guarantano",40771,"QB","TENNESSEE",1,16,56.3,9,2,307,1,35.4,4,0,44,2.8,8,2017,0.76,0.76,1,"Tennessee","Butch Jones",17.3333333333333,59.5,10.3333333333333,6.66666666666667,0.333333333333333,67.6666666666667,6,0,103.333333333333,5.86666666666667,3.8,3.8
"106","Sam Ehlinger",60555,"QB","TEXAS",1,36,61.1,22,6,311,1,69.3,3,0,241,6.7,8,2017,8.64,8.64,1,"Texas","Tom Herman",42,47.6,20,16,0,77.1,2,1,276,6.6,15.04,15.04
"107","Nic Shimonek",46594,"QB","TEXAS TECH",1,41,75.6,31,15,315,1,76,2,0,207,5,8,2017,7.28,7.28,1,"Texas Tech","Kliff Kingsbury",39,61.5,24,16,1,111.4,2,4,323,8.3,30.92,27.92
"108","Logan Woodside",46517,"QB","TOLEDO",1,24,70.8,17,17,316,1,135.4,0,5,309,12.9,8,2017,34.36,31.36,1,"Toledo","Jason Candle",18,55.6,10,6,0,69,1,0,89,4.9,3.56,3.56
"109","Brandon Silvers",46483,"QB","TROY",1,35,71.4,25,15,318,1,108.6,0,2,335,9.6,8,2017,23.4,20.4,1,"Troy","Neal Brown",46,52.2,24,11,1,60.3,3,0,263,5.7,9.52,9.52
"110","Kaleb Barker",46494,"QB","TROY",1,1,0,0,0,318,0,39.6,0,0,0,0,8,2017,0,0,2,"Troy","Neal Brown",1,100,1,0,0,91.7,0,0,6,6,0.24,0.24
"111","Jonathan Banks",32337,"QB","TULANE",1,19,47.4,9,10,319,1,103.2,4,2,221,11.6,8,2017,15.84,15.84,1,"Tulane","Willie Fritz",16,31.3,5,3,1,14.6,4,0,36,2.3,0.44,0.44
"112","Luke Skipper",39975,"QB","TULSA",1,28,60.7,17,12,320,1,76.3,5,0,259,9.3,8,2017,9.36,9.36,1,"Tulsa","Philip Montgomery",18,50,9,3,1,68.8,2,1,128,7.1,8.12,8.12
"113","A.J. Erdely",18567,"QB","UAB",1,29,72.4,21,6,321,0,99.8,0,1,180,6.2,8,2017,11.2,11.2,1,"UAB","Bill Clark",30,53.3,16,7,1,67.9,0,1,174,5.8,9.96,9.96
"114","McKenzie Milton",40110,"QB","UCF",1,23,65.2,15,13,323,1,95,1,1,233,10.1,8,2017,12.32,12.32,1,"UCF","Scott Frost",27,77.8,21,15,0,141.4,1,2,324,12,23.96,20.96
