"","player","player_id","position","team_name","player_game_count","attempts","completion_percent","completions","first_downs","franchise_id","interceptions","qb_rating","sacks","touchdowns","yards","ypa","week","year","dk_pts","fd_pts","string","team","head_coach","L3_attempts","L3_completion_percent","L3_completions","L3_first_downs","L3_interceptions","L3_qb_rating","L3_sacks","L3_touchdowns","L3_yards","L3_ypa","L3_dk_pts","L3_fd_pts"
"2554","Alex Thomson",32376,"QB","MARSHALL",1,13,38.5,5,2,214,1,17.8,1,0,49,3.8,10,2018,0.96,0.96,2,"Marshall","Doc Holliday",29.3333333333333,54.9666666666667,16,8.33333333333333,0.666666666666667,80.0333333333333,3.33333333333333,1.66666666666667,152.333333333333,5.16666666666667,12.0933333333333,12.0933333333333
"2555","Kasim Hill",60444,"QB","MARYLAND",1,21,38.1,8,5,215,0,48.5,4,0,74,3.5,10,2018,2.96,2.96,1,"Maryland","Matt Canada",15.25,48.75,7.5,5.5,0.5,73.05,1.25,1.5,112.5,6.925,10,10
"2556","Tyrrell Pigrome",46511,"QB","MARYLAND",1,3,0,0,0,215,0,39.6,1,0,0,0,10,2018,0,0,2,"Maryland","Matt Canada",2.75,31.25,1,0.5,0.25,38.725,1,0,6.75,2.125,0.02,0.02
"2557","Brady White",25506,"QB","MEMPHIS",1,30,70,21,11,218,0,144.2,2,3,363,12.1,10,2018,29.52,26.52,1,"Memphis","Mike Norvell",28.5,58.675,15.5,10.25,0.5,92.675,3,1.25,226,8.6,13.54,13.54
"2558","N'Kosi Perry",60446,"QB","MIAMI FL",1,16,31.3,5,3,220,0,40.6,3,0,35,2.2,10,2018,1.4,1.4,1,"Miami","Mark Richt",18.75,56.325,10.25,7.75,1,83.325,2.25,2,143.25,7.275,12.73,12.73
"2559","Malik Rosier",46550,"QB","MIAMI FL",1,12,66.7,8,3,220,0,84,2,0,76,6.3,10,2018,3.04,3.04,2,"Miami","Mark Richt",21.75,56.35,11.5,7.5,0.75,75.1,1.25,0.75,135.25,6.375,7.66,7.66
"2560","Gus Ragland",39063,"QB","MIAMI OH",1,37,54.1,20,14,221,0,91.4,4,1,313,8.5,10,2018,19.52,16.52,1,"Miami (OH)","Chuck Martin",35.25,66,22.75,14.25,0.25,106.225,1.5,2.25,262.75,7.725,20.01,19.26
"2561","Brian Lewerke",34412,"QB","MICH STATE",1,20,55,11,5,223,1,45.2,1,0,87,4.4,10,2018,2.48,2.48,1,"Michigan State","Mark Dantonio",38.5,47.45,19,12.75,0.75,62.95,2,0.75,209.75,5.325,11.39,10.64
"2562","Rocky Lombardi",60452,"QB","MICH STATE",1,2,0,0,0,223,1,0,0,0,0,0,10,2018,-1,-1,2,"Michigan State","Mark Dantonio",24,53.25,13.5,10,0,77.5,1.5,1,163.5,5.7,12.04,10.54
"2563","Shea Patterson",40688,"QB","MICHIGAN",1,17,64.7,11,6,222,0,130.5,1,2,144,8.5,10,2018,13.76,13.76,1,"Michigan","Jim Harbaugh",24,64.725,15.5,8.25,0.25,102.775,1.5,1.25,203.5,8.325,12.89,12.89
"2564","Brent Stockstill",29288,"QB","MIDDLE TN",1,42,57.1,24,13,224,0,88.2,2,2,228,5.4,10,2018,17.12,17.12,1,"Middle Tennessee","Rick Stockstill",24,74.5,17.25,9.5,0.5,100.25,2,1.5,184,6.85,13.61,12.86
"2565","Tanner Morgan",55239,"QB","MINNESOTA",1,27,51.9,14,7,225,0,109.8,3,2,258,9.6,10,2018,18.32,18.32,1,"Minnesota","P.J. Fleck",11.5,64.9,7.5,5,0.75,81.775,0.25,0.75,136.75,9.6,7.72,7.72
"2566","Seth Green",40668,"WR","MINNESOTA",1,1,100,1,0,225,0,79.2,0,0,2,2,10,2018,0.08,0.08,2,"Minnesota","P.J. Fleck",1.5,75,1,1,0.5,86.45,0,0.5,11.5,7.5,1.96,1.96
"2567","Nick Fitzgerald",46497,"QB","MISS STATE",1,28,60.7,17,13,227,0,128.4,3,4,243,8.7,10,2018,25.72,25.72,1,"Mississippi State","Joe Moorhead",22.25,48.025,10.5,5,1.25,56.375,2.25,0.5,116.75,5.35,5.42,5.42
"2568","Keytaon Thompson",60457,"QB","MISS STATE",1,1,0,0,0,227,0,39.6,0,0,0,0,10,2018,0,0,2,"Mississippi State","Joe Moorhead",22,51.2,10.25,7.5,0.75,81.95,1.5,1.75,196.75,9.275,14.87,14.12
"2569","Drew Lock",39517,"QB","MISSOURI",1,32,75,24,15,229,0,128.4,1,3,250,7.8,10,2018,22,22,1,"Missouri","Barry Odom",29.5,58.025,17,8.75,1,79.875,1.75,1.25,215.25,7.35,13.36,12.61
"2570","Nathan Elliott",34526,"QB","N CAROLINA",1,26,53.8,14,7,245,3,27.9,0,0,128,4.9,10,2018,2.12,2.12,1,"North Carolina","Larry Fedora",32.25,64.975,20.5,10.25,0,98.025,1,1.25,210,6.85,14.15,13.4
"2571","Marcus Childers",40476,"QB","N ILLINOIS",1,28,75,21,12,254,0,104.5,5,1,188,6.7,10,2018,11.52,11.52,1,"Northern Illinois","Rod Carey",29.5,54.575,16.25,8.75,0.75,62.3,2,0.5,131,4.575,6.49,6.49
"2572","Zach Abey",35594,"WR","NAVY",1,4,75,3,2,237,0,113.5,6,0,47,11.8,10,2018,1.88,1.88,1,"Navy","Ken Niumatalolo",1.75,37.5,0.75,0.5,0,72.15,0.5,0,15.5,7.075,0.62,0.62
"2573","Ryan Finley",46426,"QB","NC STATE",1,27,77.8,21,12,248,0,140.7,0,3,240,8.9,10,2018,21.6,21.6,1,"NC State","Dave Doeren",36,65.8,23.5,12.25,1.25,94.475,0.5,2,298.5,8.125,20.19,18.69
"2574","Adrian Martinez",83522,"QB","NEBRASKA",1,33,66.7,22,15,238,0,101.3,1,1,266,8.1,10,2018,14.64,14.64,1,"Nebraska","Scott Frost",32.25,70,22.25,11.75,0.75,107.45,1.5,2,281,8.8,19.24,18.49
"2575","Josh Adkins",60483,"QB","NEW MEX ST",1,44,72.7,32,15,242,0,130.5,2,4,396,9,10,2018,34.84,31.84,1,"New Mexico State","Doug Martin",47.75,59.4,28,15.5,1,79.025,2.75,1.25,311,6.675,17.19,16.44
"2576","Coltin Gerhart",26907,"QB","NEW MEXICO",1,20,45,9,6,241,1,64.6,6,2,41,2.1,10,2018,8.64,8.64,1,"New Mexico","Bob Davie",5,72.2333333333333,3.33333333333333,2.33333333333333,0.333333333333333,87.3,0.333333333333333,0.333333333333333,42.3333333333333,7.9,2.69333333333333,2.69333333333333
"2577","Ian Book",40216,"QB","NOTRE DAME",1,34,64.7,22,18,258,0,117.6,0,2,343,10.1,10,2018,24.72,21.72,1,"Notre Dame","Brian Kelly",33.5,76.3,25.5,15.25,1,111.7,3.25,2.5,284.5,8.5,21.13,20.38
"2578","Clayton Thorson",46501,"QB","NWESTERN",1,29,55.2,16,10,256,0,79.8,5,1,141,4.9,10,2018,9.64,9.64,1,"Northwestern","Pat Fitzgerald",44,58.95,26.5,13.5,1.75,71.725,1.75,1.75,287.5,6.25,18.25,16.75
"2579","Nathan Rourke",60504,"QB","OHIO",1,14,85.7,12,10,259,0,150.6,0,3,149,10.6,10,2018,17.96,17.96,1,"Ohio","Frank Solich",18.5,69.95,13,10,0.75,113.7,2,2,219.75,12.25,16.04,16.04
"2580","Quinton Maxwell",35203,"QB","OHIO",1,5,20,1,1,259,0,39.6,0,0,15,3,10,2018,0.6,0.6,2,"Ohio","Frank Solich",8,58.65,5,2.75,0,83.875,0.25,0.5,66.75,7.15,4.67,4.67
"2581","Dwayne Haskins",41897,"QB","OHIO STATE",1,32,56.3,18,10,260,1,89.3,1,2,250,7.8,10,2018,17,17,1,"Ohio State","Ryan Day",58.5,71.05,41,22.5,0.5,107.3,2.5,2.5,441,7.9,30.14,27.14
"2582","Dwayne Haskins",41897,"QB","OHIO STATE",1,32,56.3,18,10,260,1,89.3,1,2,250,7.8,10,2018,17,17,1,"Ohio State","Urban Meyer",55.5,66.375,37.25,19.75,0.75,98.05,1.75,2.25,400.5,7.5,26.52,24.27
"2583","Taylor Cornelius",46535,"QB","OKLA STATE",1,41,58.5,24,17,262,0,88.5,3,1,290,7.1,10,2018,15.6,15.6,1,"Oklahoma State","Mike Gundy",30.5,62.2,18.5,12.25,1,104.2,3,2.75,276.5,9.775,22.56,21.06
"2584","Kyler Murray",38334,"QB","OKLAHOMA",1,35,57.1,20,17,261,2,97.3,1,3,360,10.3,10,2018,27.4,24.4,1,"Oklahoma","Lincoln Riley",23.75,78.125,18.5,14.25,0.25,148.975,1.25,4.25,326.5,14.025,32.06,29.81
"2585","Jordan Ta'amu",60453,"QB","OLE MISS",1,46,67.4,31,18,226,0,92.6,3,0,379,8.2,10,2018,18.16,15.16,1,"Ole Miss","Matt Luke",36,67.3,23.25,14.5,0.5,103.4,2.25,1.5,315.75,9.575,20.38,18.13
"2586","Matt Corral",83517,"QB","OLE MISS",1,2,0,0,0,226,0,39.6,0,0,0,0,10,2018,0,0,2,"Ole Miss","Matt Luke",6,75,5.5,4,0,127.05,0.5,1,87,14.9,7.48,7.48
"2587","Justin Herbert",28237,"QB","OREGON",1,32,56.3,18,10,264,0,104.2,0,2,264,8.3,10,2018,18.56,18.56,1,"Oregon","Mario Cristobal",36.5,58.95,20.75,13.25,0.25,94.85,1.25,1.75,220.75,6.625,15.58,15.58
"2588","Jake Luton",17287,"QB","OREGON ST",1,45,68.9,31,17,265,0,94.8,6,1,301,6.7,10,2018,19.04,16.04,1,"Oregon State","Jonathan Smith",21,70.475,14,8.25,0.25,99.025,1,1,170.5,12,11.32,10.57
"2589","Timmy Hernandez",48225,"WR","OREGON ST",1,1,0,0,0,265,0,39.6,0,0,0,0,10,2018,0,0,2,"Oregon State","Jonathan Smith",1,0,0,0,0,39.6,0,0,0,0,0,0
"2590","Trace McSorley",32819,"QB","PENN STATE",1,13,38.5,5,4,266,1,28.7,4,0,83,6.4,10,2018,2.32,2.32,1,"Penn State","James Franklin",31.25,51.55,16.25,11.75,0.5,78.05,2.75,1,216.5,6.95,12.16,12.16
"2591","Tommy Stevens",28301,"QB","PENN STATE",1,4,75,3,1,266,1,61.5,1,0,35,8.8,10,2018,0.4,0.4,2,"Penn State","James Franklin",3.75,64.9,2,1.75,0,111.625,0,0.75,20.5,9.6,3.82,3.82
"2592","Kenny Pickett",60515,"QB","PITTSBURGH",1,14,50,7,2,268,0,61.9,4,0,61,4.4,10,2018,2.44,2.44,1,"Pittsburgh","Pat Narduzzi",23.25,56.625,13.5,6.25,0.5,82.725,2,1,143.5,6.375,9.24,9.24
"2593","David Blough",46508,"QB","PURDUE",1,32,71.9,23,12,273,2,118.9,1,4,333,10.4,10,2018,30.32,27.32,1,"Purdue","Jeff Brohm",42.25,61.325,25.75,13.5,1,92.475,1.75,1.75,336.75,8.15,21.72,19.47
"2594","Wiley Green",75891,"QB","RICE",1,33,54.5,18,11,275,2,82,1,2,313,9.5,10,2018,21.52,18.52,1,"Rice","Mike Bloomgren",21.5,36.75,11,6.5,1,40.7,1,0.5,106,3.4,5.24,5.24
"2595","Artur Sitkowski",83547,"QB","RUTGERS",1,39,51.3,20,10,278,0,81.3,0,1,261,6.7,10,2018,14.44,14.44,1,"Rutgers","Chris Ash",32,43.825,16,6.75,2,43.675,1.5,0.5,127.5,3.325,5.1,5.1
"2596","Evan Orth",27348,"QB","S ALABAMA",1,15,46.7,7,4,288,0,80.7,2,1,63,4.2,10,2018,6.52,6.52,1,"South Alabama","Steve Campbell",26.75,66.5,17.25,9.5,1.25,86.25,2,0.75,212.5,8.275,10.25,10.25
"2597","Cephus Johnson",60530,"QB","S ALABAMA",1,7,71.4,5,4,288,0,119,1,1,30,4.3,10,2018,5.2,5.2,2,"South Alabama","Steve Campbell",1.75,12.5,0.25,0.25,0.25,53.65,0.25,0.25,14,7,1.31,1.31
"2598","Jake Bentley",40788,"QB","S CAROLINA",1,32,68.8,22,13,289,0,127.5,1,2,363,11.3,10,2018,25.52,22.52,1,"South Carolina","Will Muschamp",26.75,57.925,15,10.25,1.5,77.3,1.25,1.5,196,7.625,12.34,12.34
"2599","Christian Chapman",27211,"QB","S DIEGO ST",1,19,68.4,13,7,284,0,116.6,1,1,182,9.6,10,2018,11.28,11.28,1,"San Diego State","Rocky Long",17.25,62.675,11,7.75,0.25,98.1,2.5,0.75,153.25,8.925,8.88,8.88
"2600","Ryan Agnew",33451,"QB","S DIEGO ST",1,6,66.7,4,4,284,0,97.9,1,0,58,9.7,10,2018,2.32,2.32,2,"San Diego State","Rocky Long",23,50.425,11,8.5,0.25,81.05,2.25,1,172.25,7.575,10.64,10.64
"2601","Josh Love",34044,"QB","S JOSE ST",1,32,59.4,19,9,285,0,84.5,1,1,173,5.4,10,2018,10.92,10.92,1,"San Jose State","Brent Brennan",40.5,60.525,24.25,14.75,1,93.5,3.5,2.5,309.5,7.55,22.88,21.38
"2602","Ben Hicks",46595,"QB","SMU",1,43,65.1,28,17,287,0,118.2,1,4,318,7.4,10,2018,31.72,28.72,1,"SMU","Sonny Dykes",29.5,58.9,16.5,8.75,0.5,94.55,1.5,1.75,208.25,6.675,15.58,14.83
"2603","Tyler Page",61631,"WR","SMU",1,1,0,0,0,287,0,39.6,0,0,0,0,10,2018,0,0,2,"SMU","Sonny Dykes",1,100,1,1,0,118.8,0,0,14,14,0.56,0.56
"2604","Tate Whatley",83556,"QB","SO MISS",1,25,64,16,5,296,0,91.1,3,1,134,5.4,10,2018,9.36,9.36,1,"Southern Mississippi","Jay Hopson",4.5,87.5,3.5,2.5,0,118.5,0,1,46,7.95,5.84,5.84
"2605","K.J. Costello",40268,"QB","STANFORD",1,44,65.9,29,15,300,3,76.6,1,2,347,7.9,10,2018,21.88,18.88,1,"Stanford","David Shaw",35.25,68.125,24.25,14.25,0.75,97.675,2.75,1.75,277.25,7.75,18.84,17.34
"2606","Eric Dungey",46458,"QB","SYRACUSE",1,35,65.7,23,11,304,0,75.5,3,0,157,4.5,10,2018,6.28,6.28,1,"Syracuse","Dino Babers",37.5,58.35,22,12,0.75,81.525,2.75,1,270.25,7.2,14.81,14.06
"2607","Mike Collins",60549,"QB","TCU",1,33,51.5,17,8,305,0,82.6,0,1,218,6.6,10,2018,12.72,12.72,1,"TCU","Gary Patterson",16.25,50.225,9,7,0.5,93.25,0.5,1,149.5,9.15,10.23,9.48
"2608","Anthony Russo",40108,"QB","TEMPLE",1,52,59.6,31,24,306,2,97,3,4,444,8.5,10,2018,34.76,31.76,1,"Temple","Geoff Collins",35.5,62.1,21.5,11,2,81.85,0.5,2,268.5,7.8,18.24,16.74
"2609","Anthony Russo",40108,"QB","TEMPLE",1,52,59.6,31,24,306,2,97,3,4,444,8.5,10,2018,34.76,31.76,1,"Temple","Ed Foley",40.75,58.45,23.5,14.25,2.25,80.725,1,2.75,304.5,7.5,22.43,20.93
"2610","Jarrett Guarantano",40771,"QB","TENNESSEE",1,21,76.2,16,7,307,0,115.6,2,1,172,8.2,10,2018,10.88,10.88,1,"Tennessee","Jeremy Pruitt",25.5,61.675,16.5,8.5,0,100.775,2.5,1.5,185.25,7.175,14.16,13.41
"2611","Sam Ehlinger",60555,"QB","TEXAS",1,36,69.4,25,15,311,0,128.7,1,3,354,9.8,10,2018,29.16,26.16,1,"Texas","Tom Herman",29.5,70.4,19.75,12,0,100.275,1.25,1.25,209.75,7.125,14.14,13.39
"2612","Kellen Mond",60556,"QB","TEXAS A&M",1,34,50,17,11,312,1,68.8,3,1,224,6.6,10,2018,11.96,11.96,1,"Texas A&M","Jimbo Fisher",35.75,59.675,21,12.25,1,78.325,2,1,254,7.275,13.91,13.16
"2613","Willie Jones III",60560,"QB","TEXAS ST",1,28,78.6,22,12,314,0,137.6,0,2,317,11.3,10,2018,23.68,20.68,1,"Texas State","Everett Withers",12.5,32.05,5,2.5,0,70.5,1.5,1,58,3.2,6.32,6.32
"2614","Willie Jones III",60560,"QB","TEXAS ST",1,28,78.6,22,12,314,0,137.6,0,2,317,11.3,10,2018,23.68,20.68,1,"Texas State","Chris Woods",18,47.525,10.25,5.5,0,95,1.25,1.5,136.5,5.9,12.21,11.46
"2615","Alan Bowman",77679,"QB","TEXAS TECH",1,26,80.8,21,11,315,0,128.7,0,2,227,8.7,10,2018,17.08,17.08,1,"Texas Tech","Kliff Kingsbury",43,62.825,28,17,1.75,81.7,0.75,1.75,312.75,7.225,20.01,17.76
"2616","Jett Duffey",41634,"QB","TEXAS TECH",1,17,52.9,9,7,315,0,119.5,1,2,139,8.2,10,2018,13.56,13.56,2,"Texas Tech","Kliff Kingsbury",16,70.875,9.75,6.75,1,77.075,0.75,0.5,122,8.65,5.88,5.88
"2617","Seth Collins",47812,"WR","TEXAS TECH",1,1,0,0,0,315,0,39.6,0,0,0,0,10,2018,0,0,3,"Texas Tech","Kliff Kingsbury",1,100,1,1,0,108.3,0,0,10,10,0.4,0.4
"2618","Eli Peters",40041,"QB","TOLEDO",1,34,73.5,25,16,316,4,83.5,0,2,327,9.6,10,2018,20.08,17.08,1,"Toledo","Jason Candle",21.75,45.675,10,6.75,0.5,89.225,1,2.25,149.5,7.225,14.48,14.48
"2619","Desmond Phillips",40244,"WR","TOLEDO",1,1,0,0,0,316,1,0,0,0,0,0,10,2018,-1,-1,2,"Toledo","Jason Candle",1,100,1,1,0,158.3,0,1,19,19,4.76,4.76
"2620","Sawyer Smith",46505,"QB","TROY",1,22,81.8,18,12,318,0,133.9,1,1,317,14.4,10,2018,19.68,16.68,1,"Troy","Neal Brown",15.25,51.1,8.25,3.75,1,60.25,0.75,1.25,95.25,5.65,7.81,7.81
"2621","Justin McMillan",39359,"QB","TULANE",1,10,40,4,1,319,0,60.8,1,0,61,6.1,10,2018,2.44,2.44,1,"Tulane","Willie Fritz",12,73.725,6,3.25,0,101.375,1.25,0.75,71,17.025,5.84,5.84
"2622","Seth Boomer",77643,"QB","TULSA",1,14,64.3,9,8,320,0,145.2,2,4,168,12,10,2018,22.72,22.72,1,"Tulsa","Philip Montgomery",25.75,37.175,9.75,7.5,0.5,59.575,3.5,0.75,152,5.75,8.58,8.58
"2623","Tyler Johnston III",60570,"QB","UAB",1,17,58.8,10,10,321,1,118.3,0,3,249,14.6,10,2018,20.96,20.96,1,"UAB","Bill Clark",2.25,65,1.25,0.5,0.25,65.65,0,0,12,9.4,0.23,0.23
"2624","McKenzie Milton",40110,"QB","UCF",1,33,51.5,17,13,323,1,102.1,0,3,312,9.5,10,2018,26.48,23.48,1,"UCF","Josh Heupel",32.5,57.775,18.75,12.75,0.25,111.375,1.5,2.5,303.5,9.375,23.39,21.89
"2625","Wilton Speight",46399,"QB","UCLA",1,25,52,13,8,324,0,83.3,0,1,147,5.9,10,2018,9.88,9.88,1,"UCLA","Chip Kelly",26.3333333333333,59.9,15,7.33333333333333,1,63.0666666666667,1.33333333333333,0.666666666666667,137.666666666667,5.16666666666667,7.17333333333333,7.17333333333333
"2626","Dorian Thompson-Robinson",83574,"QB","UCLA",1,23,39.1,9,6,324,1,55.5,1,1,135,5.9,10,2018,8.4,8.4,2,"UCLA","Chip Kelly",24,67.225,15.5,8.25,0.25,104.45,2,1,163.5,8.35,10.29,10.29
"2627","David Pindell",55126,"QB","UCONN",1,28,50,14,13,146,1,87.2,3,2,232,8.3,10,2018,16.28,16.28,1,"Connecticut","Randy Edsall",21.75,53.225,11.25,6.25,1,52.55,0.75,0.5,115.75,4.825,5.63,5.63
"2628","Ross Comis",46584,"QB","UMASS",1,44,65.9,29,20,216,1,129,7,4,540,12.3,10,2018,39.6,36.6,1,"UMass","Mark Whipple",13,55.275,7,5.25,0.25,107.9,2,1.25,122,9.675,9.63,9.63
"2629","Max Gilliam",38503,"QB","UNLV",1,30,46.7,14,5,325,1,40.7,2,0,98,3.3,10,2018,2.92,2.92,1,"UNLV","Tony Sanchez",39.25,54.975,21.75,12.75,1.5,84.775,4,3,258.25,6.375,21.58,20.83
"2630","JT Daniels",83578,"QB","USC",1,26,53.8,14,11,326,0,88.1,2,1,177,6.8,10,2018,11.08,11.08,1,"USC","Clay Helton",25.5,54.575,14.25,7.5,1,85.725,1.75,1.75,202.25,7.7,14.09,14.09
"2631","Blake Barnett",46627,"QB","USF",1,49,59.2,29,17,327,1,72.2,5,0,344,7,10,2018,15.76,12.76,1,"South Florida","Charlie Strong",32.75,62.85,20,11.75,1.25,78.125,2.25,0.75,243.5,7.7,11.49,11.49
"2632","Tyler Huntley",46448,"QB","UTAH",1,15,46.7,7,4,328,2,48.1,3,1,88,5.9,10,2018,5.52,5.52,1,"Utah","Kyle Whittingham",22.75,72.475,16.5,10,0.5,113.5,2.5,1.75,219.75,9.525,16.04,15.29
"2633","Jason Shelley",60581,"QB","UTAH",1,11,36.4,4,3,328,1,16.9,1,0,59,5.4,10,2018,1.36,1.36,2,"Utah","Kyle Whittingham",1.5,50,1,0.5,0,79.2,0,0,20,10,0.8,0.8
"2634","Jordan Love",40306,"QB","UTAH ST",1,13,76.9,10,7,329,0,132.5,0,1,127,9.8,10,2018,9.08,9.08,1,"Utah State","Frank Maile",31,55.25,17.5,9,0.5,92.6,1,2,250.5,7.55,19.02,17.52
"2635","Jordan Love",40306,"QB","UTAH ST",1,13,76.9,10,7,329,0,132.5,0,1,127,9.8,10,2018,9.08,9.08,1,"Utah State","Matt Wells",27.25,63.75,17,10.5,0.25,116.875,0.75,2.25,269,9.525,21.01,19.51
"2636","Henry Colombi",60583,"QB","UTAH ST",1,11,81.8,9,4,329,0,84.8,0,0,48,4.4,10,2018,1.92,1.92,2,"Utah State","Frank Maile",8,75,6,2,0,92.45,0,0,61.5,7.7,2.46,2.46
"2637","Henry Colombi",60583,"QB","UTAH ST",1,11,81.8,9,4,329,0,84.8,0,0,48,4.4,10,2018,1.92,1.92,2,"Utah State","Matt Wells",8.75,79.825,7,2.75,0,92.95,0,0,59.75,7.075,2.39,2.39
"2638","Kai Locksley",34333,"QB","UTEP",1,21,61.9,13,9,330,1,72.1,0,0,193,9.2,10,2018,6.72,6.72,1,"UTEP","Dana Dimel",16.5,56.45,9,4.5,0.5,74.175,2.75,0.5,100.5,6.3,5.52,5.52
"2639","Brandon Jones",83583,"QB","UTEP",1,3,33.3,1,1,330,0,53.5,0,0,17,5.7,10,2018,0.68,0.68,2,"UTEP","Dana Dimel",12,51.15,6,4,0,69.65,3,0,73.5,5.95,2.94,2.94
"2640","Jordan Weeks",83585,"QB","UTSA",1,24,41.7,10,3,331,0,52.4,0,0,90,3.8,10,2018,3.6,3.6,1,"UT San Antonio","Frank Wilson",15,71.45,7,3.5,0,77.3,2.5,0.5,63.5,4.6,4.54,4.54
"2641","Cordale Grundy",83586,"QB","UTSA",1,6,33.3,2,1,331,0,42.4,0,0,18,3,10,2018,0.72,0.72,2,"UT San Antonio","Frank Wilson",23,33.775,10.75,7,0.25,55.575,1.25,0.5,102.75,3.025,5.86,5.86
"2642","D.J. Gillins",30688,"QB","UTSA",1,5,60,3,2,331,1,35.8,0,0,28,5.6,10,2018,0.12,0.12,3,"UT San Antonio","Frank Wilson",8.33333333333333,41.8333333333333,3.33333333333333,2.33333333333333,0,61.7,1,0.333333333333333,30,3.36666666666667,2.53333333333333,2.53333333333333
"2643","Ryan Willis",60594,"QB","VA TECH",1,42,59.5,25,15,337,1,93.5,0,3,281,6.7,10,2018,22.24,22.24,1,"Virginia Tech","Justin Fuente",34.25,61.6,20.75,14.75,0.75,105.075,2.25,2.25,265,8.325,20.35,18.85
"2644","Bryce Perkins",35299,"QB","VIRGINIA",1,24,70.8,17,9,335,0,110.6,5,1,205,8.5,10,2018,12.2,12.2,1,"Virginia","Bronco Mendenhall",29,60.375,17.5,11,1.5,75.85,4,1.5,189,6.375,12.06,12.06
"2645","Drew Eckels",27245,"QB","W KENTUCKY",1,32,37.5,12,8,346,0,58.7,2,0,195,6.1,10,2018,7.8,7.8,1,"Western Kentucky","Bobby Petrino",33.5,56.9,19,9,0,92.7,3.5,1.5,257,7.45,17.78,16.28
"2646","Drew Eckels",27245,"QB","W KENTUCKY",1,32,37.5,12,8,346,0,58.7,2,0,195,6.1,10,2018,7.8,7.8,1,"Western Kentucky","Mike Sanford",35,51.85,18.25,9.25,0,88.15,3.75,1.5,264,7.375,18.06,16.56
"2647","Steven Duncan",40211,"QB","W KENTUCKY",1,14,21.4,3,2,346,1,39.3,1,1,61,4.4,10,2018,5.44,5.44,2,"Western Kentucky","Bobby Petrino",9,60,5.5,3.5,0.5,71.65,0,0.5,49.5,5.45,3.48,3.48
"2648","Steven Duncan",40211,"QB","W KENTUCKY",1,14,21.4,3,2,346,1,39.3,1,1,61,4.4,10,2018,5.44,5.44,2,"Western Kentucky","Mike Sanford",10,47.85,4.5,3,0.75,51.775,0.25,0.5,49.75,5.05,3.24,3.24
"2649","Davis Shanley",60604,"QB","W KENTUCKY",1,1,100,1,0,346,0,118.8,0,0,14,14,10,2018,0.56,0.56,3,"Western Kentucky","Bobby Petrino",28,66.7,19,11,0,94.35,2,1,180.5,6.25,11.22,11.22
"2650","Davis Shanley",60604,"QB","W KENTUCKY",1,1,100,1,0,346,0,118.8,0,0,14,14,10,2018,0.56,0.56,3,"Western Kentucky","Mike Sanford",20.5,72.35,13.25,7.25,0,93.4,1.5,0.5,119.75,7.675,6.79,6.79
"2651","Kaleb Eleby",77686,"QB","W MICHIGAN",1,20,50,10,4,347,2,52.5,2,1,152,7.6,10,2018,8.08,8.08,1,"Western Michigan","Tim Lester",28,82.1,23,11,0,134.1,5,2,293,10.5,19.72,19.72
"2652","Will Grier",38265,"QB","W VIRGINIA",1,42,66.7,28,17,343,0,115.8,0,3,346,8.2,10,2018,28.84,25.84,1,"West Virginia","Dana Holgorsen",31,67.625,20.75,12,1,110.75,3.5,2.75,289,9.225,23.81,21.56
"2653","Sam Hartman",77618,"QB","WAKE",1,37,56.8,21,14,339,1,87.1,6,2,275,7.4,10,2018,18,18,1,"Wake Forest","Dave Clawson",26.75,59.425,15,10,0.5,94.025,2.25,2,191.25,8.025,15.15,15.15
"2654","Gardner Minshew",41401,"QB","WASH STATE",1,51,68.6,35,21,341,1,85.2,1,1,337,6.6,10,2018,19.48,16.48,1,"Washington State","Mike Leach",49.25,71.725,35,20.5,0.75,116.425,0.75,3.75,408.5,8.425,33.59,30.59
"2655","Jake Browning",46401,"QB","WASHINGTON",1,27,59.3,16,11,340,0,93.8,3,1,194,7.2,10,2018,11.76,11.76,1,"Washington","Chris Petersen",24.5,59.8,14.75,11.25,1,82.475,1.5,1,201.25,8.15,11.05,11.05
"2656","Alex Hornibrook",34842,"QB","WISCONSIN",1,16,43.8,7,5,349,2,22.9,1,0,92,5.8,10,2018,1.68,1.68,1,"Wisconsin","Paul Chryst",22.25,55.55,12.5,8.75,1,86.9,1,2,164,7.3,13.56,13.56
"2657","Jack Coan",60613,"QB","WISCONSIN",1,7,71.4,5,4,349,0,139.3,1,1,64,9.1,10,2018,6.56,6.56,2,"Wisconsin","Paul Chryst",12.3333333333333,86.8666666666667,8,2.66666666666667,0,92.8333333333333,0.333333333333333,0.333333333333333,62.6666666666667,6.6,3.84,3.84
"2658","Sean Chambers",75888,"QB","WYOMING",1,8,50,4,5,351,0,109.9,0,1,51,6.4,10,2018,6.04,6.04,1,"Wyoming","Craig Bohl",7.5,65,5,4,0,126,0,1,89,12,7.56,7.56
"2659","Donald Hammond III",82065,"QB","AIR FORCE",1,6,83.3,5,4,101,0,158.3,0,2,145,24.2,11,2018,13.8,13.8,1,"Air Force","Troy Calhoun",10.25,61.675,5,4.25,0,100.425,0,0.5,86,9.475,5.44,5.44
"2660","Alex Ramart",60321,"QB","AKRON",1,15,26.7,4,1,102,3,0,2,0,29,1.9,11,2018,-1.84,-1.84,1,"Akron","Terry Bowden",8.5,32.5,2.5,1.5,1.5,18.05,0.5,0.5,16,1.65,1.14,1.14
