"","player","Salary","TeamAbbrev","dk_opp_abbr","implied_total","opp_implied_total","est_pa","est_ra","est_dkpts","value"
"1","Bo Nix",9400,"ORE","CAL",36.75,19.75,29.753490447998,7.10851286747726,30.9296016693115,3.29038315630974
"2","Sam Hartman",8900,"WAKE","UL",34,31,33.9795875549316,4.13336098324646,28.8429679870605,3.24078291989444
"3","John Rhys Plumlee",8700,"UCF","CINCY",28.75,27.25,28.2046451568604,9.29317750896445,24.4052219390869,2.80519792403298
"4","Stetson Bennett",8400,"UGA","UF",39.75,16.75,31.5352020263672,5.02018422475675,19.6588649749756,2.34034106844947
"5","Spencer Sanders",8300,"OKST","KSU",27.25,28.75,40.2544212341309,7.38965818682465,33.2490921020508,4.00591471109046
"6","Adrian Martinez",8100,"KSU","OKST",28.75,27.25,29.4192867279053,11.2240114622892,32.7088394165039,4.03812832302517
"7","Malik Cunningham",8000,"UL","WAKE",31,34,31.5988998413086,10.9975177723347,33.8742637634277,4.23428297042847
"8","Ben Bryant",7200,"CINCY","UCF",27.25,28.75,32.0922813415527,3.6001993446969,14.3095102310181,1.98743197653029
"9","Casey Thompson",6400,"NEB","IL",21.25,28.75,30.5001678466797,3.64088237752668,16.5383701324463,2.58412033319473
"10","Anthony Richardson",6000,"UF","UGA",16.75,39.75,27.001277923584,5.80525590910179,19.4527988433838,3.24213314056396
"11","Tommy DeVito",6000,"IL","NEB",28.75,21.25,28.9870319366455,5.28104404772364,14.7428369522095,2.45713949203491
"12","Jack Plummer",5300,"CAL","ORE",19.75,36.75,34.3391151428223,3.30991686648122,16.1728038787842,3.05147242995928
