"","position","player","Salary","Opponent","team_name","string","implied_total","opp_implied_total","est_ra","est_re","est_fdpts","value"
"1","RB","Bijan Robinson",10500,"ISU","TEXAS",1,33,16,21.9997883949779,2.38207219583877,21.885461807251,2.08432969592866
"2","RB","Raheim Sanders",9600,"BYU","ARKANSAS",1,34,32.5,24.642677597979,3.01541774831157,19.1562747955322,1.99544529120127
"3","RB","Jahmyr Gibbs",9500,"TENN","ALABAMA",1,36.25,28.75,15.5689267780754,4.38736854200843,19.084400177002,2.0088842291581
"4","RB","Travis Dye",9200,"UTAH","USC",1,30.75,34.25,19.1817107380919,2.83122079885378,19.930305480957,2.16633755227794
"5","RB","Blake Corum",9000,"PSU","MICHIGAN",1,29.5,22.5,22.6497217631694,2.03101402482952,23.7706451416016,2.64118279351128
"6","RB","Kendre Miller",8800,"OKST","TCU",1,36,32.5,18.7920719110556,1.97256183919667,18.3907775878906,2.08986108953303
"7","RB","Dominic Richardson",8700,"TCU","OKLA STATE",1,32.5,36,17.433963891878,3.49421993375914,15.4358329772949,1.77423367555114
"8","RB","Sean Tucker",8600,"NCST","SYRACUSE",1,23.25,19.75,23.9065120266886,4.05993171909884,22.4586601257324,2.6114721076433
"9","RB","Will Shipley",8500,"FSU","CLEMSON",1,27.25,23.75,13.9147115668898,2.33775489317924,13.9310731887817,1.6389497869155
"10","RB","Zach Evans",8400,"AUB","OLE MISS",1,34.25,19.75,18.9937590181718,2.30823175090938,15.9891138076782,1.9034659294855
"11","RB","Casey Filkins",8200,"ND","STANFORD",1,18.25,35.25,21.2616089736456,3.9601666733001,18.4414806365967,2.2489610532435
"12","RB","Chris Rodriguez Jr.",8200,"MSST","KENTUCKY",1,19.75,26.25,21.422004972287,2.45236314784227,16.4384307861328,2.00468668123571
"13","RB","Eric Gray",8000,"KU","OKLAHOMA",1,35.75,26.75,14.3683082349781,2.84326170627337,15.8318777084351,1.97898471355438
"14","RB","Jabari Small",7800,"ALA","TENNESSEE",1,28.75,36.25,17.4252740318233,2.61054346777402,15.4358329772949,1.97895294580704
"15","RB","Tavion Thomas",7500,"USC","UTAH",1,34.25,30.75,13.2193989312792,1.81050051218587,13.4375047683716,1.79166730244954
"16","RB","Jo'quavious Marks",7400,"UK","MISS STATE",1,26.25,19.75,11.0345375498578,4.91865683927739,14.0217733383179,1.89483423490782
"17","RB","Christopher Brooks",7200,"ARK","BYU",1,32.5,34,16.3571500069646,3.18577708761945,15.8337574005127,2.19913297229343
"18","RB","Nicholas Singleton",7100,"MICH","PENN STATE",1,22.5,29.5,12.1850048668921,1.99537093663063,14.6934671401978,2.06950241411236
"19","RB","Montrell Johnson Jr.",7000,"LSU","FLORIDA",1,27.25,24.25,10.4129846631545,1.72073189874686,14.2329015731812,2.03327165331159
"20","RB","Jaylen Coleman",7000,"UNC","DUKE",1,29.75,36.75,14.5836050397035,1.96280427234531,15.9645261764526,2.28064659663609
"21","RB","Chris Tyree",6800,"STAN","NOTRE DAME",1,35.25,18.25,15.386766684089,3.10314695229781,14.2604084014893,2.09711888257195
"22","RB","Devin Neal",6700,"OU","KANSAS",1,26.75,35.75,14.9317321543384,1.74198839059967,12.9676170349121,1.93546522909136
"23","RB","Jirehl Brock",6300,"TEX","IOWA STATE",1,16,33,14.6557112357592,4.05486820563347,13.9048318862915,2.20711617242722
"24","RB","Jordan Houston",6200,"SYR","NC STATE",1,19.75,23.25,13.8961223670524,3.01084444208569,9.4766149520874,1.52848628259474
"25","RB","Tank Bigsby",6100,"MISS","AUBURN",1,19.75,34.25,18.1225052654026,3.62289576532419,12.23756980896,2.0061589850754
"26","RB","Josh Williams",5800,"UF","LSU",1,24.25,27.25,13.8873430010094,2.73483012128381,10.5174884796143,1.81336008269211
"27","RB","D.J. Jones",5100,"DUKE","N CAROLINA",1,36.75,29.75,13.8541352418003,2.69083167683317,12.3171062469482,2.41511887195064
"28","RB","Treshaun Ward",5000,"CLEM","FLORIDA ST",1,23.75,27.25,12.0134659572451,2.42460972295651,14.5170803070068,2.90341606140137
"29","RB","Quinshon Judkins",9400,"AUB","OLE MISS",2,34.25,19.75,13.1775490885594,1.68054723418316,14.6786079406738,1.5615540362419
"30","RB","Dillon Johnson",7700,"UK","MISS STATE",2,26.25,19.75,8.26571558298572,4.05213997976479,11.4562816619873,1.48782878727108
"31","RB","Jordan Waters",6900,"UNC","DUKE",2,29.75,36.75,11.0239754193978,2.64344657308445,9.74458122253418,1.41225814819336
"32","RB","Demie Sumo-Karngbaye",6800,"SYR","NC STATE",2,19.75,23.25,9.33371828243274,3.2835994232274,6.04644966125488,0.889183773713953
