Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Kobe Paysour (23786678),Kobe Paysour,23786678,WR/FLEX/S-FLEX,4000,FAMU@UNC 08/27/2022 08:15PM ET,UNC,0
RB,Ikaika Ragsdale (23786366),Ikaika Ragsdale,23786366,RB/FLEX/S-FLEX,4000,UNT@UTEP 08/27/2022 09:00PM ET,UNT,8.88
RB,Nasjzae Bryant-Lelei (23786369),Nasjzae Bryant-Lelei,23786369,RB/FLEX/S-FLEX,3900,VAND@HAW 08/27/2022 10:30PM ET,HAW,0.2
WR,James Phillips (23786684),James Phillips,23786684,WR/FLEX/S-FLEX,3900,VAND@HAW 08/27/2022 10:30PM ET,HAW,2.4
WR,Donta Armstrong (23786681),Donta Armstrong,23786681,WR/FLEX/S-FLEX,3900,CHAR@FAU 08/27/2022 07:00PM ET,CHAR,0
WR,Jostein Clarke (23786687),Jostein Clarke,23786687,WR/FLEX/S-FLEX,3900,UNT@UTEP 08/27/2022 09:00PM ET,UTEP,0
WR,Bryson Jackson (23786690),Bryson Jackson,23786690,WR/FLEX/S-FLEX,3900,UNT@UTEP 08/27/2022 09:00PM ET,UNT,3.82
WR,Gavin Schoenwald (23786693),Gavin Schoenwald,23786693,WR/FLEX/S-FLEX,3800,VAND@HAW 08/27/2022 10:30PM ET,VAND,3.55
RB,Caleb Hood (23786372),Caleb Hood,23786372,RB/FLEX/S-FLEX,3800,FAMU@UNC 08/27/2022 08:15PM ET,UNC,2.62
WR,Xavier Smith (23786699),Xavier Smith,23786699,WR/FLEX/S-FLEX,3800,FAMU@UNC 08/27/2022 08:15PM ET,FAMU,16.66
WR,Kordell David (23786696),Kordell David,23786696,WR/FLEX/S-FLEX,3800,NEV@NMST 08/27/2022 10:00PM ET,NMST,0
WR,Tamatoa Mokiao-Atimalala (23786705),Tamatoa Mokiao-Atimalala,23786705,WR/FLEX/S-FLEX,3700,VAND@HAW 08/27/2022 10:30PM ET,HAW,1.15
WR,Dior Scott (23786708),Dior Scott,23786708,WR/FLEX/S-FLEX,3700,VAND@HAW 08/27/2022 10:30PM ET,HAW,2.75
RB,A.J. Davis (23786375),A.J. Davis,23786375,RB/FLEX/S-FLEX,3700,FAMU@UNC 08/27/2022 08:15PM ET,FAMU,13.4
WR,Taylor Thompson (23786702),Taylor Thompson,23786702,WR/FLEX/S-FLEX,3700,CHAR@FAU 08/27/2022 07:00PM ET,CHAR,5.24
WR,Elijah Spencer (23786711),Elijah Spencer,23786711,WR/FLEX/S-FLEX,3700,CHAR@FAU 08/27/2022 07:00PM ET,CHAR,9.19
