"","player","ou","position","Salary","Team","value"
"1","Alexander Mattison",3.5,NA,NA,NA,NA
"2","Andy Dalton",3.5,NA,NA,NA,NA
"3","Dalvin Cook",61.5,NA,NA,NA,NA
"4","Kirk Cousins",0.5,NA,NA,NA,NA
"5","Mark Ingram",29.5,NA,NA,NA,NA
"6","Jalen Hurts",48.5,"QB",8600,"PHI",5.63953488372093
"7","James Robinson",50.5,"RB",7800,"JAC",6.47435897435897
"8","Kenneth Gainwell",14.5,"RB",5000,"PHI",2.9
"9","Miles Sanders",63.5,"RB",6600,"PHI",9.62121212121212
"10","Travis Etienne",25.5,"RB",5700,"JAC",4.47368421052632
"11","Trevor Lawrence",11.5,"QB",7500,"JAC",1.53333333333333
"12","Devin Singletary",34.5,"RB",6200,"BUF",5.56451612903226
"13","J.K. Dobbins",36.5,"RB",5800,"BAL",6.29310344827586
"14","Josh Allen",39.5,"QB",8900,"BUF",4.43820224719101
"15","Justice Hill",24.5,"RB",5400,"BAL",4.53703703703704
"16","Lamar Jackson (BAL)",55.5,"QB",8800,"BAL",6.30681818181818
"17","Zack Moss",15.5,"RB",5200,"BUF",2.98076923076923
"18","Daniel Jones",31.5,"QB",7000,"NYG",4.5
"19","Justin Fields",38.5,"QB",6700,"CHI",5.74626865671642
"20","Khalil Herbert",74.5,"RB",7200,"CHI",10.3472222222222
"21","Saquon Barkley",79.5,"RB",8100,"NYG",9.81481481481481
"22","Trestan Ebner",21.5,"RB",4700,"CHI",4.57446808510638
"23","Derrick Henry",73.5,"RB",8600,"TEN",8.54651162790698
"24","Dontrell Hilliard",11.5,"RB",5300,"TEN",2.16981132075472
"25","Jonathan Taylor",96.5,"RB",8700,"IND",11.0919540229885
"26","Matt Ryan",4.5,"QB",6700,"IND",0.671641791044776
"27","Nyheim Hines",12.5,"RB",5100,"IND",2.45098039215686
"28","Ryan Tannehill",12.5,"QB",6800,"TEN",1.83823529411765
"29","Antonio Gibson",53.5,"RB",6600,"WAS",8.10606060606061
"30","Carson Wentz",8.5,"QB",6900,"WAS",1.23188405797101
"31","Cooper Rush",2.5,"QB",6400,"DAL",0.390625
"32","Curtis Samuel",10.5,"WR",6200,"WAS",1.69354838709677
"33","Ezekiel Elliott",56.5,"RB",6400,"DAL",8.828125
"34","J.D. McKissic",11.5,"RB",5300,"WAS",2.16981132075472
"35","Tony Pollard",42.5,"RB",6000,"DAL",7.08333333333333
"36","Austin Ekeler",55.5,"RB",8400,"LAC",6.60714285714286
"37","Dameon Pierce",63.5,"RB",6800,"HOU",9.33823529411765
"38","Davis Mills",2.5,"QB",6400,"HOU",0.390625
"39","Rex Burkhead",13.5,"RB",5100,"HOU",2.64705882352941
"40","Sony Michel",18.5,"RB",5100,"LAC",3.62745098039216
"41","Craig Reynolds",27.5,"RB",5100,"DET",5.3921568627451
"42","Geno Smith",6.5,"QB",6600,"SEA",0.984848484848485
"43","Jamaal Williams",68.5,"RB",7400,"DET",9.25675675675676
"44","Jared Goff",5.5,"QB",7600,"DET",0.723684210526316
"45","Kenneth Walker III",18.5,"RB",5200,"SEA",3.55769230769231
"46","Rashaad Penny",59.5,"RB",6700,"SEA",8.88059701492537
"47","Breece Hall",39.5,"RB",6300,"NYJ",6.26984126984127
"48","Chase Claypool",3.5,"WR",5700,"PIT",0.614035087719298
"49","Jaylen Warren",18.5,"RB",4900,"PIT",3.77551020408163
"50","Michael Carter",45.5,"RB",5700,"NYJ",7.98245614035088
"51","Mitchell Trubisky",8.5,"QB",6500,"PIT",1.30769230769231
"52","Najee Harris",66.5,"RB",7000,"PIT",9.5
"53","Zach Wilson",9.5,"QB",6500,"NYJ",1.46153846153846
"54","Cordarrelle Patterson",54.5,"RB",7600,"ATL",7.17105263157895
"55","Jacoby Brissett",13.5,"QB",6800,"CLE",1.98529411764706
"56","Kareem Hunt",43.5,"RB",6100,"CLE",7.13114754098361
"57","Marcus Mariota",31.5,"QB",7300,"ATL",4.31506849315068
"58","Nick Chubb",92.5,"RB",9200,"CLE",10.054347826087
"59","Tyler Allgeier",29.5,"RB",4800,"ATL",6.14583333333333
"60","Baker Mayfield",10.5,"QB",6600,"CAR",1.59090909090909
"61","Christian McCaffrey",58.5,"RB",8800,"CAR",6.64772727272727
"62","Eno Benjamin",18.5,"RB",5600,"ARI",3.30357142857143
"63","James Conner",49.5,"RB",6800,"ARI",7.27941176470588
"64","Kyler Murray",22.5,"QB",7800,"ARI",2.88461538461538
"65","Aaron Jones",56.5,"RB",7300,"GB",7.73972602739726
"66","Aaron Rodgers",4.5,"QB",7400,"GB",0.608108108108108
"67","AJ Dillon",54.5,"RB",6500,"GB",8.38461538461539
"68","Damien Harris",49.5,"RB",6200,"NE",7.98387096774194
"69","Rhamondre Stevenson",44.5,"RB",5900,"NE",7.54237288135593
"70","Derek Carr",5.5,"QB",7200,"LV",0.763888888888889
"71","Javonte Williams",50.5,"RB",6900,"DEN",7.31884057971014
"72","Josh Jacobs",69.5,"RB",6500,"LV",10.6923076923077
"73","Melvin Gordon III",40.5,"RB",6500,"DEN",6.23076923076923
"74","Russell Wilson",6.5,"QB",7100,"DEN",0.915492957746479
"75","Clyde Edwards-Helaire",35.5,NA,NA,NA,NA
"76","Jerick McKinnon",17.5,NA,NA,NA,NA
"77","Leonard Fournette",64.5,NA,NA,NA,NA
"78","Patrick Mahomes",15.5,NA,NA,NA,NA
"79","Tom Brady",0.5,NA,NA,NA,NA
"80","Cam Akers",43.5,NA,NA,NA,NA
"81","Deebo Samuel",29.5,NA,NA,NA,NA
"82","Jeff Wilson Jr.",54.5,NA,NA,NA,NA
"83","Jimmy Garoppolo",2.5,NA,NA,NA,NA
"84","Matthew Stafford",2.5,NA,NA,NA,NA
