"","player","ou","position","Salary","Team","value"
"1","Adam Thielen",72.5,NA,NA,NA,NA
"2","Adam Trautman",37.5,NA,NA,NA,NA
"3","Alexander Mattison",15.5,NA,NA,NA,NA
"4","Chris Olave",35.5,NA,NA,NA,NA
"5","Dalvin Cook",10.5,NA,NA,NA,NA
"6","Irv Smith Jr.",23.5,NA,NA,NA,NA
"7","Jarvis Landry",7.5,NA,NA,NA,NA
"8","Johnny Mundt",0.5,NA,NA,NA,NA
"9","Justin Jefferson",108.5,NA,NA,NA,NA
"10","Juwan Johnson",33.5,NA,NA,NA,NA
"11","K.J. Osborn",6.5,NA,NA,NA,NA
"12","Mark Ingram",13.5,NA,NA,NA,NA
"13","Tre'Quan Smith",18.5,NA,NA,NA,NA
"14","A.J. Brown",69.5,"WR",8300,"PHI",8.37349397590361
"15","Christian Kirk",57.5,"WR",7600,"JAC",7.56578947368421
"16","Dallas Goedert",38.5,"TE",6200,"PHI",6.20967741935484
"17","DeVonta Smith",53.5,"WR",6900,"PHI",7.7536231884058
"18","Evan Engram",29.5,"TE",5000,"JAC",5.9
"19","Jamal Agnew",29.5,"WR",4700,"JAC",6.27659574468085
"20","James Robinson",13.5,"RB",7800,"JAC",1.73076923076923
"21","Kenneth Gainwell",11.5,"RB",5000,"PHI",2.3
"22","Marvin Jones Jr.",44.5,"WR",5400,"JAC",8.24074074074074
"23","Miles Sanders",9.5,"RB",6600,"PHI",1.43939393939394
"24","Quez Watkins",12.5,"WR",5000,"PHI",2.5
"25","Travis Etienne",18.5,"RB",5700,"JAC",3.24561403508772
"26","Zach Pascal",11.5,"WR",5100,"PHI",2.25490196078431
"27","Dawson Knox",29.5,"TE",5000,"BUF",5.9
"28","Demarcus Robinson",10.5,"WR",4800,"BAL",2.1875
"29","Devin Duvernay",27.5,"WR",5700,"BAL",4.82456140350877
"30","Devin Singletary",15.5,"RB",6200,"BUF",2.5
"31","Gabriel Davis",48.5,"WR",6500,"BUF",7.46153846153846
"32","Isaiah McKenzie",29.5,"WR",5900,"BUF",5
"33","J.K. Dobbins",8.5,"RB",5800,"BAL",1.46551724137931
"34","Jamison Crowder",17.5,"WR",5000,"BUF",3.5
"35","Justice Hill",4.5,"RB",5400,"BAL",0.833333333333333
"36","Mark Andrews",65.5,"TE",8400,"BAL",7.79761904761905
"37","Rashod Bateman",46.5,"WR",6600,"BAL",7.04545454545455
"38","Stefon Diggs",81.5,"WR",8700,"BUF",9.36781609195402
"39","Zack Moss",6.5,"RB",5200,"BUF",1.25
