"","player","Salary","TeamAbbrev","dk_opp_abbr","implied_total","opp_implied_total","est_pa","est_ra","est_dkpts","value"
"1","C.J. Stroud",9200,"OSU","MSU",46,19,29.3004779815674,5.66731646228135,20.9784297943115,2.28026410807734
"2","Michael Penix Jr.",8500,"UW","ASU",34.5,21,35.7820129394531,5.70429746581772,24.1599273681641,2.8423443962546
"3","Stetson Bennett",8400,"UGA","AUB",39,10.5,28.6269607543945,4.00694414831509,19.3299751281738,2.30118751525879
"4","Spencer Sanders",8000,"OKST","TTU",37.75,28.75,40.1265678405762,9.02777507923668,32.8120346069336,4.1015043258667
"5","Cameron Rising",7900,"UTAH","UCLA",33.75,30.25,32.8260231018066,5.22408177148702,24.964786529541,3.16009956070139
"6","Dorian Thompson-Robinson",7800,"UCLA","UTAH",30.25,33.75,35.3237495422363,5.13887491649984,24.5431823730469,3.14656184269832
"7","Jaxson Dart",7500,"MISS","VAND",39,22,29.597936630249,9.05581225056619,24.1916732788086,3.22555643717448
"8","Emory Jones",7400,"ASU","UW",21,34.5,29.3109912872314,4.91570541031408,14.3904075622559,1.94464967057512
"9","Donovan Smith",7000,"TTU","OKST",28.75,37.75,48.8092727661133,9.19907772542319,23.8338432312012,3.40483474731445
"10","Payton Thorne",5900,"MSU","OSU",19,46,34.9893035888672,4.38586520117798,12.9154653549194,2.18906192456262
"11","AJ Swann",5800,"VAND","MISS",22,39,29.0339260101318,4.93855206701951,13.1652612686157,2.26987263251995
"12","Graham Mertz",5100,"WISC","NW",27.5,17,26.874927520752,4.73185562289825,14.5486421585083,2.85267493304084
"13","Robby Ashford",5000,"AUB","UGA",10.5,39,30.8323459625244,6.04984521243651,12.9957933425903,2.59915866851807
"14","Ryan Hilinski",4900,"NW","WISC",17,27.5,39.0023460388184,5.00674574305805,17.8666725158691,3.64625969711615
